Rank,Ticker,Price,DVol,Sector,Industry,RS,1M_RS,3M_RS,6M_RS,AvgVol,AvgVol10,52WKH,52WKL,%Dist_52H
250,JAINREC.NS,455.1,2262.76K,Non-Energy Minerals,Other Metals/Minerals,91.0,97.0,87.0,,1438.15K,1425.04K,465.0,247.57,-2.13
251,SHREEJISPG.NS,358.4,373.56K,Transportation,Other Transportation,91.0,40.0,89.0,93.0,1494.02K,489.43K,421.95,222.0,-15.06
252,KSHINTL.NS,458.35,362.74K,Producer Manufacturing,Electrical Products,91.0,97.0,95.0,,351.41K,411.56K,485.85,330.0,-5.66
254,AEROFLEX.NS,251.38,3545.07K,Producer Manufacturing,Industrial Machinery,91.0,95.0,94.0,92.0,2502.54K,3148.90K,264.0,148.01,-4.78
257,UNIONBANK.NS,180.32,17549.96K,Finance,Major Banks,91.0,51.0,92.0,92.0,17916.08K,13982.70K,205.49,112.52,-12.25
259,EMCURE.NS,1593.4,524.42K,Health Technology,Pharmaceuticals: Major,91.0,94.0,91.0,89.0,240.42K,173.94K,1621.7,889.0,-1.75
260,ORICONENT.NS,64.57,53.69K,Producer Manufacturing,Miscellaneous Manufacturing,91.0,81.0,87.0,89.0,112.98K,126.19K,70.4,35.66,-8.28
262,APARINDS.NS,10014.0,75.14K,Electronic Technology,Electronic Equipment/Instruments,90.0,62.0,89.0,88.0,113.88K,106.29K,11648.0,4308.05,-14.03
263,SHRIRAMFIN.NS,956.0,14264.97K,Finance,Finance/Rental/Leasing,90.0,45.0,79.0,94.0,6889.10K,10971.98K,1108.0,566.5,-13.72
264,SPORTKING.NS,119.44,239.80K,Process Industries,Textiles,90.0,87.0,95.0,85.0,172.01K,170.02K,140.0,76.0,-14.69
266,PIRAMALFIN.NS,1813.3,377.26K,Finance,Finance/Rental/Leasing,90.0,86.0,90.0,,280.40K,378.93K,1954.5,1260.0,-7.22
270,PREMIERPOL.NS,60.71,514.89K,Non-Energy Minerals,Forest Products,90.0,96.0,96.0,91.0,305.00K,390.76K,70.59,38.0,-14.0
271,ADVAIT.NS,1762.4,98.12K,Producer Manufacturing,Electrical Products,90.0,88.0,,,45.21K,59.99K,1885.0,1351.0,-6.5
273,KOTYARK.NS,385.7,162.70K,Process Industries,Industrial Specialties,90.0,98.0,96.0,91.0,20.35K,68.26K,459.6,191.2,-16.08
274,SONAMLTD.NS,54.45,55.83K,Consumer Durables,Other Consumer Specialties,90.0,95.0,95.0,89.0,68.69K,132.32K,62.35,37.0,-12.67
275,JPOLYINVST.NS,1124.0,21.19K,Finance,Investment Managers,90.0,33.0,87.0,90.0,136.86K,650.62K,1487.7,651.0,-24.45
276,CUMMINSIND.NS,4738.6,664.69K,Producer Manufacturing,Auto Parts: Oem,90.0,73.0,85.0,89.0,710.48K,870.40K,4987.0,2580.0,-4.98
279,ABSLAMC.NS,939.8,323.40K,Technology Services,Internet Software/Services,90.0,86.0,93.0,88.0,522.00K,516.23K,1046.55,556.45,-10.2
280,SMLMAH.NS,4178.3,57.83K,Consumer Durables,Motor Vehicles,90.0,28.0,87.0,,112.77K,85.76K,5348.0,2749.0,-21.87
281,GPIL.NS,277.3,5692.28K,Non-Energy Minerals,Steel,90.0,87.0,87.0,83.0,2123.28K,2545.78K,290.0,168.0,-4.38
283,HAPPYFORGE.NS,1216.9,51.06K,Producer Manufacturing,Metal Fabrication,90.0,54.0,89.0,91.0,60.02K,59.90K,1370.0,724.1,-11.18
285,TEAMGTY.NS,269.4,14.86K,Finance,Financial Conglomerates,90.0,91.0,78.0,88.0,1.95K,1.25K,332.55,154.4,-18.99
286,LAURUSLABS.NS,1023.5,1421.76K,Health Technology,Pharmaceuticals: Major,90.0,83.0,73.0,87.0,1798.69K,1837.20K,1141.0,517.65,-10.3
