Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,ADR_Pct
153,BLISSGVS.NS,269.65,717.68K,Health Technology,Pharmaceuticals: Major,94.0,31.0,93.0,96.0,2522.90K,1228.65K,281.0,109.03,28.53B,No,237.57,183.27,240.59,194.13,3.87
160,HINDCOPPER.NS,569.2,5068.65K,Non-Energy Minerals,Other Metals/Minerals,94.0,36.0,18.0,95.0,10856.73K,5121.85K,760.05,198.0,550.43B,No,531.19,415.44,527.81,479.42,2.74
167,JSTL.BO,86.79,18.99K,Health Services,Medical/Nursing Services,93.0,91.0,89.0,90.0,22.37K,43.60K,93.9,32.85,1.73B,No,71.08,57.97,72.56,66.99,7.11
168,KOTYARK.NS,407.6,97.74K,Process Industries,Industrial Specialties,93.0,45.0,97.0,90.0,51.15K,106.65K,459.6,191.2,4.19B,No,352.74,285.05,382.76,290.71,6.17
169,BHARATSE.NS,203.97,351.95K,Producer Manufacturing,Auto Parts: Oem,93.0,81.0,91.0,53.0,966.82K,452.30K,239.45,95.0,12.81B,No,175.9,168.21,172.34,177.17,5.16
177,NARMADA.NS,37.02,375.21K,Process Industries,Agricultural Commodities/Milling,93.0,50.0,83.0,94.0,268.26K,372.43K,38.9,15.47,1.40B,No,33.23,26.44,33.56,28.3,4.47
186,SUNFLAG.NS,415.85,1347.46K,Non-Energy Minerals,Steel,93.0,97.0,96.0,94.0,760.26K,3707.26K,428.0,192.15,74.94B,No,257.42,263.31,260.11,256.21,5.63
207,RAMAVISION.BO,161.65,2.15K,Distribution Services,Medical Distributors,92.0,86.0,86.0,91.0,4.70K,3.54K,190.85,74.0,1.69B,No,144.71,117.44,145.04,131.08,9.1
213,GOKULAGRO.NS,238.74,597.72K,Process Industries,Agricultural Commodities/Milling,92.0,71.0,91.0,91.0,2592.18K,1214.05K,249.92,106.31,70.45B,No,194.84,180.97,198.85,184.58,4.69
215,APOLLOPIPE.NS,497.0,1019.21K,Producer Manufacturing,Miscellaneous Manufacturing,92.0,51.0,97.0,94.0,2159.36K,535.14K,540.15,252.1,21.83B,No,418.17,356.39,430.49,346.93,5.58
216,KESAR.BO,1246.75,10.20K,Finance,Real Estate Development,92.0,22.0,47.0,94.0,11.84K,11.70K,1287.4,530.0,35.62B,No,1191.67,947.45,1180.12,1084.29,2.37
217,NANTA.BO,405.45,4.80K,Distribution Services,Wholesale Distributors,92.0,88.0,91.0,,18.10K,11.76K,455.0,234.0,2.08B,No,335.94,,344.69,,5.32
233,WELINV.NS,1639.2,0.17K,Finance,Investment Banks/Brokers,91.0,82.0,88.0,86.0,0.85K,1.71K,1700.0,741.15,6.01B,No,1342.63,1208.48,1359.15,1295.22,4.97
236,JATTAINDUS.BO,409.8,0.21K,Process Industries,Textiles,91.0,5.0,46.0,95.0,0.42K,0.29K,454.1,200.0,1.80B,No,419.08,319.94,418.11,379.33,3.96
244,GRWRHITECH.NS,5290.3,97.16K,Process Industries,Chemicals: Specialty,91.0,94.0,88.0,93.0,95.00K,294.32K,5560.0,2681.0,122.91B,No,3972.03,3524.74,3965.73,3698.74,5.39
246,SJS.NS,2012.5,264.25K,Producer Manufacturing,Auto Parts: Oem,91.0,80.0,78.0,86.0,133.30K,240.11K,2033.9,925.0,64.39B,No,1702.27,1590.29,1692.37,1691.39,3.85
293,YAANENT.BO,125.2,3.90K,Consumer Services,Other Consumer Services,89.0,89.0,79.0,91.0,1.31K,2.60K,129.95,59.16,388.12M,No,99.18,92.53,101.84,99.0,6.16
308,AETHER.NS,1213.4,163.06K,Process Industries,Chemicals: Major Diversified,89.0,32.0,75.0,94.0,336.75K,373.25K,1275.1,725.0,160.99B,No,1103.48,901.16,1131.07,970.83,3.97
311,BALAJITELE.NS,123.23,2262.86K,Consumer Services,Movies/Entertainment,89.0,88.0,90.0,78.0,675.40K,888.94K,141.32,64.97,15.02B,No,95.71,104.05,95.26,102.81,6.18
317,MCLEODRUSS.NS,59.6,267.81K,Consumer Non-Durables,Food: Specialty/Candy,89.0,97.0,91.0,54.0,624.15K,557.04K,68.47,28.5,6.23B,No,43.7,45.18,43.91,47.72,4.08
322,GROWW.NS,204.59,16867.46K,Miscellaneous,Investment Trusts,89.0,52.0,73.0,,39782.80K,34245.73K,227.2,112.0,1266.73B,No,181.2,,182.7,,5.01
326,GHVINFRA.BO,263.85,38.52K,Technology Services,Data Processing Services,88.0,2.0,68.0,29.0,28.58K,42.78K,368.5,99.11,19.02B,No,297.55,298.44,288.89,293.63,5.53
346,TITANSEC.BO,48.76,7.09K,Finance,Investment Banks/Brokers,88.0,3.0,89.0,81.0,22.21K,10.44K,58.35,29.0,1.22B,No,44.29,39.3,46.56,41.78,6.13
348,MPKSTEELS.BO,121.8,16.00K,Non-Energy Minerals,Steel,88.0,9.0,81.0,93.0,33.38K,24.80K,152.8,72.65,1.24B,No,124.71,,122.52,116.19,3.16
351,ABSLAMC.NS,1072.4,1079.64K,Technology Services,Internet Software/Services,88.0,42.0,86.0,91.0,598.87K,665.32K,1123.5,623.0,310.03B,No,975.07,853.64,984.33,859.18,4.13
355,J&KBANK.NS,141.76,5837.36K,Finance,Regional Banks,87.0,58.0,89.0,89.0,7157.59K,7215.14K,145.0,87.3,156.10B,No,123.06,108.76,123.74,110.85,3.62
369,HIRECT.NS,935.2,64.66K,Producer Manufacturing,Electrical Products,87.0,87.0,91.0,64.0,190.01K,115.72K,1054.25,447.5,32.14B,No,792.21,781.44,812.53,761.56,5.6
375,ANDHRSUGAR.NS,100.07,296.09K,Process Industries,Chemicals: Specialty,87.0,89.0,91.0,86.0,431.64K,919.34K,107.23,66.5,13.56B,No,81.18,77.81,82.13,77.78,5.75
378,WALCHANNAG.NS,254.72,1207.88K,Producer Manufacturing,Industrial Machinery,87.0,96.0,89.0,92.0,1197.91K,2212.36K,277.75,131.15,17.30B,No,181.66,180.96,182.5,175.45,5.95
