Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO
2424,SHK.NS,149.68,289.10K,Process Industries,Chemicals: Specialty,22.0,65.0,43.0,8.0,292.29K,303.55K,275.5,134.52,20.72B,No
2425,SKIPPER.NS,368.85,128.92K,Producer Manufacturing,Metal Fabrication,22.0,58.0,18.0,17.0,324.23K,357.86K,588.0,327.1,41.66B,No
2426,TANVI.BO,82.0,1.00K,Distribution Services,Food Distributors,22.0,14.0,28.0,42.0,4.30K,2.20K,126.5,63.0,1.05B,No
2427,ASALCBR.NS,800.7,38.15K,Consumer Non-Durables,Beverages: Alcoholic,22.0,44.0,23.0,29.0,40.23K,48.87K,1477.95,774.05,15.22B,No
2428,BANSALWIRE.NS,265.2,18.11K,Non-Energy Minerals,Steel,22.0,32.0,29.0,18.0,115.07K,43.67K,434.3,252.3,41.55B,No
2429,AUSTENG.BO,118.75,0.33K,Producer Manufacturing,Metal Fabrication,22.0,65.0,38.0,7.0,1.63K,1.51K,206.5,103.0,412.99M,No
2430,OLECTRA.NS,1009.4,212.66K,Consumer Durables,Motor Vehicles,22.0,23.0,20.0,9.0,425.54K,387.88K,1714.2,965.1,82.85B,No
2431,IVALUE.NS,226.7,46.14K,Technology Services,Information Technology Services,22.0,39.0,12.0,,213.67K,142.15K,340.0,213.98,12.38B,No
2432,BPL.NS,55.69,179.45K,Electronic Technology,Telecommunications Equipment,22.0,46.0,47.0,18.0,112.29K,57.24K,100.3,50.0,2.73B,No
2433,GUJCRAFT.BO,106.0,0.08K,Process Industries,Containers/Packaging,22.0,12.0,41.0,27.0,1.64K,4.61K,184.7,103.0,518.16M,No
2434,HPL.NS,348.9,79.86K,Electronic Technology,Electronic Equipment/Instruments,22.0,72.0,27.0,23.0,159.87K,408.49K,639.9,307.9,22.43B,No
2435,INDIQUBE.NS,174.07,12.29K,Finance,Real Estate Development,22.0,37.0,14.0,31.0,54.03K,64.83K,243.8,163.51,36.90B,No
2436,OLYMPTX.BO,29.37,4.40K,Process Industries,Textiles,22.0,16.0,37.0,27.0,1.45K,2.26K,49.25,27.0,176.91M,No
2437,IRIS.NS,251.85,31.08K,Technology Services,Data Processing Services,22.0,8.0,17.0,22.0,25.71K,51.08K,438.9,228.05,5.18B,No
2438,CHENFERRO.BO,89.15,2.63K,Non-Energy Minerals,Steel,22.0,15.0,22.0,19.0,1.21K,1.36K,147.95,86.3,321.34M,No
2439,SUJALA.BO,54.95,153.72K,Finance,Finance/Rental/Leasing,22.0,8.0,8.0,57.0,82.19K,155.45K,88.0,46.5,314.41M,No
2440,SASKEN.NS,1139.6,8.94K,Technology Services,Information Technology Services,22.0,17.0,28.0,34.0,45.62K,20.17K,1714.2,1134.0,17.31B,No
2441,DOLLAR.NS,288.8,73.79K,Consumer Non-Durables,Apparel/Footwear,22.0,22.0,25.0,31.0,48.72K,92.93K,429.9,285.65,16.38B,No
2442,CROWN.NS,120.49,8.73K,Finance,Finance/Rental/Leasing,22.0,78.0,34.0,27.0,27.61K,50.71K,221.8,108.45,1.35B,No
2443,CHOKSILA.BO,110.0,0.29K,Commercial Services,Miscellaneous Commercial Services,22.0,38.0,17.0,2.0,4.64K,2.33K,236.7,95.0,766.18M,No
2444,SUDARCOLOR.NS,345.05,22.40K,Process Industries,Chemicals: Major Diversified,22.0,25.0,,,16.36K,8.02K,462.0,320.0,7.96B,No
2445,PALCO.BO,117.5,0.38K,Distribution Services,Wholesale Distributors,22.0,39.0,64.0,49.0,5.28K,2.34K,240.0,110.0,470.00M,No
2446,QUADFUTURE.NS,297.4,369.79K,Producer Manufacturing,Electrical Products,22.0,42.0,61.0,22.0,2151.17K,773.66K,604.75,248.55,11.90B,No
2447,HAZOOR.BO,32.03,370.25K,Finance,Real Estate Development,21.0,71.0,33.0,22.0,606.80K,383.60K,50.95,26.8,9.23B,No
2448,BLS.NS,279.25,2026.96K,Technology Services,Data Processing Services,21.0,70.0,37.0,25.0,2510.92K,1761.83K,428.6,245.95,114.96B,No
2449,GLOBALVECT.NS,165.11,3.95K,Industrial Services,Oilfield Services/Equipment,21.0,31.0,29.0,30.0,14.68K,8.57K,280.5,161.1,2.31B,No
2450,SANDUPHQ.BO,35.38,0.79K,Health Technology,Pharmaceuticals: Other,21.0,73.0,54.0,20.0,2.93K,0.90K,58.8,30.55,341.81M,No
2451,PCCOSMA.BO,359.95,0.12K,Consumer Non-Durables,Household/Personal Care,21.0,60.0,40.0,22.0,0.86K,0.46K,710.0,320.1,952.52M,No
