Rank,Industry,Sector,RS,1 M_RS,3M_RS,6M_RS,Ticker
32,Forest Products,Non-Energy Minerals,58,57,61,61,"VRWODAR.BO,ECOBOAR.BO,STYLAMIND.NS,PREMIERPOL.NS,GREENLAM.NS,WIPL.NS,AIROLAM.NS,RESPONIND.NS,GREENPANEL.NS,BIRLANU.NS,DUROPLY.BO"
33,Other Consumer Specialties,Consumer Durables,58,46,59,62,"BGJL.BO,RETAGGIO.BO,THANGAMAYL.NS,GOLKUNDIA.BO,SKRABUL.BO,DEVLAB.BO,SILGO.NS,SONAMLTD.NS,TITAN.NS,AJCJEWEL.BO,TIMEX.BO,SHRINGARMS.NS,SKYGOLD.NS,SWARNSAR.BO,VIPIND.NS,LGHL.NS,BANARBEADS.NS,KDDL.NS,EY.BO,KOURA.BO,SHANTIGOLD.NS,VAIBHAVGBL.NS,SENCO.NS,UDAYJEW.BO,RBZJEWEL.NS,GOLDIAM.NS,RGL.NS,SHOORA.BO,TBZ.NS,RADHIKAJWE.NS,SAFARI.NS,EIGHTY.BO,RAJESHEXPO.NS,VARYAA.BO,LUXURY.BO"
34,Electronics/Appliances,Consumer Durables,57,69,67,53,"UNIVPHOTO.NS,CPPLUS.NS,INFLAME.BO,SINGER.BO,BUTTERFLY.NS,LGEINDIA.NS,KHAITANLTD.NS,ORIENTELEC.NS,STOVEKRAFT.NS,SHARP.BO,WHIRLPOOL.NS,GORANIN.BO,IFBIND.NS,BAJAJELEC.NS"
35,Electronic Components,Electronic Technology,56,57,54,53,"IIL.BO,CENTUM.NS,HEG.NS,ELPROINTL.BO,INCAP.BO,BCCFUBA.BO,UNIVCABLES.NS,FINELINE.BO,PANELEC.BO,GUJARATPOLY.BO,MEIL.NS"
36,Electrical Products,Producer Manufacturing,56,56,59,48,"CYBELEIND.BO,MODINSU.BO,PRECWIRE.NS,GVTD.BO,BHAGYANGR.NS,KIRLOSENG.NS,GVT&D.NS,COSPOWER.BO,TDPOWERSYS.NS,YASHHV.BO,QPOWER.NS,S&SPOWER.NS,LGBBROSLTD.NS,RISHABH.NS,SWITCHTE.BO,ABB.NS,RRKABEL.NS,ATLANTAELE.NS,DEL.BO,KSHINTL.NS,POLYCAB.NS,ADVAIT.NS,DIACABS.NS,BONLON.BO,KEI.NS,HIRECT.NS,FINCABLES.NS,VOLTAMP.NS,HUIL.BO,CGPOWER.NS,RAMRAT.NS,BHEL.NS,JDCABLES.BO,SIEMENS.NS,HBLENGINE.NS,ESABINDIA.NS,ENRIN.NS,INDOSMC.BO,HIGHENE.BO,EVEREADY.NS,LAKSELEC.BO,SHILCTECH.NS,JIGAR.BO,HAVELLS.NS,BIRLACABLE.NS,PANCARBON.BO,VGUARD.NS,WSI.NS,VETO.NS,DCXINDIA.NS,ALFATRAN.BO,RNITAI.BO,CORDSCABLE.NS,TARIL.NS,HONDAPOWER.NS,SWELECTES.NS,CALCOM.BO,PROSTARM.NS,PANAENERG.BO,QUADFUTURE.NS,BBL.NS,MARSONS.BO,FOCUS.NS,ARE&M.NS,JSLINDL.BO,STARDELTA.BO,DYCL.NS,ELECON.NS,INDOTECH.NS,KAYCEEI.BO,SALZERELEC.NS,SUZLON.NS,CLN.BO,PARACABLES.NS,PLAZACABLE.NS,STDBAT.BO,KECL.NS,RTSPOWR.BO,RMC.BO,IKIO.NS,JYOTI.BO,NIPPOBATRY.NS,SERVOTECH.NS,EXICOM.NS,DLTNCBL.BO,EPIC.BO,INOXWIND.NS,URAVIDEF.NS"
37,Medical Distributors,Distribution Services,56,44,46,63,"APPL.BO,GUJINJEC.BO,RAMAVISION.BO,CHECKPOINT.BO,ENTERO.NS,EVERESTO.BO,APL.BO,ROYAL.BO,CBPL.BO"
38,Food: Major Diversified,Consumer Non-Durables,56,54,55,61,"IBINFO.BO,APIS.BO,SVJ.BO,LYKISLTD.BO,TIGLOB.BO,NESTLEIND.NS,BENGALT.BO,ZYDUSWELL.NS,CHORDIA.BO,SANSTAR.NS,GROBTEA.NS,JAMESWARREN.BO,TERAI.BO,NEAGI.BO,BBTC.NS,AVEER.BO,GILLANDERS.NS,UNIQUEO.BO,DVL.NS,SSMD.BO"
39,Steel,Non-Energy Minerals,56,52,57,53,"RSTL.BO,MAHASTEEL.NS,SALSTEEL.NS,IMEC.BO,JAYNECOIND.NS,MWL.NS,PANCHMAHQ.BO,UMIYA.BO,COCKERILL.BO,MPKSTEELS.BO,KANSHST.BO,BGWTATO.BO,REMIEDEL.BO,GPIL.NS,TATASTEEL.NS,SAIL.NS,JINDALSTEL.NS,APLAPOLLO.NS,VASWANI.NS,TALBROSENG.BO,SARDAEN.NS,JSWSTEEL.NS,STEELCAS.NS,GALLANTT.NS,MSPL.NS,GOODLUCK.NS,WELSPLSOL.BO,NATGENI.BO,NELCAST.NS,GANDHITUBE.NS,MAIDEN.BO,JINDALSAW.NS,JSL.NS,MUKANDLTD.NS,GUJINTRX.BO,BEDMUTHA.NS,SGIL.NS,MANAKSTEEL.NS,MANAKCOAT.NS,KIOCL.NS,SHAHALLOYS.NS,LLOYDSME.NS,NSLNISP.NS,NCML.BO,RATNAMANI.NS,RATNAVEER.NS,VSSL.NS,KSL.NS,CREATIVE.BO,SAMBHV.NS,MAHSEAMLES.NS,NITINCAST.BO,TIINDIA.NS,VISASTEEL.NS,KAJARIR.BO,RISHDIGA.BO,HISARMETAL.NS,SUNFLAG.NS,INCREDIBLE.NS,GARGFUR.BO,ELECTCAST.NS,SCANSTL.BO,MANAKSIA.NS,UNIAUTO.BO,BLOIN.BO,PRAKASH.NS,BEEKAY.BO,HARIOMPIPE.NS,HITECH.NS,SURAJ.BO,SHBAJRG.BO,KIRLOSIND.NS,VRAJ.NS,VSTL.NS,KVSCASTING.BO,JAIBALAJI.NS,METALCO.BO,JTLIND.NS,SURYAROSNI.NS,VENUSPIPES.NS,NEETUYOSHI.BO,SCODATUBES.NS,BMW.BO,ORISSAMINE.NS,KIRLFER.BO,SURAJLTD.NS,BANSALWIRE.NS,SUPERIRON.BO,ELECTHERM.NS,PENIND.NS,COSMICCRF.BO,CHENFERRO.BO,SMLT.NS,SHRDAIS.BO,AZADIND.BO,VMSTMT.NS,TULSYAN.BO"
40,Coal,Energy Minerals,55,49,65,63,"SOUTHWEST.NS,COALINDIA.NS,STRATMONT.BO,BHARATCOAL.NS,REFEX.NS"
41,Investment Managers,Finance,54,54,50,54,"SPACAPS.BO,JPOLYINVST.NS,ANANDRATHI.NS,ICICIAMC.NS,ESCORP.BO,MIIL.BO,LADDERUP.BO,HDFCAMC.NS,AFSL.NS,360ONE.NS,EMKAY.NS,CREST.NS,NUVAMA.NS,WEALTH.NS,PRUDENT.NS,UTIAMC.NS,NAHARCAP.NS,VHL.NS,BLAL.NS,STANROS.BO,CRAMC.NS,VEDANTASSET.BO,CORALFINAC.NS,VGCL.BO,CMSINFO.NS,SRAMSET.BO,MEDIASSIST.NS"
