Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,ADR_Pct
2067,TRADEUNO.BO,115.0,1.20K,Retail Trade,Apparel/Footwear Retail,34.0,28.0,14.0,,24.95K,24.84K,161.95,100.0,2.06B,No,111.51,,111.08,,4.32
2068,GANGESSECU.NS,130.01,2.06K,Consumer Non-Durables,Food: Specialty/Candy,34.0,52.0,53.0,30.0,3.66K,3.20K,191.0,103.31,1.30B,No,120.53,141.04,119.93,133.08,5.01
2069,BNALTD.NS,396.9,0.10K,Process Industries,Agricultural Commodities/Milling,34.0,,,,0.54K,0.58K,465.0,340.5,,No,,,,,
2070,KCP.NS,177.63,65.43K,Producer Manufacturing,Industrial Conglomerates,34.0,60.0,44.0,39.0,272.34K,213.79K,230.0,125.0,22.90B,No,157.48,182.74,155.97,171.99,4.53
2071,SUNDRMBRAK.NS,641.95,1.73K,Producer Manufacturing,Auto Parts: Oem,34.0,56.0,61.0,28.0,2.29K,1.50K,1048.95,460.0,2.53B,No,584.99,695.58,577.81,649.8,3.84
2072,NATPLASTI.BO,230.0,1.33K,Process Industries,Chemicals: Specialty,34.0,40.0,29.0,49.0,1.98K,2.27K,334.0,202.0,1.40B,No,231.54,254.51,228.43,255.92,5.42
2073,ARYAMAN.BO,604.7,0.24K,Finance,Investment Banks/Brokers,34.0,14.0,19.0,18.0,5.36K,0.26K,1100.0,480.0,7.41B,No,613.07,709.13,610.39,667.94,3.92
2074,DTIL.NS,151.86,3.60K,Process Industries,Agricultural Commodities/Milling,34.0,75.0,44.0,52.0,5.21K,7.62K,230.05,102.0,1.60B,No,134.42,161.97,133.71,147.48,4.96
2075,JAMESWARREN.BO,297.3,0.91K,Consumer Non-Durables,Food: Major Diversified,34.0,19.0,29.0,38.0,1.72K,1.41K,408.55,248.05,1.10B,No,292.31,330.43,288.81,318.53,3.83
2076,GLOTTIS.NS,61.19,505.29K,Transportation,Marine Shipping,34.0,83.0,74.0,31.0,269.20K,313.65K,93.0,37.0,5.65B,No,50.27,,50.95,57.45,6.24
2077,EIHOTEL.NS,335.4,85.40K,Consumer Services,Hotels/Resorts/Cruise Lines,34.0,39.0,37.0,33.0,1029.26K,144.24K,434.8,271.15,209.75B,No,316.23,358.54,314.4,343.96,2.34
2078,APTUS.NS,282.8,2346.14K,Finance,Finance/Rental/Leasing,34.0,89.0,36.0,53.0,2472.57K,3442.78K,364.0,193.03,141.61B,No,233.74,285.73,232.62,263.66,3.42
2079,ORIENTTECH.NS,316.65,677.33K,Technology Services,Information Technology Services,34.0,63.0,17.0,14.0,466.32K,593.53K,466.73,220.8,14.50B,No,274.45,320.99,273.68,323.02,4.18
2080,ACE.NS,947.25,4412.17K,Producer Manufacturing,Trucks/Construction/Farm Machinery,34.0,43.0,57.0,37.0,263.86K,244.63K,1389.0,745.1,112.74B,No,867.1,971.95,871.54,923.02,2.96
2081,HDBFS.NS,699.65,348.01K,Finance,Finance/Rental/Leasing,34.0,47.0,29.0,58.0,1006.18K,339.54K,891.9,555.3,579.60B,No,653.6,727.06,645.52,706.27,2.4
2082,SGFRL.BO,118.0,8.25K,Industrial Services,Engineering & Construction,34.0,77.0,33.0,69.0,8.98K,4.42K,146.9,94.0,2.93B,No,112.92,118.85,110.02,115.56,3.25
2083,BRIGHTBR.BO,259.1,3.31K,Process Industries,Industrial Specialties,34.0,61.0,56.0,25.0,4.84K,3.06K,393.0,183.9,1.47B,No,222.29,283.18,225.31,254.35,6.07
2084,GFLLIMITED.NS,50.57,229.92K,Consumer Services,Movies/Entertainment,34.0,81.0,53.0,19.0,89.74K,40.84K,81.0,37.25,5.56B,No,44.95,55.76,44.67,52.91,5.01
2085,ZUARIIND.NS,273.1,38.61K,Process Industries,Agricultural Commodities/Milling,34.0,41.0,34.0,27.0,79.09K,82.12K,416.0,210.0,8.13B,No,251.01,295.5,250.02,285.58,3.44
2086,EIHAHOTELS.NS,332.95,14.61K,Consumer Services,Hotels/Resorts/Cruise Lines,34.0,45.0,36.0,39.0,33.06K,14.26K,434.9,266.65,20.29B,No,315.44,356.92,312.12,340.9,2.64
2087,UNITEDINT.BO,76.49,0.10K,Technology Services,Information Technology Services,34.0,15.0,42.0,52.0,0.18K,0.21K,119.0,62.01,140.05M,No,71.08,81.91,71.72,75.0,3.88
2088,ZENOTECH.BO,47.05,5.25K,Health Technology,Pharmaceuticals: Major,34.0,42.0,53.0,42.0,13.17K,6.86K,72.87,33.55,2.87B,No,43.67,49.25,43.78,46.29,4.47
2089,TBOTEK.NS,1238.2,57.67K,Technology Services,Internet Software/Services,34.0,56.0,12.0,31.0,140.93K,67.12K,1764.8,1004.2,132.22B,No,1200.46,1452.63,1182.28,1426.67,3.34
2090,GKENERGY.NS,127.57,1681.16K,Industrial Services,Engineering & Construction,34.0,89.0,81.0,4.0,776.89K,953.80K,239.6,87.2,25.87B,No,113.21,,111.94,141.12,5.61
2091,LFIC.NS,150.42,4.06K,Finance,Financial Conglomerates,34.0,67.0,81.0,8.0,10.11K,5.78K,250.5,111.0,451.26M,No,132.79,174.71,132.32,157.55,6.62
