Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
438,SHAHALLOYS.NS,96.76,100.53,14.68K,Non-Energy Minerals,Steel,87.0,95.0,90.0,85.0,7.7671,7.2571,86.70K,407.10K,116.85,53.1,1.92B,No,89.72,77.75,69.94,79.72,71.35,499
439,FILATEX.NS,76.25,75.55,654.45K,Process Industries,Textiles,87.0,18.0,91.0,91.0,3.77,3.6693,4295.18K,1823.76K,87.27,36.26,33.86B,No,78.93,74.6,53.63,76.18,55.72,500
442,JAIPAN.BO,40.5,40.08,6.16K,Consumer Durables,Electronics/Appliances,87.0,80.0,92.0,84.0,2.1207,2.0414,23.88K,4.55K,45.0,22.5,247.04M,No,38.63,36.2,29.43,37.32,30.33,497
443,IIRM.BO,137.65,138.6,3.40K,Producer Manufacturing,Miscellaneous Manufacturing,87.0,57.0,74.0,86.0,5.7786,5.7786,28.09K,32.14K,151.85,68.0,9.38B,No,132.32,132.58,102.74,134.29,111.47,497
452,AMAGI.NS,572.05,583.75,165.26K,Technology Services,Packaged Software,86.0,13.0,87.0,80.0,22.5643,22.25,895.24K,463.27K,727.4,310.2,123.76B,No,577.92,598.71,,596.44,466.92,161
454,CONSOFINVT.NS,303.5,305.05,3.31K,Finance,Financial Conglomerates,86.0,80.0,85.0,72.0,11.4179,9.4429,17.07K,17.73K,320.0,152.0,9.81B,No,277.68,276.67,223.6,282.66,244.53,498
455,ALPHAGEO.NS,321.8,325.0,5.21K,Industrial Services,Oilfield Services/Equipment,86.0,83.0,93.0,84.0,16.2064,15.8993,36.16K,12.81K,368.0,164.8,2.05B,No,317.48,256.59,224.44,263.69,225.73,499
466,BHEL.NS,429.5,433.7,3962.60K,Producer Manufacturing,Electrical Products,86.0,62.0,70.0,86.0,11.725,11.3036,11630.83K,7659.08K,446.5,219.42,1495.55B,No,425.2,414.13,338.13,417.29,362.12,501
468,BRRL.BO,948.0,910.85,0.20K,Consumer Durables,Homebuilding,86.0,79.0,45.0,61.0,40.05,36.6393,4.17K,2.82K,1011.0,260.3,9.79B,No,908.95,887.04,794.93,884.4,903.43,496
473,PFOCUS.NS,313.55,316.3,374.27K,Consumer Services,Movies/Entertainment,86.0,81.0,87.0,56.0,13.2857,13.1214,836.28K,990.75K,367.0,161.01,244.18B,No,292.71,282.76,261.63,289.17,278.4,499
476,MPSLTD.NS,2705.9,2783.3999,10.46K,Consumer Services,Publishing: Books/Magazines,86.0,32.0,92.0,92.0,95.35,94.5,69.85K,15.01K,2979.0,1336.1,45.93B,No,2744.31,2539.6,1968.24,2624.0,2000.36,498
485,MANORAMA.NS,2085.0,2093.3,216.71K,Consumer Non-Durables,Food: Specialty/Candy,85.0,93.0,86.0,83.0,72.5143,70.4786,449.08K,343.86K,2149.5,1060.6,131.61B,No,1916.15,1728.2,1468.62,1765.33,1529.13,500
492,AKUMS.NS,749.65,741.1,289.46K,Health Technology,Biotechnology,85.0,54.0,77.0,83.0,26.4893,26.1071,385.94K,366.56K,796.55,409.3,114.77B,No,757.03,712.0,548.97,717.46,593.4,498
493,SBECSUG.BO,62.0,64.4,3.23K,Process Industries,Agricultural Commodities/Milling,85.0,14.0,24.0,91.0,3.6186,3.3421,10.45K,4.53K,88.84,26.85,2.95B,No,66.91,66.14,43.46,64.45,47.83,497
494,CHEMBOND.NS,225.82,220.36,47.69K,Process Industries,Chemicals: Major Diversified,85.0,92.0,90.0,84.0,15.2857,13.7564,12.42K,49.81K,236.8,105.15,3.04B,No,178.66,178.81,162.13,180.08,163.81,499
510,ALIVUS.NS,1390.2,1400.1,72.28K,Health Technology,Pharmaceuticals: Major,85.0,53.0,86.0,82.0,56.1572,55.8715,159.19K,296.70K,1493.8,819.0,170.68B,No,1382.13,1267.46,1048.22,1272.87,1107.02,499
523,DIVSHKT.BO,74.84,78.77,13.38K,Non-Energy Minerals,Construction Materials,84.0,97.0,93.0,79.0,4.8086,3.8014,9.03K,47.64K,86.76,44.0,768.52M,No,55.29,52.05,51.4,54.52,51.37,497
525,WOCKPHARMA.NS,2220.6,2248.8,693.18K,Health Technology,Pharmaceuticals: Major,84.0,89.0,71.0,88.0,85.9,84.0,949.57K,1650.84K,2422.3,1086.7,360.83B,No,1971.77,1931.11,1600.76,1964.67,1687.04,501
526,PURPLEFIN.BO,73.0,73.51,24.04K,Finance,Finance/Rental/Leasing,84.0,43.0,61.0,70.0,2.97,2.895,87.05K,41.23K,78.5,33.0,4.30B,No,72.09,71.06,62.19,71.23,65.98,498
527,EMMFORCE.BO,180.35,182.65,2.40K,Producer Manufacturing,Auto Parts: Oem,84.0,28.0,93.0,77.0,5.2786,4.5929,28.59K,11.40K,201.05,105.0,3.70B,No,184.33,181.97,141.85,181.9,144.64,498
528,SHRIPISTON.NS,4447.4,4500.7998,29.12K,Producer Manufacturing,Auto Parts: Oem,84.0,57.0,80.0,82.0,152.4427,150.7713,72.22K,70.43K,4785.8,2525.8,206.30B,No,4541.67,4395.79,3506.26,4395.64,3724.3,499
530,RBA.NS,96.82,100.5,2882.04K,Consumer Services,Restaurants,84.0,68.0,89.0,83.0,4.3971,4.3743,12769.28K,3353.97K,111.15,57.15,68.94B,No,100.71,85.05,70.33,86.5,73.01,499
538,ORIENTBELL.NS,412.0,420.1,16.72K,Producer Manufacturing,Building Products,84.0,87.0,83.0,84.0,20.8286,20.5821,26.24K,74.83K,434.95,246.55,6.06B,No,379.82,344.36,307.92,350.47,318.68,499
541,EXICOM.NS,176.73,180.42,1218.44K,Producer Manufacturing,Electrical Products,84.0,91.0,80.0,93.0,8.495,8.4357,3541.54K,2476.90K,189.17,75.6,24.58B,No,164.33,163.17,127.29,164.33,134.83,501
554,CAMEXLTD.BO,51.39,51.46,9.66K,Process Industries,Textiles,84.0,91.0,80.0,89.0,3.1321,2.805,12.46K,67.39K,53.5,26.37,524.63M,No,41.16,40.98,35.62,41.66,37.13,497
565,CLEANMAX.NS,1399.0,1397.6,108.48K,Utilities,Alternative Power Generation,83.0,79.0,67.0,85.0,59.3357,57.3643,269.65K,361.36K,1536.0,727.1,164.06B,No,1281.93,1305.19,,1323.13,,133
574,BDH.BO,515.4,521.8,0.53K,Health Technology,Pharmaceuticals: Other,83.0,22.0,80.0,75.0,28.4536,27.9393,3.62K,1.84K,610.0,306.0,2.97B,No,526.88,543.34,430.22,545.38,444.2,497
575,ECOBOAR.BO,61.57,62.25,4.27K,Non-Energy Minerals,Forest Products,83.0,83.0,61.0,45.0,3.2914,3.2286,7.73K,8.83K,77.8,31.5,1.63B,No,61.7,57.9,56.36,58.1,60.16,497
576,PRABHA.NS,247.58,246.58,117.24K,Energy Minerals,Oil & Gas Production,83.0,97.0,93.0,86.0,14.6379,14.5621,490.63K,1641.48K,262.8,137.91,35.44B,No,213.14,174.97,168.4,180.14,166.8,369
588,GRAPHITE.NS,824.8,844.65,11526.91K,Process Industries,Industrial Specialties,83.0,83.0,84.0,66.0,35.075,31.8607,1779.95K,4948.57K,874.35,516.2,161.15B,No,729.02,684.55,658.19,698.31,684.35,500
592,DIFFNKG.NS,449.55,440.55,213.29K,Producer Manufacturing,Industrial Machinery,83.0,91.0,80.0,89.0,26.4393,26.0536,372.84K,1338.27K,519.9,216.8,16.69B,No,429.18,410.29,328.84,413.25,343.27,482
595,VIDYAWIRES.NS,90.21,89.76,699.90K,Non-Energy Minerals,Other Metals/Minerals,83.0,42.0,49.0,89.0,3.1843,3.0957,1235.37K,1184.96K,117.35,42.51,19.19B,No,88.5,91.47,,91.36,81.84,190
596,DCBBANK.NS,227.13,228.1,925.38K,Finance,Regional Banks,82.0,89.0,82.0,72.0,7.8371,7.6257,1935.60K,3233.57K,234.8,122.4,73.18B,No,209.43,197.09,185.33,199.0,186.79,501
598,NETWEB.NS,5013.5,4898.5,1532.01K,Electronic Technology,Computer Peripherals,82.0,64.0,74.0,83.0,231.3357,226.7214,1657.09K,1546.03K,5813.0,2822.3,298.03B,No,5216.68,4757.63,3915.44,4830.61,4244.56,500
607,REGENCY.BO,46.34,46.34,54.54K,Finance,Investment Banks/Brokers,82.0,62.0,81.0,86.0,1.9379,1.9379,139.94K,79.48K,48.8,22.71,3.72B,No,46.45,44.12,35.02,44.52,35.83,497
610,VISHNU.NS,723.8,709.05,82.84K,Process Industries,Chemicals: Specialty,82.0,91.0,79.0,80.0,24.8357,24.0322,135.96K,251.84K,744.0,443.7,48.72B,No,654.47,628.27,565.58,635.03,584.07,500
611,VISTARAMAR.BO,205.9,206.0,1.95K,Finance,Investment Banks/Brokers,82.0,13.0,72.0,55.0,13.4107,13.225,5.55K,4.75K,254.9,91.15,1.19B,No,210.1,212.15,174.34,210.01,200.09,497
636,ORCHPHARMA.NS,1016.1,1024.85,43.31K,Health Technology,Pharmaceuticals: Major,81.0,29.0,74.0,92.0,47.2107,46.9357,182.62K,63.04K,1133.0,480.0,51.54B,No,985.8,1000.97,786.54,1002.49,792.93,500
637,STOVEKRAFT.NS,840.05,839.3,48.55K,Consumer Durables,Electronics/Appliances,81.0,72.0,82.0,89.0,31.05,31.0071,228.38K,208.70K,877.0,447.05,27.81B,No,806.42,791.75,620.86,791.78,645.67,499
639,ASKAUTOLTD.NS,622.4,627.25,107.72K,Producer Manufacturing,Auto Parts: Oem,81.0,35.0,91.0,85.0,22.075,21.7357,747.95K,305.32K,687.7,375.3,122.70B,No,628.1,569.35,478.01,576.65,484.16,501
645,UCAL.NS,145.8,147.92,6.27K,Producer Manufacturing,Auto Parts: Oem,81.0,91.0,91.0,78.0,7.1743,7.0114,37.52K,23.26K,163.8,77.0,3.22B,No,146.32,128.88,111.79,131.54,111.78,497
652,MSECL.BO,300.0,301.6,10.80K,Commercial Services,Miscellaneous Commercial Services,81.0,94.0,90.0,81.0,15.675,15.0071,19.99K,66.90K,331.05,165.0,4.25B,No,251.84,235.8,219.52,241.21,225.72,279
664,YAANENT.BO,123.95,119.9,0.22K,Consumer Services,Other Consumer Services,81.0,63.0,78.0,76.0,6.05,4.3464,2.86K,0.57K,136.4,70.0,384.24M,No,120.38,111.47,102.77,113.23,103.43,497
667,VIJAYA.NS,1498.8,1498.9,87.80K,Health Services,Medical/Nursing Services,81.0,51.0,73.0,83.0,43.4357,43.4357,253.37K,165.06K,1578.0,848.0,154.37B,No,1491.49,1419.1,1165.0,1416.28,1227.84,500
670,IFINSEC.BO,236.15,248.0,0.12K,Finance,Finance/Rental/Leasing,81.0,64.0,78.0,74.0,20.4857,18.0429,0.60K,0.51K,284.95,140.1,6.89B,No,232.7,226.31,195.86,223.72,202.2,499
671,THEMISMED.NS,132.07,132.71,80.19K,Health Technology,Pharmaceuticals: Major,80.0,87.0,83.0,87.0,7.3829,6.7564,428.04K,622.53K,148.0,64.95,12.27B,No,118.28,114.63,99.5,114.14,100.52,500
673,STEELCAS.NS,323.55,324.8,45.34K,Non-Energy Minerals,Steel,80.0,48.0,68.0,77.0,15.2143,15.1643,228.14K,84.65K,364.0,176.02,32.74B,No,342.27,325.52,265.75,326.44,288.19,499
687,GVPIL.NS,654.5,659.25,101.56K,Industrial Services,Engineering & Construction,80.0,3.0,2.0,78.0,25.2179,24.9714,288.03K,204.28K,1084.0,270.9,44.00B,No,664.92,743.48,578.78,729.26,671.73,501
699,MODRNSH.BO,46.5,48.94,3.92K,Finance,Investment Banks/Brokers,80.0,90.0,86.0,88.0,3.9043,3.7364,2.77K,6.35K,49.57,24.7,136.30M,No,37.76,36.08,35.32,36.6,33.23,497
703,MARBLE.BO,144.45,120.4,2414.84K,Distribution Services,Wholesale Distributors,80.0,88.0,93.0,81.0,10.5893,9.1857,48.13K,149.08K,174.5,83.9,3.76B,No,119.01,122.73,120.05,121.94,108.17,497
704,IDEAFORGE.NS,743.45,747.45,190.74K,Electronic Technology,Aerospace & Defense,80.0,8.0,10.0,87.0,29.6464,29.5607,309.66K,295.85K,992.25,366.0,36.96B,No,792.45,836.6,628.74,836.34,697.32,500
707,IPCALAB.NS,1970.9,1963.6,209.28K,Health Technology,Pharmaceuticals: Major,80.0,81.0,80.0,70.0,42.3071,41.7786,377.62K,189.27K,2001.5,1251.6,500.03B,No,1931.42,1841.92,1594.4,1846.67,1654.11,500
