Rank,Industry,Sector,RS,1M_RS,3M_RS,6M_RS,Ticker
30,Pharmaceuticals: Major,Health Technology,55,48,56,57,"VINRKLB.BO,FREDUN.BO,PHRMASI.BO,VENUSREM.NS,NGLFINE.NS,ACUTAAS.NS,BLISSGVS.NS,SAKAR.NS,CONCORD.BO,SMSPHARMA.NS,GODAVARI.BO,INDSWFTLAB.NS,LAURUSLABS.NS,STAR.NS,PARNAXLAB.BO,SUVEN.NS,BACPHAR.BO,NATCOPHARM.NS,SENORES.NS,SHILPAMED.NS,LINCOLN.NS,AAREYDRUGS.NS,GLENMARK.NS,SUDARSHAN.BO,SHUKRAPHAR.BO,BAFNAPH.NS,NEULANDLAB.NS,NOVELIX.BO,EMCURE.NS,ANURAS.NS,JBCHEPHARM.NS,SAIPARENT.NS,ONESOURCE.NS,MAKERSL.BO,WOCKPHARMA.NS,CORONA.NS,SPARC.NS,TORNTPHARM.NS,GUJTHEM.NS,RPGLIFE.NS,PRAVEG.NS,ALIVUS.NS,AJANTPHARM.NS,AUROLAB.BO,AMANTA.NS,VIYASH.NS,BPLPHARMA.BO,ASTONEALAB.BO,SYSCHEM.BO,LACTOSE.BO,KOPRAN.NS,IPCALAB.NS,WANBURY.NS,INNOVACAP.NS,ZOTA.NS,SUNPHARMA.NS,DRREDDY.NS,VALIANTLAB.NS,NOVARTIND.NS,MARKSANS.NS,DIVISLAB.NS,ROOPAIND.BO,BIOCON.NS,JENBURPH.BO,ALKEM.NS,KPL.NS,SANOFICONR.NS,GLAND.NS,SUPRIYA.NS,INDGN.NS,ZYDUSLIFE.NS,MANKIND.NS,PPLPHARMA.NS,TYCHE.BO,INDOCO.NS,ALBERTDAVD.NS,HESTERBIO.NS,ANUHPHR.NS,THEMISMED.NS,KIMIABL.BO,PFIZER.NS,AMBALALSA.NS,CAPLIPOINT.NS,SMRUTHIORG.BO,MOREPENLAB.NS,BALPHARMA.NS,AARTIPHARM.NS,SGRL.BO,ASTRAZEN.NS,PANACEABIO.NS,JUBLPHARMA.NS,PGHL.NS,BIOFILCHEM.NS,ALEMBICLTD.NS,AARTIDRUGS.NS,ORCHPHARMA.NS,MERCURYLAB.BO,PANCHSHEEL.BO,VIKRAMTH.BO,SOLARA.NS,GLAXO.NS,WINDLAS.NS,ZENOTECH.BO,KREBSBIO.NS,MEDICAPQ.BO,ERIS.NS,STARSOURCE.BO,ABBOTINDIA.NS,APLLTD.NS,FDC.NS,GUFICBIO.NS,BLUEJET.NS,TLL.BO,COLINZ.BO,PARMAX.BO,HIKAL.NS,SUNLOC.BO,KILITCH.NS,MEDICO.NS,TTKHLTCARE.NS,UNICHEMLAB.NS,ALPA.NS,DCAL.NS,BETA.NS,COHANCE.NS,SANJIVIN.BO,BAJAJHCARE.NS,OXYGENTAPH.BO,MEDICAMEQ.NS,VRL.BO,SHELTER.BO,GUJTERC.BO,SANOFI.NS,BROOKS.NS"
31,Metal Fabrication,Producer Manufacturing,55,51,55,55,"MODMA.BO,BELDING.BO,OMNI.NS,SIMMOND.BO,BHARATFORG.NS,HAPPYFORGE.NS,AZAD.NS,MMFL.NS,SYSTEMATIC.BO,BHARATWIRE.NS,MAGNAELQ.BO,AUTOPINS.BO,USHAMART.NS,GALAGEX.BO,SIMPLEXCAS.BO,ALPHAIND.BO,MENONBE.NS,SHIVAUM.NS,NIBL.NS,TEMBO.NS,ROLEXRINGS.NS,KENNAMET.NS,RKFORGE.NS,SKIPPER.NS,HARSHA.NS,SCHAEFFLER.NS,KPGEL.BO,RAJRATAN.NS,AMIC.BO,KVFORGE.BO,UNIABEXAL.BO,ENDURANCE.NS,PTCIL.NS,GALAPREC.NS,TIIL.NS,PRADPME.NS,FRONTSP.NS,SHYAMMETL.NS,AUSTENG.BO,SHREMETAL.BO,NATFIT.BO,INVPRECQ.NS,BOMBWIR.BO,KASTURI.BO,DPWIRES.NS,DELTAMAGNT.NS,STERTOOLS.NS,JYOTICNC.NS,VISHALBL.BO,AEL.BO,GTIL.BO,GALXBRG.BO,SWASTIKAAL.BO,COSMOFE.BO,SKFINDIA.NS,KARBON.BO,RELICAB.BO,ASGARD.BO,STAL.BO,NARMADESH.BO"
32,Food: Major Diversified,Consumer Non-Durables,54,36,45,57,"APIS.BO,IBINFO.BO,SVJ.BO,ZYDUSWELL.NS,NESTLEIND.NS,LYKISLTD.BO,BENGALT.BO,BCLIND.NS,TIGLOB.BO,SSMD.BO,GILLANDERS.NS,SANSTAR.NS,NEAGI.NS,GROBTEA.NS,TERAI.BO,JAMESWARREN.BO,AVEER.BO,CHORDIA.BO,UNIQUEO.BO,BBTC.NS,DVL.NS"
33,Electronics/Appliances,Consumer Durables,53,56,62,48,"UNIVPHOTO.NS,CPPLUS.NS,SHARP.BO,KHAITANLTD.NS,INFLAME.BO,SINGERIND.NS,LGEINDIA.NS,STOVEKRAFT.NS,BUTTERFLY.NS,ORIENTELEC.NS,WHIRLPOOL.NS,IFBIND.NS,BAJAJELEC.NS,GORANIN.BO"
34,Hospital/Nursing Management,Health Services,53,40,52,45,"ASARFI.BO,PARKHOSPS.NS,YATHARTH.NS,ASTERDM.NS,KMCSHIL.BO,GKSL.NS,FORTIS.NS,APOLLOHOSP.NS,HANNAH.BO,KIMS.NS,ARTEMISMED.NS,SHARMEH.BO,KOVAI.NS,NH.NS,MEDANTA.NS,RAINBOW.NS,HCG.NS,INDRAMEDCO.NS,GPTHEALTH.NS,CMMHOSP.BO,MAXHEALTH.NS,KKSHL.BO,SHANMUGA.BO,FORTISMLR.BO,SHALBY.NS,JLHL.NS,NGIND.BO,AASHKA.BO"
35,Finance/Rental/Leasing,Finance,53,48,45,53,"RANJITSE.BO,GDLLEAS.BO,ASIACAP.BO,AUTOINT.BO,DHRUVCA.BO,TRUSTEDGE.BO,CITIPOR.BO,PURPLEFIN.BO,CLFL.BO,PAISALO.NS,TFCILTD.NS,VLL.BO,SHRIRAMFIN.NS,LTF.NS,SATIN.NS,KINETRU.BO,PIRAMALFIN.NS,FUSION.NS,INDBNK.BO,MUTHOOTMF.NS,MUTHOOTFIN.NS,SSFLPP.BO,SHVFL.BO,MANAPPURAM.NS,MUFIN.NS,IFCI.NS,JAFINANCE.BO,CREDITACC.NS,NORTHARC.NS,LAXMIINDIA.NS,FEDFINA.NS,MASFIN.NS,KREONFIN.BO,PNBHOUSING.NS,MANGALCOMP.BO,PFC.NS,SANGHVIMOV.NS,CGCL.NS,CROWN.NS,IFINSEC.BO,RAJKOTINV.BO,THACKER.NS,POONAWALLA.NS,PAYTM.NS,ARMANFIN.NS,AYE.NS,GRANDOAK.NS,HUDCO.NS,AASTAFIN.BO,M&MFIN.NS,MANSIFIN.BO,ICDSLTD.NS,CANFINHOME.NS,CHOLAFIN.NS,SAMMAANCAP.NS,LICHSGFIN.NS,SPANDANA.NS,SANGAMFIN.BO,BAJFINANCE.NS,JJFINCOR.BO,REPCOHOME.NS,AVAILFC.NS,TFSL.BO,MASKINVEST.NS,AADHARHFC.NS,SAHARAHOUS.BO,INDUSTOWER.NS,SRGHFL.NS,PARAGONF.BO,GLANCE.BO,HOMEFIRST.NS,SAINIK.BO,IIFL.NS,RTFL.BO,INDIASHLTR.NS,CHOLAHLDNG.NS,MANCREDIT.NS,TATACAP.NS,SBFC.NS,SAHLIBHFI.NS,SONAL.NS,INDOSTAR.NS,TARACHAND.NS,NIYOGIN.BO,IREDA.NS,ABHICAP.BO,SUNDARMFIN.NS,PRITHVIEXCH.BO,RECLTD.NS,CEEJAY.BO,HDBFS.NS,INTRGLB.BO,KIFS.BO,APTUS.NS,GICHSGFIN.NS,PFS.NS,INDIAHOME.BO,NLFL.BO,ACME.BO,RELICTEC.BO,IRFC.NS,AAVAS.NS,MKVENTURES.BO,SALEM.BO,MUTHOOTCAP.NS,ADMANUM.BO,MANBA.NS,STARTECK.NS,RFL.BO,MTPL.BO,HARYNACAP.BO,BAJAJHFL.NS,NDGL.NS,FIVESTAR.NS,SBICARD.NS,APOLLOFI.BO,FMEC.BO,ABIRAFN.BO,MANRAJH.BO,FINKURVE.NS,KEYCORP.BO,ECOSMOBLTY.NS,UGROCAP.NS,SRSOLTD.BO,MAHAPEXLTD.NS"
36,Investment Managers,Finance,53,49,50,52,"SPACAPS.BO,ANANDRATHI.NS,VGCL.BO,MIIL.BO,JPOLYINVST.NS,ICICIAMC.NS,PRUDENT.NS,HDFCAMC.NS,ESCORP.BO,NUVAMA.NS,BLAL.NS,NAHARCAP.NS,360ONE.NS,AFSL.NS,STANROS.BO,VHL.NS,CREST.NS,WEALTH.NS,EMKAY.NS,LADDERUP.BO,VEDANTASSET.BO,CRAMC.NS,UTIAMC.NS,CORALFINAC.NS,SRAMSET.BO,MEDIASSIST.NS,CMSINFO.NS"
37,Other Consumer Specialties,Consumer Durables,53,44,47,58,"GKL.BO,THANGAMAYL.NS,DEVLAB.BO,SKYGOLD.NS,SKRABUL.BO,GOLKUNDIA.BO,SILGO.NS,GOLDIAM.NS,SONAMLTD.NS,TITAN.NS,TIMEX.NS,UDAYJEW.BO,PNGSREVA.NS,AJCJEWEL.BO,SENCO.NS,SHRINGARMS.NS,SHANTIGOLD.NS,RBZJEWEL.NS,SWARNSAR.BO,VAIBHAVGBL.NS,RGL.NS,LGHL.NS,KDDL.NS,KOURA.BO,BANARBEADS.NS,EY.BO,VIPIND.NS,TBZ.NS,RADHIKAJWE.NS,SHOORA.BO,SAFARI.NS,RAJESHEXPO.NS,VARYAA.BO,LUXURY.BO"
38,Forest Products,Non-Energy Minerals,52,40,49,57,"VRWODAR.BO,ECOBOAR.BO,STYLAMIND.NS,PREMIERPOL.NS,WIPL.NS,RESPONIND.NS,GREENLAM.NS,AIROLAM.NS,GREENPANEL.NS,BIRLANU.NS,DUROPLY.BO"
39,Food: Meat/Fish/Dairy,Consumer Non-Durables,52,59,58,48,"APEX.NS,ESSEX.BO,SCPL.NS,HATSUN.NS,PARAGMILK.NS,CHATHA.BO,DODLA.NS,HERITGFOOD.NS,MODAIRY.BO,JFL.BO"
