Rank,Industry,Sector,RS,1M_RS,3M_RS,6M_RS,Ticker
72,Real Estate Development,Finance,44,52,47,45,"SAFFRON.BO,GARNET.BO,RATNABHUMI.BO,AGIIL.NS,MNIL.BO,KESAR.BO,MODIPON.BO,TULIVE.BO,NEOINFRA.BO,ASHIANA.NS,EMAMIREAL.NS,RAP.BO,SBLI.BO,PROZONER.NS,TRADEWELL.BO,SHRIRAMPPS.NS,HEMIPROP.NS,PHOENIXLTD.NS,NUKLEUS.BO,ARVSMART.NS,VGIL.BO,OMAXE.NS,RRECL.BO,NIRLON.NS,TCIIND.BO,SHRIKRISH.NS,ELDEHSG.NS,OBEROIRLTY.NS,DBREALTY.NS,YOGI.BO,MODIS.NS,PTL.NS,MANINFRA.NS,RAJABAH.BO,ARIHANT.NS,SMARTWORKS.NS,RAYMONDREL.NS,RODIUM.BO,KALPATARU.NS,SOBHA.NS,NARPROP.BO,MADHUDIN.BO,GODREJPROP.NS,GYANDEV.BO,KOLTEPATIL.NS,PRIMIND.BO,MAXESTATES.NS,NATIONSTD.NS,PRESTIGE.NS,SVGLOBAL.BO,SRMCL.BO,MAHLIFE.NS,JUSTO.BO,GROVY.BO,ELNET.BO,HUBTOWN.NS,MARATHON.NS,NIMBSPROJ.NS,3PLAND.NS,DEVX.NS,GEECEE.NS,KEMP.BO,DLF.NS,TARC.NS,WEWORK.NS,PURVA.NS,BRIGADE.NS,SIGNATURE.NS,MARBU.BO,CITADEL.BO,INDIQUBE.NS,AMJLAND.NS,LODHA.NS,SUNTECK.NS,LOTUSDEV.NS,ASTALLTD.BO,RAINBOWF.BO,JAMSHRI.BO,SHERVANI.BO,DYNAVSN.BO,ARIHANTSUP.NS,RUSTOMJEE.NS,EMBDL.NS,SAMINDUS.BO,AJMERA.NS,PHOENXINTL.BO,OSWALAGRO.NS,AWFIS.NS,SUPREME.NS,SUMIT.NS,IITLPROJ.BO"
73,Multi-Line Insurance,Finance,44,39,36,45,"ABCAPITAL.NS,NIACL.NS,GODIGIT.NS,RELIGARE.NS,HDFCLIFE.NS"
74,Miscellaneous,Miscellaneous,44,42,50,41,"SCILAL.NS,ASHIKA.NS,INOVSYNTH.BO"
75,Financial Conglomerates,Finance,44,50,47,43,"SALSAIN.BO,KARTKIN.BO,GALADAFIN.BO,CONSOFINVT.NS,SWATIPRO.BO,LERTHAI.BO,RPSGVENT.NS,STEL.NS,TEAMGTY.NS,BFINVEST.NS,KICL.NS,DFL.BO,SOUTLAT.BO,ZSARACOM.NS,JINDALPHOT.NS,APOORVA.BO,AIIL.NS,RSDFIN.NS,PILANIINVS.NS,IITL.NS,MARGOFIN.BO,FEDDERSHOL.NS,ELCIDIN.NS,NBIFIN.NS,JIOFIN.NS,QGO.BO,NSIL.NS,BAJAJHLDNG.NS,LFIC.NS,SILINV.NS,KGVL.BO,MKPMOB.BO,TSFINV.NS,ZMILGFIN.BO,MORGAN.BO,MORARKFI.BO,NISUS.BO,CUPIDALBV.BO"
76,Oil Refining/Marketing,Energy Minerals,44,37,35,48,"CHENNPETRO.NS,ONGC.NS,RELIANCE.NS,OIL.NS,MRPL.NS,VEEDOL.NS,GULFPETRO.NS,CASTROLIND.NS,CONTPTR.BO,HINDPETRO.NS,BPCL.NS,GULFOILLUB.NS"
77,Household/Personal Care,Consumer Non-Durables,43,41,38,52,"CUPID.NS,BAJAJCON.NS,HIPOLIN.BO,MARICO.NS,THRIVE.BO,RAVEL.BO,PAOS.BO,STDSFAC.BO,COLPAL.NS,HINDUNILVR.NS,DABUR.NS,GALAXYSURF.NS,GILLETTE.NS,JYOTHYLAB.NS,GODREJCP.NS,EMAMILTD.NS,PCCOSMA.BO,PGHH.NS,KAYA.NS,AMWILL.BO"
78,Chemicals: Agricultural,Process Industries,43,47,47,43,"BHASKAGR.BO,KRISHANA.NS,MBAPL.NS,MAHALIFE.BO,GSPCROP.NS,ATUL.NS,ARIES.NS,DEEPAKFERT.NS,FACT.NS,DHARMAJ.NS,ASTEC.NS,MACIND.BO,BHAGCHEM.NS,KOTIC.NS,INSECTICID.NS,SUMICHEM.NS,PHOSPHATE.BO,TEEAI.BO,NACLIND.NS,3BBLACKBIO.NS,EPIGRAL.NS,TATACHEM.NS,ZUARI.NS,RALLIS.NS,EXCELINDUS.NS,BAYERCROP.NS,IPL.NS,GSFC.NS,RAMAPHO.NS,RCF.NS,UPL.NS,ADVANCE.NS,NFL.NS,JUBLCPL.NS,BSHSL.NS,SPIC.NS,PUNJABCHEM.NS,KEMISTAR.BO,EIDPARRY.NS,MADRASFERT.NS,HERANBA.NS,AGROPHOS.NS,PARADEEP.NS,AIMCOPEST.BO,KHAICHEM.NS,IGCL.NS,SHIVALIK.NS,BHARATRAS.NS"
79,Miscellaneous Commercial Services,Commercial Services,43,49,41,42,"SMTEL.BO,MAGNUS.BO,ISTRNETWK.BO,HYPERSOFT.BO,AMITSEC.BO,AXISCADES.NS,GLOBAL.NS,ACCELERATE.BO,CMPDI.NS,WEWIN.NS,SAILIFE.NS,MITCON.NS,ONEGLOBAL.BO,ICONIKSPEV.BO,EXHICON.BO,KAPSTON.NS,ONEPOINT.NS,SIS.NS,MCEL.BO,SEIL.NS,PRODOCS.BO,ICON.BO,JOJO.BO,QLL.BO,CAPRO.BO,IKS.NS,VERANDA.NS,IGIL.NS,APTECHT.NS,BLIL.NS,ASTAR.NS,KRYSTAL.NS,WALCHPF.BO,MPILCORPL.BO,MAJESAUT.NS,AEIM.BO,KGES.BO,EMERGENT.BO,ASIAPAK.BO,PML.NS,WSFX.BO,RITES.NS,VIMTALABS.NS,NBCC.NS,LTTS.NS,CHOICEIN.NS,MOBIKWIK.NS,MSECL.BO,BLUSPRING.NS,SNOWMAN.NS,RTNINDIA.NS,TECHKGREEN.BO,SAGILITY.NS,HILIKS.BO,ALPHALOGIC.BO,ADL.NS,SUGALDAM.BO,ASIAN.BO,ALLDIGI.NS,CONCORDBIO.NS,HGS.NS,JAYKAY.NS,NIITMTS.NS,RADIANTCMS.NS,CPEDU.NS,PROCLB.BO,AARTECH.NS,TOUCHWOOD.NS,ECLERX.NS,SYNGENE.NS,DECOMIC.BO,UDS.NS,PWL.NS,NIITLTD.NS,CHOKSILA.BO,AMALGAM.BO,FUTSOL.BO,FSL.NS,LATENTVIEW.NS,NISMGMT.BO,VISVEN.BO,DIGITIDE.NS,UNICK.BO,MAPMYINDIA.NS,TTC.BO,SSL.BO,SAFECURE.BO,CLEDUCATE.NS"
80,Automotive Aftermarket,Consumer Durables,43,36,32,45,"TRITONV.BO,MODIRUBBER.NS,BENGALASM.NS,TVSSRICHAK.NS,JKTYRE.NS,JTEKTINDIA.NS,GOODYEAR.NS,MRF.NS,CEATLTD.NS,BALKRISIND.NS,DOLFIN.BO,APOLLOTYRE.NS,KRYPTONQ.BO,TOLINS.NS"
81,Containers/Packaging,Process Industries,42,40,40,42,"EASTINDIA.BO,HPBL.BO,JINDALPOLY.NS,NRAIL.NS,KALYANI.BO,HALDYNGL.NS,EPL.NS,CLARA.BO,COMSYN.NS,AERONEU.NS,COSMOFIRST.NS,JAICORPLTD.NS,BI.NS,BBTCL.NS,SHREERAMA.NS,RDBRL.BO,TAINWALCHM.NS,ARROWGREEN.NS,TIMETECHNO.NS,WORTHPERI.NS,BOROSCI.NS,RAJPACK.BO,BAIKAKAJI.BO,ECOPLAST.BO,JUMBO.BO,HUHTAMAKI.NS,ORIENTLTD.NS,GUJCONT.BO,TARSONS.NS,SHETR.BO,UFLEX.NS,POLYSPIN.BO,AGI.NS,BALAJEE.NS,BAPACK.BO,EMMBI.NS,KAIRA.BO,PERFEPA.BO,RISHITECH.BO,HINDTIN.BO,PGFOILQ.BO,GUJCRAFT.BO,GLEN.BO,SIEL.BO,CAPRIHANS.BO"
82,Consumer Sundries,Consumer Non-Durables,42,25,36,41,"WELSPUNLIV.NS,RADIXIND.BO,BIL.NS,LINC.NS,GPSL.BO"
83,Financial Publishing/Services,Commercial Services,42,22,28,49,"CARERATING.NS,ICRA.NS"
84,Packaged Software,Technology Services,42,46,40,40,"COVIDH.BO,TELECANOR.BO,SHADOWFAX.NS,IZMO.NS,JUPITERIN.BO,ARIS.NS,NINSYS.NS,ACEALPHA.BO,EXATO.BO,FRACTAL.NS,PANSARI.NS,SOFTTECH.NS,INFOBEAN.NS,AMAGI.NS,BHARATROHAN.BO,NETLINK.BO,MOBAVENUE.BO,RATEGAIN.NS,OFSS.NS,SIGMA.NS,NOVUS.BO,INFINITY.BO,DATAMATICS.NS,BLACKBUCK.NS,CWD.BO,7SEASL.BO,PURPLEWAVE.BO,INNOVANA.NS,63MOONS.NS,URBANCO.NS,AURUM.NS,WORKMATES.BO,DANLAW.BO,NAZARA.NS,EXCELSOFT.NS,AHASOLAR.BO,KSOLVES.NS,TATATECH.NS,VEEFIN.BO,CAPILLARY.NS,BSOFT.NS,ABMKNO.NS,MUKTAARTS.NS,ICODEX.BO,AFFLE.NS,ACCELYA.NS,KFINTECH.NS,INTELLECT.NS,PINELABS.NS,EMUDHRA.NS,STYL.NS,MPHASIS.NS,UNIECOM.NS,ZAGGLE.NS,AUSTERE.BO,CONTCHM.BO,NPST.NS,CYIENT.NS,QUICKHEAL.NS,ODYSSEY.BO,RAMINFO.BO,ZENSARTECH.NS,RSSOFTWARE.NS,NBL.BO,NEWGEN.NS,HEXT.NS,KPITTECH.NS,SAGARSOFT.BO,WESTLEIRES.BO,GENESYS.NS,LOGICIEL.BO,SILVERTUC.NS"
85,Railroads,Transportation,42,44,39,56,"CONCOR.NS,GATEWAY.NS"
86,Movies/Entertainment,Consumer Services,42,50,47,43,"PFOCUS.NS,BALAJITELE.NS,TIPSMUSIC.NS,CPML.BO,DELTACORP.NS,PVRINOX.NS,UFO.NS,CINELINE.NS,SHEMAROO.NS,POOJAENT.BO,TIPSFILMS.NS,WONDERLA.NS,GFLLIMITED.NS,IMAGICAA.NS,SAREGAMA.NS,NICCOPAR.BO,GTTDATA.BO,AQYLON.NS"
87,Environmental Services,Industrial Services,41,60,52,36,"BANKA.NS,EIEL.NS,ORGANICREC.BO,ECORECO.BO,CEWATER.NS"
88,Homebuilding,Consumer Durables,41,46,48,45,"EMROCK.BO,SISL.BO,BRRL.BO,COROENGG.BO,SHRISTI.BO,ANANTRAJ.NS,THAKDEV.NS,PARSHWANA.BO,NCC.NS,RVHL.NS,ARKADE.NS,GANESHHOU.NS,ARTNIRMAN.NS,BGDL.BO,MAPROIN.BO,EASTBUILD.BO,SIMPLXREA.BO,ANSALBU.BO,ALPINEHOU.BO"
89,Apparel/Footwear,Consumer Non-Durables,40,40,37,41,"BIZOTIC.BO,RACHIT.BO,MANBRO.BO,LUXIND.NS,ACTIVE.BO,AAYUSHBULL.BO,KSR.NS,PGIL.NS,SPENTA.BO,ACKNIT.BO,SPAL.NS,SARUPINDUS.BO,IRISDOREME.NS,DAVIN.BO,VARDHACRLC.NS,VIRAT.BO,KKCL.NS,GOKEX.NS,KPRMILL.NS,SUNILTX.BO,MONTECARLO.NS,LEHAR.BO,SPLIL.NS,FIL.BO,SUPERHOUSE.NS,MIRZAINT.NS,PAGEIND.NS,CAMPUS.NS,THOMASCOTT.NS,MALLCOM.NS,TUSALDAH.BO,INDTERRAIN.NS,ZENITHEXPO.NS,LOVABLE.NS,ZODIACLOTH.NS,CANTABIL.NS,RUPA.NS,DOLLAR.NS,LIBERTSHOE.NS,BANG.NS,PDSL.NS,JAIPURKURT.NS,SCOOBEEDAY.BO,VIVAA.BO,RAYMONDLSL.NS,RELAXO.NS,BATAINDIA.NS,CEENIK.BO,ABCOTS.NS,GOCOLORS.NS,KHADIM.NS,VASHISHTHA.BO"
90,Publishing: Books/Magazines,Consumer Services,40,55,48,34,"DACHEPALLI.BO,SCHAND.NS,MPSLTD.NS"
91,Information Technology Services,Technology Services,39,43,36,39,"COVANCE.BO,STLTECH.NS,TAKE.NS,SATTRIX.BO,SIGMAADV.NS,AMPVOLTS.BO,BBOX.NS,EBGNG.NS,LOKESHMACH.NS,E2E.NS,ASMTEC.BO,DSSL.NS,ATISHAY.BO,PVP.NS,UNIFIED.BO,ZENTEC.NS,SECMARK.NS,AAATECH.NS,CAMS.NS,TANLA.NS,ARIGATO.BO,INFORTEC.BO,INTENTECH.NS,XTGLOBAL.NS,TERASOFT.NS,INSPIRISYS.NS,SASKEN.NS,IVALUE.NS,UNITEDINT.BO,MINDTECK.NS,ORIENTTECH.NS,TECHM.NS,CGVAK.BO,RAMCOSYS.NS,CYBERTECH.NS,EDVENSWA.BO,TRIGYN.NS,MADALA.BO,DCM.NS,CURAA.NS,ADSL.NS,PERSISTENT.NS,NUCLEUS.NS,EXPLEOSOL.NS,XCHANGING.NS,DEVIT.NS,ATHENAGLO.BO,SAKSOFT.NS,XELPMOC.NS,7TEC.BO,TREJHARA.NS,ONWARDTEC.NS,CIGNITITEC.NS,WIPRO.NS,PRARUH.BO,RSYSTEMS.NS,CTE.NS,GOLDTECH.NS,MASTEK.NS,PROTEAN.NS,CNINFOTECH.BO,MEGRISOFT.BO,COFORGE.NS,AURIONPRO.NS,TATAELXSI.NS,TCS.NS,SONATSOFTW.NS,INFY.NS,HCLTECH.NS,EUPHORIAIT.BO,METAINFO.BO,METHODHUB.BO"
92,Construction Materials,Non-Energy Minerals,38,38,36,41,"GLITTEKG.BO,SHIVAM.BO,SOBME.BO,SRICC.BO,NILACHAL.BO,MANGLMCEM.NS,MIDWESTLTD.NS,SAHYADRI.NS,VESUVIUS.NS,BVCL.NS,GRASIM.NS,INDIACEM.NS,STARCEMENT.NS,KAKATCEM.NS,ULTRACEMCO.NS,SHREDIGCEM.NS,JKCEMENT.NS,RAMCOIND.NS,PRSMJOHNSN.NS,JSWCEMENT.NS,SKCIL.BO,BIGBLOC.NS,MADHAV.NS,NUVOCO.NS,SAGCEM.NS,DIVSHKT.BO,RALEGRA.BO,ACL.NS,SHREECEM.NS,ARENTERP.NS,HPAL.NS,RAMCOCEM.NS,NCLIND.NS,HEIDELBERG.NS,APCL.NS,ASSOCER.BO,BIRLACORPN.NS,PANCM.BO,DECCANCE.NS,AMBUJACEM.NS,JKLAKSHMI.NS,ACC.NS,ZWELCAST.BO,PACIFICI.BO,INDOBELL.BO,SAURASHCEM.NS,KEERTHI.BO,ORIENTCEM.NS,GSLSU.NS"
93,Specialty Stores,Retail Trade,38,32,42,41,"CONFIPET.NS,ALANSCOTT.BO,HONASA.NS,PNGJL.NS,DMART.NS,BLUESTONE.NS,COMPEAU.BO,MVGJL.NS,PVSL.NS,HIRAUTO.BO,VMART.NS,KALYANKJIL.NS,LANDMARK.NS,GARGI.BO,DPABHUSHAN.NS,RAL.BO,PANORAMA.BO,AAYUSH.BO,WAKEFIT.NS"
94,Internet Retail,Retail Trade,37,44,31,34,"NYKAA.NS,HEALTHX.NS,MSTCLTD.NS,INDIAMART.NS,ISFT.NS,MANYAVAR.NS"
95,Tobacco,Consumer Non-Durables,37,50,52,41,"VIRATCRA.BO,VSTIND.NS,GODFRYPHLP.NS,NTCIND.BO,ITC.NS"
96,Other Transportation,Transportation,37,42,40,40,"SHREEJISPG.NS,ADANIPORTS.NS,GMRAIRPORT.NS,GKWLIMITED.NS,PRIMEFRESH.BO,SANCTRN.BO,RIDDHICORP.BO,NAVKARCORP.NS,INNOVISION.NS,REPONO.BO,STARLOG.BO,HILINFRA.NS,DREAMFOLKS.NS,SICALLOG.NS"
97,Major Telecommunications,Communications,36,68,41,37,"ITI.NS,RAILTEL.NS,TATACOMM.NS,MTNL.NS,ROUTE.NS"
98,Electronics Distributors,Distribution Services,36,54,41,40,"RPTECH.NS,CNL.NS,OPTIEMUS.NS,PALREDTEC.NS,ACCEDERE.BO,REDINGTON.NS"
99,Hotels/Resorts/Cruise Lines,Consumer Services,35,37,34,36,"AHLWEST.NS,RASRESOR.BO,HBESD.NS,AHLEAST.NS,VHLTD.NS,PGCRL.BO,JUNGLECAMP.BO,SAVERA.BO,MACH.BO,ITDC.NS,BENARAS.BO,SAYAJIHOTL.NS,SHPLPUNE.BO,THELEELA.NS,ADVANIHOTR.NS,BLUECOAST.NS,PARKHOTELS.NS,EIHOTEL.NS,SINCLAIR.NS,EIHAHOTELS.NS,INDHOTEL.NS,CHLLTD.BO,EMERALL.BO,CHALET.NS,ORIENTHOT.NS,APOLSINHOT.NS,UPHOT.BO,BRIGHOTEL.NS,ASIANHOTNR.NS,VENTIVE.NS,ROHLTD.NS,LEMONTREE.NS,RHL.NS,TAJGVK.NS,SAMHI.NS,CINDHO.BO,JINDHOT.BO,ITCHOTELS.NS,JUNIPER.NS,GUJHOTE.BO,RAYALEMA.BO,KAMATHOTEL.NS,HBGHOTELS.BO,BYKE.NS,ESPIRE.BO"
100,Oil & Gas Production,Energy Minerals,34,16,44,35,"ASIANENE.NS,PRABHAPP.BO,PRABHA.NS,BHAGWOX.BO"
101,Advertising/Marketing Services,Commercial Services,34,56,40,31,"SIGNPOST.NS,BRIGHT.BO,EMIAC.BO,ADCOUNTY.BO,CHTR.BO,VERTOZ.NS,RKSWAMY.NS"
102,Publishing: Newspapers,Consumer Services,34,41,34,43,"SANDESH.NS,JAGRAN.NS,DBCORP.NS,HMVL.NS"
103,Apparel/Footwear Retail,Retail Trade,33,47,41,34,"STYLEBAAZA.NS,MEESHO.NS,V2RETAIL.NS,REDTAPE.NS,TRENT.NS,VMM.NS,ARVINDFASN.NS,TRADEUNO.BO,METROBRAND.NS,ABLBL.NS,CRAVATEX.BO,KALAMANDIR.NS,MARCLOIRE.BO,ABFRL.NS,SREEL.NS,FIRSTCRY.NS,MUFTI.NS,MISHDESIGN.BO,KIAASA.BO"
104,Food Retail,Retail Trade,32,41,46,20,"CITYSQUARE.BO,PATELRMART.NS,SPENCERS.NS,ZAPPFRESH.BO,ACML.BO"
105,Food Distributors,Distribution Services,32,17,30,36,"NMSGLOBAL.BO,PURETROP.BO,STCINDIA.NS,EMPIND.BO,RRMETAL.BO,STANBIK.BO,HALDER.NS,MRP.BO,MONIKA.BO,TANVI.BO,FRATELLI.BO"
106,Restaurants,Consumer Services,31,48,45,34,"UFBL.NS,TRAVELFOOD.NS,RBA.NS,SPECIALITY.NS,WESTLIFE.NS,DEVYANI.NS,JUBLFOOD.NS,SAPPHIRE.NS,KAMATS.BO"
107,Trucking,Transportation,31,35,31,57,"OBCL.NS,VRLLOG.NS,AWHCL.NS,INTSTOIL.BO,RITCO.NS,JITFINFRA.NS,TCI.NS,GEMENVIRO.BO,GICL.NS,NEPLOG.BO"
108,Wireless Telecommunications,Communications,30,10,20,34,"BHARTIARTL.NS,BHARTIHEXA.NS"
109,Other Consumer Services,Consumer Services,30,38,20,32,"TRADWIN.BO,YAANENT.BO,IRONWOOD.BO,BOMBCYC.BO,YATRA.NS,NHL.BO,VJTFEDU.BO,LGT.BO,IRCTC.NS,ITHL.BO,MHRIL.NS,JETKINGQ.BO,THOMASCOOK.NS,CPCAP.NS,EVANS.BO"
110,Broadcasting,Consumer Services,30,48,42,39,"SUNTV.NS,ZEEL.NS,ENIL.NS,TVTODAY.NS,NDTV.NS,NETWORK18.NS"
111,Home Furnishings,Consumer Durables,29,37,23,33,"CALLISTA.BO,CARYSIL.NS,HARSHDEEP.BO,SEKURITIND.BO,WIMPLAST.NS,CERA.NS,ASAHIINDIA.NS,TTKPRESTIG.NS,NILKAMAL.NS,LAOPALA.NS,PRIMAPLA.BO,TEXELIN.BO,BCONCEPTS.NS,CELLO.NS,STANLEY.NS,BELLACASA.NS,PRITI.NS,SPITZE.BO"
112,Internet Software/Services,Technology Services,29,37,26,28,"ABSLAMC.NS,BLSE.NS,MOTILALOFS.NS,POLICYBZR.NS,TBOTEK.NS,ETERNAL.NS,CRISIL.NS,CARTRADE.NS,MATRIMONY.NS,IXIGO.NS,TRACXN.NS,CRIZAC.NS,NAUKRI.NS,SAFE.BO,JUSTDIAL.NS,JARO.NS"
113,Catalog/Specialty Distribution,Retail Trade,27,19,19,29,ETHOSLTD.NS
114,Data Processing Services,Technology Services,27,30,25,25,"GHVINFRA.BO,RELIABLE.NS,BLS.NS,TECHNVISN.NS,HGM.NS,TAKYON.BO,LTM.NS,HAPPSTMNDS.NS,IRIS.NS,OLATECH.BO,ACESOFT.BO,ACESEPP.BO"
115,Specialty Telecommunications,Communications,24,46,32,14,"ONMOBILE.NS,TTML.NS,GTPL.NS,STML.BO"
116,Tools & Hardware,Consumer Durables,24,65,51,19,"KOKUYOCMLN.NS,AAIL.BO,KPT.BO,JAINEX.BO"
117,Personnel Services,Commercial Services,24,56,30,30,"AARVI.NS,QUESS.NS,TEAMLEASE.NS,ITCONS.BO,CASPIAN.BO"
118,Savings Banks,Finance,22,9,11,15,NSDL.BO
119,Recreational Products,Consumer Durables,21,51,19,36,"STUDDS.NS,COSCO.BO,KVTOYS.BO"
120,Department Stores,Retail Trade,12,75,31,9,SHOPERSTOP.NS
121,Home Improvement Chains,Retail Trade,2,41,30,18,"SHANKARA.NS,MCPL.BO"
