Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
1092,HALDER.NS,285.71,275.08,32.73K,Distribution Services,Food Distributors,69.0,93.0,79.0,51.0,13.6443,13.4843,21.00K,28.76K,294.0,210.0,3.55B,No,247.58,240.93,,244.9,248.7,140
1093,LASERPOWER.NS,298.0,281.55,5652.56K,Producer Manufacturing,Electrical Products,69.0,,,,19.6864,19.4579,5708.50K,2403.59K,317.0,250.0,41.83B,No,290.11,,,,,20
1094,EDELWEISS.NS,124.88,118.9,10068.21K,Finance,Investment Banks/Brokers,69.0,68.0,61.0,68.0,4.1607,4.1007,3773.20K,3276.40K,133.9,93.5,118.20B,No,118.14,118.93,113.59,119.63,114.9,500
1095,EPL.NS,247.24,243.64,2610.39K,Process Industries,Containers/Packaging,69.0,68.0,60.0,68.0,8.075,7.9443,522.16K,306.10K,251.5,176.4,79.19B,No,234.14,230.52,215.45,233.36,219.86,497
1096,FIEMIND.NS,2412.3,2645.8999,610.19K,Producer Manufacturing,Auto Parts: Oem,69.0,76.0,62.0,51.0,97.7286,83.9429,59.12K,117.92K,2615.2,1815.0,63.49B,No,2400.14,2322.29,2236.16,2329.98,2227.87,498
1097,SOUTHWEST.NS,223.31,219.13,89.28K,Energy Minerals,Coal,69.0,50.0,46.0,49.0,8.8214,7.81,437.31K,128.31K,275.0,121.0,7.29B,No,231.26,235.1,211.99,230.53,221.42,498
1098,TNSTLTU.BO,26.75,26.75,0.10K,Non-Energy Minerals,Steel,69.0,91.0,86.0,3.0,0.3693,0.0,0.21K,0.04K,45.71,17.33,137.09M,No,25.53,24.28,28.6,24.57,25.22,497
1099,LLOYDSENT.NS,76.04,77.89,2382.75K,Distribution Services,Wholesale Distributors,69.0,30.0,56.0,75.0,3.3164,3.1336,4790.62K,4524.12K,84.7,40.69,116.08B,No,80.06,76.2,64.34,76.63,64.5,454
1100,KICL.NS,5459.0,5419.0,3.91K,Finance,Financial Conglomerates,69.0,49.0,68.0,64.0,186.5714,182.5357,1.95K,1.68K,6554.9,4011.0,23.83B,No,5457.12,5365.81,5010.83,5407.05,4969.97,498
1101,CUB.NS,210.52,215.85,1973.61K,Finance,Regional Banks,69.0,31.0,70.0,38.0,9.3679,8.9764,3143.96K,3511.06K,245.38,145.12,208.58B,No,217.03,211.28,202.99,211.67,201.87,500
1102,GODREJIND.NS,1255.6,1235.2,480.37K,Process Industries,Agricultural Commodities/Milling,69.0,16.0,70.0,74.0,44.6786,43.7857,314.60K,68.67K,1443.0,744.2,422.95B,No,1318.34,1214.85,1056.23,1248.19,1068.05,498
