Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W
3096,TRACXN.NS,30.44,68.64K,Technology Services,Internet Software/Services,10.0,56.0,29.0,22.0,0.7964,0.7914,139.52K,86.56K,57.7,25.39,3.25B,No,30.68,36.4,30.47,32.11
3097,IRFC.NS,90.25,11786.76K,Finance,Finance/Rental/Leasing,10.0,52.0,15.0,9.0,1.4364,1.3757,11708.37K,7960.49K,137.17,86.02,1179.43B,No,92.74,106.73,91.95,100.23
3098,FLOMIC.BO,41.92,3.65K,Transportation,Air Freight/Couriers,10.0,3.0,11.0,13.0,3.4664,3.3621,1.07K,2.39K,75.0,35.0,761.62M,No,50.13,50.03,49.04,48.04
3099,SWANCORP.NS,310.2,751.36K,Utilities,Electric Utilities,10.0,49.0,27.0,7.0,6.5643,6.3464,957.80K,728.04K,506.0,295.65,97.23B,No,316.3,380.13,313.23,344.03
3100,DHILLON.BO,31.1,20.80K,Transportation,Air Freight/Couriers,10.0,5.0,16.0,17.0,1.5657,1.1071,3.23K,9.76K,57.6,27.0,121.91M,No,34.43,36.63,34.12,34.34
3101,COHANCE.NS,425.35,312.92K,Health Technology,Pharmaceuticals: Major,10.0,22.0,23.0,59.0,15.55,15.3286,1804.79K,384.33K,1038.9,266.7,162.74B,No,435.4,462.21,433.77,388.52
3102,MTNL.NS,28.11,1320.51K,Communications,Major Telecommunications,10.0,23.0,22.0,22.0,0.8464,0.8329,1485.34K,704.50K,48.19,21.26,17.71B,No,29.5,32.29,29.35,29.41
3103,CRIZAC.NS,195.88,2332.50K,Technology Services,Internet Software/Services,10.0,46.0,25.0,12.0,6.7207,6.6014,333.76K,254.74K,387.95,173.35,34.28B,No,203.58,237.17,199.65,212.79
3104,DEVX.NS,34.33,62.31K,Finance,Real Estate Development,9.0,46.0,9.0,31.0,1.2686,1.2686,86.95K,46.61K,64.05,29.95,3.25B,No,35.65,39.53,35.22,37.82
3105,NUCLEUS.NS,696.7,36.00K,Technology Services,Information Technology Services,9.0,13.0,17.0,10.0,21.8072,18.8536,88.41K,49.44K,1084.8,682.0,18.34B,No,750.23,844.53,739.24,792.49
3106,DEEPAKCHEM.BO,82.3,8.80K,Process Industries,Chemicals: Major Diversified,9.0,66.0,16.0,9.0,1.9436,1.3236,6.06K,3.60K,150.0,69.2,894.11M,No,79.5,97.74,78.33,89.07
3107,MEHUL.BO,58.0,11.20K,Process Industries,Chemicals: Specialty,9.0,2.0,21.0,8.0,2.0443,1.7879,2.08K,4.80K,92.5,50.0,611.84M,No,64.04,69.83,63.81,65.37
3108,SALORAINTL.BO,28.05,5.23K,Electronic Technology,Telecommunications Equipment,9.0,13.0,19.0,8.0,1.6007,1.5171,2.53K,0.56K,47.7,25.17,247.04M,No,29.5,33.66,29.43,30.82
3109,ANIRIT.BO,43.7,1.55K,Process Industries,Textiles,9.0,4.0,15.0,60.0,1.385,1.0943,1.69K,0.17K,99.0,33.25,786.60M,No,53.14,55.72,50.81,48.71
3110,KLRFM.BO,84.4,45.58K,Process Industries,Agricultural Commodities/Milling,9.0,8.0,5.0,31.0,5.7464,5.6321,2.78K,3.44K,145.0,76.2,763.10M,No,98.16,103.12,96.24,99.29
3111,NVENTURES.BO,84.5,9.00K,Distribution Services,Wholesale Distributors,9.0,2.0,5.0,7.0,8.0571,5.2286,30.80K,46.88K,163.3,64.5,394.62M,No,101.18,106.86,100.96,105.71
3112,MHRIL.NS,218.96,86.73K,Consumer Services,Other Consumer Services,9.0,17.0,18.0,7.0,7.3043,7.0229,391.91K,226.30K,368.9,207.9,44.16B,No,227.43,273.22,227.44,251.48
3113,SYMPHONY.NS,682.75,129.73K,Producer Manufacturing,Industrial Machinery,9.0,46.0,7.0,10.0,15.8321,15.8,91.97K,63.01K,1078.1,656.0,46.89B,No,692.09,807.18,689.44,765.29
3114,HIMATSEIDE.NS,80.99,325.38K,Process Industries,Textiles,9.0,13.0,21.0,10.0,2.2279,2.1186,1118.54K,383.91K,136.14,72.01,10.18B,No,82.54,97.96,82.73,88.62
3115,FOODSIN.NS,54.33,28.16K,Consumer Non-Durables,Food: Specialty/Candy,9.0,6.0,13.0,21.0,2.1314,2.1293,99.28K,66.31K,107.9,44.0,3.99B,No,56.75,63.87,56.9,58.19
3116,CSURGSU.BO,80.44,0.15K,Health Technology,Medical Specialties,9.0,57.0,13.0,14.0,3.2743,2.8943,0.12K,0.13K,189.0,73.04,293.47M,No,80.89,92.34,79.07,88.0
3117,RALLIS.NS,217.82,859.97K,Process Industries,Chemicals: Agricultural,9.0,31.0,11.0,11.0,7.4814,7.3843,804.02K,2156.13K,385.8,214.85,42.36B,No,229.47,253.16,225.81,247.27
3118,GREENPANEL.NS,196.72,66.73K,Non-Energy Minerals,Forest Products,9.0,64.0,13.0,28.0,6.0536,5.9807,195.40K,123.21K,333.8,163.01,24.12B,No,193.05,219.11,194.2,202.72
3119,DIGITIDE.NS,100.15,210.64K,Commercial Services,Miscellaneous Commercial Services,9.0,43.0,54.0,27.0,4.9643,4.9157,1863.25K,335.92K,222.25,69.9,14.93B,No,93.62,110.81,96.19,95.72
3120,GARWAOFFS.BO,43.75,30.76K,Industrial Services,Oilfield Services/Equipment,9.0,8.0,24.0,21.0,2.1864,2.1543,14.62K,7.05K,90.01,31.36,1.35B,No,47.88,53.38,47.83,47.64
3121,SYNGENE.NS,402.2,1674.18K,Commercial Services,Miscellaneous Commercial Services,9.0,15.0,12.0,12.0,12.6571,11.9821,1440.70K,2550.80K,709.5,375.25,161.89B,No,431.31,506.69,424.26,440.73
3122,WSI.NS,60.51,23.81K,Producer Manufacturing,Electrical Products,9.0,14.0,11.0,8.0,3.0079,3.0079,44.67K,86.36K,98.9,59.25,4.59B,No,65.93,74.24,64.99,69.87
3123,MARSONS.NS,110.45,2315.24K,Producer Manufacturing,Electrical Products,9.0,39.0,2.0,,4.5736,4.5214,1951.52K,1900.10K,175.4,104.16,19.01B,No,118.93,,115.15,
3124,ICODEX.BO,38.95,3.60K,Technology Services,Packaged Software,9.0,37.0,9.0,25.0,1.1636,0.83,7.45K,5.52K,81.6,29.01,609.06M,No,41.25,45.41,40.82,42.2
3125,ANNAINFRA.BO,25.49,0.68K,Finance,Real Estate Investment Trusts,9.0,5.0,3.0,15.0,1.0814,0.7679,0.87K,1.40K,39.9,21.9,96.86M,No,32.27,30.66,31.12,31.53
3126,KARMAENG.NS,38.5,1.38K,Utilities,Electric Utilities,9.0,23.0,3.0,38.0,2.0564,2.0564,5.47K,4.30K,73.7,34.38,445.44M,No,40.9,46.02,40.14,42.66
3127,JSWHL.NS,12016.0,7.45K,Finance,Investment Banks/Brokers,9.0,40.0,40.0,5.0,333.1429,333.1429,3.55K,2.31K,22790.0,10530.0,133.36B,No,11923.68,15386.8,11819.8,13792.43
3128,TOKYOPLAST.NS,79.0,1.43K,Producer Manufacturing,Miscellaneous Manufacturing,9.0,17.0,14.0,8.0,3.07,3.0171,2.00K,1.16K,140.85,53.86,750.61M,No,84.24,96.3,83.0,85.5
3129,GOKAKTEX.BO,58.1,1.60K,Process Industries,Textiles,9.0,3.0,16.0,46.0,2.2307,1.9193,1.13K,0.83K,101.8,52.59,377.61M,No,63.63,69.37,63.22,65.32
3130,BIRLANU.NS,1341.3,6.09K,Non-Energy Minerals,Forest Products,9.0,45.0,37.0,14.0,48.3357,47.8143,11.95K,11.01K,2332.0,1190.1,,No,1343.6,1527.87,1349.95,1433.37
3131,SOMICONVEY.NS,93.45,11.24K,Producer Manufacturing,Miscellaneous Manufacturing,9.0,14.0,12.0,19.0,3.1936,3.1343,33.23K,16.88K,169.4,85.5,1.14B,No,100.25,114.58,100.05,103.99
3132,LOYAL.BO,156.45,4.24K,Producer Manufacturing,Industrial Machinery,9.0,39.0,8.0,15.0,6.7679,6.7643,6.03K,3.94K,308.5,143.8,1.69B,No,159.71,179.56,159.03,172.16
3133,TOUCHWOOD.NS,66.45,0.15K,Commercial Services,Miscellaneous Commercial Services,9.0,28.0,22.0,4.0,1.6729,1.6229,3.70K,0.63K,128.0,63.0,736.35M,No,69.52,84.35,68.87,75.1
3134,TECHNVISN.NS,4466.1,0.26K,Technology Services,Data Processing Services,9.0,85.0,5.0,,331.9285,293.3499,0.92K,4.56K,6198.0,3222.8,,No,4636.82,,4580.99,
3135,ADDIND.BO,81.42,0.53K,Process Industries,Textiles,9.0,41.0,7.0,11.0,8.9107,8.7243,1.00K,1.50K,141.25,70.0,879.06M,No,87.12,101.59,84.85,95.84
3136,LGT.BO,42.75,38.40K,Consumer Services,Other Consumer Services,9.0,59.0,5.0,5.0,2.0036,1.545,15.22K,13.44K,85.6,37.76,400.69M,No,44.82,54.41,44.16,51.25
3137,SONALIS.BO,50.7,2.00K,Consumer Non-Durables,Food: Specialty/Candy,9.0,83.0,26.0,9.0,2.1007,1.0307,12.54K,9.80K,92.0,37.81,240.77M,No,47.32,57.74,48.64,53.0
3138,BELLACASA.NS,246.04,24.28K,Consumer Durables,Home Furnishings,9.0,19.0,28.0,7.0,11.6993,11.6493,12.98K,18.64K,497.35,220.25,3.29B,No,245.68,311.2,243.87,265.82
