Symbol,Description,Price,Price - Currency,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Sector,Industry,"High, 52 weeks","High, 52 weeks - Currency","Low, 52 weeks","Low, 52 weeks - Currency",Exchange,Free float %,"Performance %, Year to date"
OMAXE,Omaxe Limited,97.9,INR,7.997793712079426,308927,1.3774921667275322,Finance,Real estate development,110.05,INR,62.85,INR,BSE,18.0717,15.366485976903142
NUVOCO,Nuvoco Vistas Corporation Limited,341.4,INR,7.850260622334533,21133756,79.73401566176149,Non-energy minerals,Construction materials,477.5,INR,276.25,INR,NSE,28.1529,-4.208754208754209
NIBL,NRB Industrial Bearings Ltd.,33.47,INR,7.793880837359092,6334,2.676526515951834,Producer manufacturing,Metal fabrication,40.29,INR,21.61,INR,BSE,24.110300000000002,-8.526919923476372
DKEGL,D.K. Enterprises Global Limited,67.95,INR,7.771609833465513,1500,0.4166666666666667,Process industries,Containers/Packaging,89.6,INR,61.1,INR,NSE,,-11.867704280155632
AHASOLAR,Ahasolar Technologies Limited,76,INR,7.648725212464598,800,0.37037037037037035,Technology services,Packaged software,136,INR,58.9,INR,BSE,,-25.417075564278708
STAL,Storage Technologies & Automation Ltd.,34.75,INR,7.551841535128435,4000,0.2617801047120419,Producer manufacturing,Metal fabrication,100.8,INR,27,INR,BSE,29.906499999999998,-49.63768115942029
NUVOCO,Nuvoco Vistas Corporation Limited,342.75,INR,7.529411764705881,1111622,76.50424632833683,Non-energy minerals,Construction materials,477.35,INR,276.3,INR,BSE,28.1529,-3.6948581062096033
LADDERUP,Ladderup Finance Limited,55.9,INR,7.499999999999997,201,0.14398280802292263,Finance,Investment managers,82.5,INR,44.9,INR,BSE,,-5.173876166242586
TRISHAKT,Trishakti Industries Ltd,190.2,INR,7.457627118644061,84406,1.6010850183997876,Industrial services,Oilfield services/Equipment,197,INR,114.9,INR,BSE,,32.821229050279335
OMAXE,Omaxe Limited,97.52,INR,7.436377657816459,6367876,1.185884099025634,Finance,Real estate development,110,INR,62.5,INR,NSE,18.0717,17.63570566948129
ASHWINI,Ashwini Container Movers Limited,200.55,INR,7.2459893048128405,57000,1.832797427652733,Transportation,Trucking,204.95,INR,120,INR,NSE,,43.25000000000001
SHHARICH,Shree Hari Chemicals Export Limited,134,INR,7.242897158863543,5666,1.8921355819001502,Process industries,Chemicals: specialty,146.7,INR,87.65,INR,BSE,,-0.6671608598962236
TRITONV,Triton Valves Limited,1100.6,INR,7.2187043351193285,3292,1.3291343669250646,Consumer durables,Automotive aftermarket,1250.2,INR,630.5,INR,BSE,,41.35174185262481
BALGOPAL,Balgopal Commercial Ltd.,197.95,INR,7.115800865800853,105,0.03495223194966879,Producer manufacturing,Industrial machinery,272.95,INR,130,INR,BSE,,9.304251794588623
KOURA,Koura Fine Diamond Jewelry Limited,34.9,INR,7.055214723926372,6000,1.4285714285714286,Consumer durables,Other consumer specialties,49.1,INR,30.05,INR,BSE,,15.562913907284766
TCPLPACK,TCPL Packaging Limited,3216.9,INR,6.994611853921379,41594,13.866515535404721,Commercial services,Commercial printing/Forms,3950,INR,2200,INR,NSE,28.6529,6.664677210782851
PDSL,PDS Limited,382,INR,6.927921623512947,442082,60.571624306363645,Consumer non-durables,Apparel/Footwear,419.45,INR,246,INR,BSE,23.225800000000003,2.591647643346308
