Symbol,Description,Price,Price - Currency,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Sector,Industry,"High, 52 weeks","High, 52 weeks - Currency","Low, 52 weeks","Low, 52 weeks - Currency",Exchange,Free float %,"Performance %, Year to date"
APLAB,Aplab Limited,73.7,INR,10.000000000000005,21408,3.1040932619948642,Electronic technology,Electronic equipment/Instruments,122,INR,53.47,INR,BSE,,-6.5669371196754485
DHOOTTRANS,Dhoot Transmission Limited,1306.25,INR,10,1122287,,Producer manufacturing,Electrical products,1306.25,INR,1163.95,INR,BSE,,9.419500753895129
FILTRA,Filtra Consultants & Engineers Ltd.,66,INR,10,22000,3.142857142857106,Producer manufacturing,Industrial machinery,92.39,INR,42,INR,BSE,,-23.25581395348837
DHOOTTRANS,Dhoot Transmission Limited,1305.75,INR,9.999578787751153,9337722,,Producer manufacturing,Electrical products,1305.75,INR,1165,INR,NSE,,8.8125
SWATIPRO,Swati Projects Limited,69.75,INR,9.998422961677974,274654,1.8150733816905282,Finance,Financial conglomerates,69.75,INR,24.6,INR,BSE,,100.54629097182288
INDOMIM,INDO-MIM Limited,952.75,INR,9.998268198349018,10246021,2.9907085653005545,Producer manufacturing,Industrial machinery,952.75,INR,700,INR,NSE,22.349400000000003,36.107142857142854
PARAS,Paras Defence & Space Technologies Ltd.,1527.65,INR,9.997839861751162,474216,7.082163466708085,Electronic technology,Aerospace & defense,1527.65,INR,580,INR,BSE,43.9458,123.17750182615049
PARAS,Paras Defence & Space Technologies Ltd.,1527.3,INR,9.996398991717678,5405217,4.61565202540428,Electronic technology,Aerospace & defense,1527.3,INR,580.5,INR,NSE,43.9458,122.81712743453203
INDOMIM,INDO-MIM Limited,951.3,INR,9.995953055443133,491659,1.6261630003009826,Producer manufacturing,Industrial machinery,951.3,INR,701,INR,BSE,22.349400000000003,35.320056899004264
BI,Bilcare Ltd,101.79,INR,9.99567754484547,181078,4.257162941490381,Process industries,Containers/Packaging,116,INR,50,INR,BSE,47.520799999999994,26.13382899628253
APLABPP,Aplab Limited TEMP,50.3,INR,9.993439755084191,2958,0.22729193720656826,Electronic technology,Electronic equipment/Instruments,97,INR,33.95,INR,BSE,,-21.7485998755445
BI,Bilcare Ltd,101.38,INR,9.992405337962454,523283,5.611680137781787,Process industries,Containers/Packaging,101.38,INR,51.62,INR,NSE,47.520799999999994,64.84552845528455
ADVANCETL,Advance Technoforge Limited,68.14,INR,9.991928974979817,96000,1.228878648233487,Producer manufacturing,Metal fabrication,94,INR,51,INR,BSE,28.014499999999998,-27.51063829787234
PRAMARA,Pramara Promotions Ltd.,116.7,INR,9.990574929311977,56000,1.6068866571018652,Consumer durables,Recreational products,374.8,INR,104.5,INR,NSE,,-66.47033472202271
SIEL,Superior Industrial Enterprises Limited,38.57,INR,9.980039920159681,4840,,Process industries,Containers/Packaging,38.57,INR,38.57,INR,NSE,,28.566666666666666
SIEL,Superior Industrial Enterprises Limited,38.57,INR,9.980039920159681,3349,2.733208193911695,Process industries,Containers/Packaging,58.4,INR,27.01,INR,BSE,,-12.480145223508055
GSTL,Globalspace Technologies Ltd.,35.94,INR,9.975520195838428,123881,1.275308040820238,Technology services,Information technology services,35.94,INR,13.67,INR,BSE,27.8966,93.95574743658928
MISQUITA,Misquita Engineering Ltd.,84,INR,9.947643979057585,1000,0.43478260869565216,Distribution services,Electronics distributors,142,INR,67.1,INR,BSE,,-28.205128205128204
BIZOTIC,Bizotic Commercial Ltd.,151.05,INR,9.894507093488558,188400,1.7028199886778255,Consumer non-durables,Apparel/Footwear,175.50000351,INR,46.83333427,INR,BSE,39.8102,3.8084854127255228
VINYAS,Vinyas Innovative Technologies Limited,1462.1,INR,9.886888880538121,31200,1.471004243281471,Electronic technology,Electronic production equipment,1598.5,INR,809,INR,NSE,31.1554,29.96444444444444
CAPRIHANS,Caprihans India Ltd.,126.28,INR,9.837348873619208,74048,2.3838083372769443,Process industries,Containers/Packaging,144,INR,50.3,INR,BSE,3.833400000000007,39.69026548672566
FINKURVE,Finkurve Financial Services Ltd.,77.86,INR,9.754722300535667,28602,2.1654237801415754,Finance,Finance/Rental/Leasing,134.3,INR,49.06,INR,BSE,16.0928,-21.002435064935067
KKSHL,KK Shah Hospitals Limited,43.9,INR,9.749999999999996,3000,0.2127659574468085,Health services,Hospital/Nursing management,51.9,INR,29,INR,BSE,,16.910785619174437
OSIAJEE,Osiajee Texfab Ltd.,231,INR,9.712657326050813,29428,0.8971978573105419,Process industries,Textiles,495.5,INR,181,INR,BSE,,-38.48202396804261
NITINSPIN,Nitin Spinners Limited,606.9,INR,9.598194130925505,3703991,24.4965497081438,Process industries,Textiles,610,INR,302.2,INR,NSE,43.1671,92.78907242693772
VALENCIA,Valencia Nutrition Ltd.,53.49,INR,9.274770173646576,1500,0.14285714285714285,Consumer non-durables,Beverages: non-alcoholic,97.1,INR,40.11,INR,BSE,,-27.716216216216218
NITINSPIN,Nitin Spinners Limited,606.85,INR,9.273431169532726,130038,13.957666960049803,Process industries,Textiles,610.15,INR,300,INR,BSE,43.1671,93.35669906006054
PVP,PVP Ventures Limited,40.19,INR,9.211956521739133,299329,1.372727514535377,Technology services,Information technology services,41.04,INR,19.71,INR,BSE,33.4679,8.621621621621616
MALA,Shree Balaji (Mala) Textiles Limited,70.8,INR,9.175019275250582,140000,0.5627009646302251,Process industries,Textiles,139.65,INR,62.05,INR,BSE,,-46.766917293233085
DEL,Dhanashree Electronics Ltd.,141.9,INR,9.153846153846159,302,0.6955320128972824,Producer manufacturing,Electrical products,438.15,INR,100.35,INR,BSE,,-33.01864526787821
ASIANENE,Asian Energy Services Limited,463.5,INR,9.148710702931833,154360,4.5616814033760456,Energy minerals,Oil & gas production,465.85,INR,230.35,INR,BSE,36.3555,63.8967468175389
EMUDHRA,eMudhra Limited,561.3,INR,8.990291262135914,42758,3.258348193193422,Technology services,Packaged software,766.6,INR,365.75,INR,BSE,33.3992,-1.109936575052866
POEL,POCL Enterprises Ltd,161.65,INR,8.921231722929727,43701,,Process industries,Chemicals: specialty,165.31,INR,148.41,INR,NSE,49.4775,7.694870086608935
ASIANENE,Asian Energy Services Limited,463.05,INR,8.888888888888893,3647876,6.717898522767139,Energy minerals,Oil & gas production,465.1,INR,230,INR,NSE,36.3555,63.18942731277533
ABCOTS,AB Cotspin India Ltd.,217.4,INR,8.885104677952524,152579,23.342257442707215,Consumer non-durables,Apparel/Footwear,504,INR,196.81,INR,NSE,,-47.194559145008505
