RS_Rank,Ticker,Price,Prev_Close,Gain_%,Dist_52WH_%,Above_SMA20,Above_SMA50,Above_SMA200,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
304,DHAMPURE.BO,161.9,150.55,7.54,3.05,YES,YES,YES,29.11K,Process Industries,Agricultural Commodities/Milling,90.0,94.0,84.0,87.0,11.4964,11.3536,6.36K,17.30K,167.0,82.0,1.41B,No,135.35,127.01,112.71,129.72,120.26,497
244,RATNAVEER.NS,269.24,250.4,7.52,0.47,YES,YES,YES,11277.58K,Non-Energy Minerals,Steel,92.0,97.0,91.0,92.0,14.6471,14.4629,5202.66K,9075.90K,270.5,130.5,19.23B,No,211.68,191.35,164.11,197.26,169.12,499
1332,BAPACK.BO,210.0,195.5,7.42,17.24,YES,YES,YES,2.05K,Process Industries,Containers/Packaging,60.0,79.0,73.0,47.0,11.4857,10.725,0.46K,0.56K,253.75,141.15,1.04B,No,194.06,186.31,191.09,187.94,179.29,497
1134,JAYSREETEA.NS,100.81,93.88,7.38,2.39,YES,YES,YES,419.39K,Process Industries,Agricultural Commodities/Milling,66.0,91.0,74.0,70.0,4.5664,4.4214,41.02K,63.42K,103.28,70.55,2.91B,No,87.16,86.24,86.23,87.13,85.44,499
1293,GOLDCOINHF.BO,31.7,29.58,7.17,17.64,YES,NO,YES,0.24K,Process Industries,Agricultural Commodities/Milling,62.0,59.0,43.0,46.0,2.8421,2.7093,2.38K,2.70K,38.49,19.96,47.56M,No,31.08,31.78,31.4,31.67,31.78,500
200,NETWEB.NS,5419.8,5065.0,7.0,0.55,YES,YES,YES,4457.09K,Electronic Technology,Computer Peripherals,93.0,93.0,90.0,91.0,241.2643,234.7429,1818.27K,1583.14K,5449.9,2037.3,308.61B,No,4791.73,4648.86,3784.97,4702.76,4032.91,499
643,MAGADSUGAR.NS,620.6,580.55,6.9,1.8,YES,YES,YES,275.49K,Process Industries,Agricultural Commodities/Milling,80.0,90.0,84.0,83.0,34.0429,33.7429,29.89K,61.01K,632.0,417.0,8.75B,No,528.44,498.07,482.92,506.48,481.24,498
824,SAMBHV.NS,131.38,122.91,6.89,7.03,YES,YES,YES,5348.49K,Non-Energy Minerals,Steel,75.0,80.0,75.0,80.0,5.6029,5.21,1329.05K,1232.38K,141.32,81.42,38.71B,No,120.06,116.13,105.97,117.39,108.97,283
327,DALMIASUG.NS,508.1,475.55,6.84,1.72,YES,YES,YES,2263.54K,Process Industries,Agricultural Commodities/Milling,89.0,95.0,90.0,91.0,31.8821,31.6036,533.48K,674.29K,517.0,261.4,41.13B,No,407.37,370.68,333.93,377.74,349.65,498
697,MANALIPETC.NS,77.73,72.8,6.77,1.26,YES,YES,YES,4389.03K,Process Industries,Chemicals: Specialty,79.0,92.0,88.0,74.0,3.1821,3.1621,1182.62K,2086.09K,78.72,39.13,13.37B,No,67.15,65.27,59.75,65.95,58.49,498
675,VIPULORG.BO,262.6,246.0,6.75,15.02,YES,YES,YES,34.95K,Process Industries,Industrial Specialties,79.0,75.0,86.0,73.0,12.6714,11.7036,13.58K,2.45K,309.0,156.8,5.00B,No,248.34,252.94,216.32,252.35,218.72,497
1043,PRABHA.NS,212.89,199.79,6.56,21.83,YES,YES,YES,1362.24K,Energy Minerals,Oil & Gas Production,69.0,97.0,81.0,74.0,11.4129,11.1871,215.80K,1118.08K,272.35,137.91,31.20B,No,159.24,155.3,167.85,156.49,159.34,352
801,NIBE.NS,1503.6,1411.1,6.56,18.64,YES,NO,YES,361.29K,Process Industries,Textiles,76.0,36.0,82.0,84.0,61.9286,57.0929,229.65K,78.14K,1848.0,809.6,23.31B,No,1436.74,1547.04,1216.24,1548.02,1253.24,380
