Rank,Ticker,Price,Prev_Close,Gain_%,Dist_52WH_%,RS_Rank,Above_SMA20,Above_SMA50,Above_SMA200,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
54,SWATIPRO.BO,36.0,33.12,8.7,15.33,1073,YES,YES,YES,23.83K,Finance,Financial Conglomerates,68.0,86.0,39.0,71.0,2.2971,2.215,4.16K,3.20K,42.52,24.6,363.60M,No,31.56,32.23,31.94,32.42,31.71,496
55,HINDCOPPER.NS,533.8,492.35,8.42,29.77,597,YES,YES,YES,22690.21K,Non-Energy Minerals,Other Metals/Minerals,81.0,77.0,41.0,5.0,14.9071,14.1321,4635.23K,3196.71K,760.05,226.7,516.20B,No,490.35,503.31,491.7,503.14,535.15,500
56,JGCHEM.NS,548.25,505.75,8.4,0.95,508,YES,YES,YES,1817.94K,Process Industries,Chemicals: Specialty,84.0,94.0,86.0,91.0,25.4679,25.1286,172.11K,526.07K,553.5,298.4,21.48B,No,482.93,449.51,392.26,458.26,395.69,499
57,SUPREMEINF.NS,94.39,87.12,8.34,24.37,1461,YES,YES,YES,1363.91K,Industrial Services,Engineering & Construction,57.0,86.0,71.0,58.0,5.9993,5.56,136.36K,238.67K,124.81,58.11,9.20B,No,83.01,80.44,82.36,81.64,79.26,498
58,WESTLIFE.NS,587.0,542.55,8.19,24.26,1327,YES,YES,YES,862.10K,Consumer Services,Restaurants,60.0,87.0,78.0,68.0,32.5357,31.9536,146.54K,471.06K,775.0,398.4,91.11B,No,493.49,477.5,503.33,487.12,482.3,499
59,PTC.NS,198.36,183.44,8.13,13.57,1509,YES,YES,YES,17700.12K,Utilities,Electric Utilities,55.0,85.0,25.0,59.0,5.38,4.485,1131.41K,778.59K,229.51,149.59,58.72B,No,172.05,179.72,173.63,179.31,178.12,499
60,SANGHVIMOV.NS,474.2,438.55,8.13,0.79,336,YES,YES,YES,995.29K,Finance,Finance/Rental/Leasing,89.0,66.0,92.0,89.0,21.2607,21.1536,589.24K,588.77K,478.0,223.8,41.05B,No,440.85,419.04,339.55,429.45,338.78,499
61,CHEVIOT.NS,1221.6,1130.6,8.05,10.86,1507,YES,YES,YES,104.22K,Process Industries,Textiles,55.0,78.0,48.0,67.0,37.8286,37.6143,3.15K,3.49K,1370.5,898.0,7.14B,No,1139.43,1119.49,1089.08,1131.94,1085.31,499
62,VSSL.NS,329.35,304.8,8.05,1.69,809,YES,YES,YES,754.14K,Non-Energy Minerals,Steel,75.0,91.0,77.0,75.0,14.6179,14.3893,101.63K,281.56K,335.0,206.4,31.84B,No,297.32,284.92,272.16,289.08,266.12,498
63,NACDAC.BO,25.7,23.81,7.94,53.38,3038,YES,YES,NO,24.00K,Consumer Durables,Homebuilding,11.0,50.0,17.0,17.0,0.7807,0.1793,12.72K,3.20K,55.13,21.12,270.50M,No,24.55,25.43,30.03,25.29,27.09,399
64,DHABRIYA.BO,464.1,430.3,7.85,6.11,729,YES,YES,YES,43.81K,Producer Manufacturing,Miscellaneous Manufacturing,78.0,88.0,77.0,84.0,29.9107,29.2536,31.09K,146.26K,494.3,280.0,5.02B,No,418.78,392.82,366.34,403.53,363.91,496
65,BEMHY.BO,116.0,107.6,7.81,38.36,995,YES,YES,YES,74.27K,Producer Manufacturing,Industrial Machinery,70.0,90.0,86.0,82.0,5.3457,5.27,14.03K,22.65K,188.2,59.99,5.07B,No,103.82,96.0,94.06,98.46,89.05,497
