Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
548,REGENCY.BO,45.64,45.04,92.09K,Finance,Investment Banks/Brokers,84.0,88.0,84.0,86.0,2.4407,2.4071,162.69K,282870.0,48.0,22.71,3.66B,No,43.51,39.64,34.2,41.2,33.76,494
536,AYE.NS,177.94,170.47,912.43K,Finance,Finance/Rental/Leasing,84.0,70.0,83.0,,8.8414,8.7664,1742.10K,516210.00000000006,197.29,88.22,43.52B,No,169.66,165.58,,168.25,,121
524,AEROENTER.NS,127.11,126.39,354.74K,Producer Manufacturing,Industrial Machinery,84.0,58.0,80.0,89.0,7.0357,6.9207,1069.88K,517750.0,149.55,62.2,14.38B,No,123.08,121.98,93.75,125.66,98.49,497
550,ABB.NS,7649.5,7600.0,202.19K,Producer Manufacturing,Electrical Products,84.0,83.0,79.0,80.0,220.5357,215.8929,430.91K,445210.0,7924.5,4637.5,1620.99B,No,7458.1,7183.09,6171.4,7221.35,6669.75,498
541,PRICOLLTD.NS,732.8,737.9,579.18K,Producer Manufacturing,Auto Parts: Oem,84.0,88.0,78.0,77.0,27.8,25.1143,863.66K,1021970.0,782.5,415.1,,No,667.57,616.47,595.79,634.11,593.86,496
537,SHRIRAMFIN.NS,1137.8,1115.0,3535.61K,Finance,Finance/Rental/Leasing,84.0,78.0,76.0,63.0,32.9071,31.5357,6024.96K,6561880.0,1153.7,566.5,2677.18B,No,1059.25,1020.07,962.96,1043.59,1006.06,498
519,CMPDI.NS,246.83,250.14,1040.20K,Commercial Services,Miscellaneous Commercial Services,84.0,18.0,74.0,,8.4379,8.1671,5033.57K,1551580.0,283.69,150.16,,No,251.65,250.88,,252.25,,93
568,BAIKAKAJI.BO,248.4,239.85,46.20K,Process Industries,Containers/Packaging,83.0,95.0,90.0,75.0,12.3,10.6786,71.45K,205320.0,265.0,143.1,5.32B,No,212.5,198.35,,207.64,190.72,151
557,PAUSHAKLTD.NS,695.2,706.65,25.02K,Process Industries,Chemicals: Major Diversified,83.0,93.0,90.0,83.0,39.7714,36.8214,55.51K,239900.0,780.6,342.5,17.14B,No,606.16,537.91,,564.13,495.25,172
558,ASIANENE.NS,402.7,408.55,225.59K,Energy Minerals,Oil & Gas Production,83.0,91.0,89.0,89.0,18.1393,17.6143,527.55K,634390.0,420.0,230.0,19.57B,No,379.4,365.45,312.86,369.0,320.95,498
569,CENTENKA.NS,610.45,610.25,44.89K,Process Industries,Chemicals: Specialty,83.0,88.0,89.0,81.0,27.8214,26.9036,194.76K,616670.0,671.65,371.2,13.34B,No,582.04,541.67,466.25,554.97,478.91,497
576,MANCREDIT.NS,229.99,240.09,278.60K,Finance,Finance/Rental/Leasing,83.0,29.0,89.0,81.0,17.1986,16.1943,409.04K,616730.0,287.27,152.06,4.86B,No,232.02,226.71,184.91,230.98,191.98,492
586,SUPRIYA.NS,922.85,923.45,240.83K,Health Technology,Pharmaceuticals: Major,83.0,67.0,87.0,80.0,35.025,34.4536,561.58K,215230.0,1085.0,545.5,74.27B,No,863.72,908.86,753.69,904.64,760.38,496
564,ESAFSFB.NS,39.85,40.27,2051.52K,Finance,Regional Banks,83.0,82.0,86.0,84.0,2.8493,2.8393,3106.33K,8506410.0,44.25,19.78,20.56B,No,38.12,34.25,28.48,36.37,29.69,497
563,AERPACE.BO,30.88,31.82,452.64K,Distribution Services,Wholesale Distributors,83.0,56.0,84.0,66.0,2.8021,2.6764,578.08K,843790.0,39.7,16.7,4.75B,No,33.34,30.38,25.36,31.1,26.32,494
571,RAIN.NS,204.58,222.88,12973.52K,Process Industries,Industrial Specialties,83.0,45.0,83.0,75.0,11.3229,11.1171,7819.65K,6762300.0,252.0,99.9,68.81B,No,221.46,205.48,151.75,205.06,162.55,498
553,KECL.NS,150.17,143.51,563.54K,Producer Manufacturing,Electrical Products,83.0,95.0,81.0,92.0,8.955,8.7029,133.33K,458140.0,155.0,75.47,9.97B,No,132.14,118.71,107.15,122.63,108.38,497
573,RATNAVEER.NS,207.89,206.1,4225.31K,Non-Energy Minerals,Steel,83.0,85.0,79.0,82.0,13.0164,12.6521,4239.03K,16943870.0,218.49,130.5,14.85B,No,188.5,180.46,160.76,184.54,164.01,496
588,NAVINFLUOR.NS,8196.5,8271.0,190.59K,Process Industries,Chemicals: Specialty,83.0,70.0,77.0,80.0,281.6071,250.25,203.26K,558490.0,8775.5,4498.5,420.48B,No,7745.57,7520.98,6516.83,7662.3,6867.53,496
587,GOLDIAM.NS,369.05,372.9,1539.91K,Consumer Durables,Other Consumer Specialties,83.0,39.0,77.0,82.0,17.675,17.3857,1490.32K,1506980.0,398.0,198.75,55.56B,No,357.48,348.07,289.58,361.45,298.93,498
577,APOLLOPIPE.NS,507.25,517.35,928.30K,Producer Manufacturing,Miscellaneous Manufacturing,83.0,48.0,56.0,93.0,20.15,19.9571,259.96K,445080.0,554.0,252.1,22.28B,No,505.95,494.93,393.61,499.14,440.18,498
555,BHEL.NS,409.0,405.2,4499.00K,Producer Manufacturing,Electrical Products,83.0,65.0,52.0,87.0,10.1536,9.9071,13667.61K,7026740.0,446.5,205.12,1424.16B,No,412.41,402.1,320.24,403.52,339.13,498
592,MOLDTECH.NS,192.09,191.41,575.55K,Industrial Services,Engineering & Construction,82.0,97.0,92.0,85.0,13.7193,13.4036,153.27K,695300.0,221.0,101.1,5.53B,No,145.47,134.99,142.39,145.35,132.9,495
616,RBA.NS,90.23,94.92,13979.33K,Consumer Services,Restaurants,82.0,90.0,88.0,82.0,4.3986,3.8629,11266.05K,34560010.0,96.45,57.15,64.22B,No,73.21,73.08,66.7,75.49,67.95,496
620,AURUM.NS,231.27,226.01,361.99K,Technology Services,Packaged Software,82.0,65.0,87.0,76.0,10.7014,10.585,298.38K,338980.0,264.64,151.9,17.75B,No,228.26,214.19,185.42,219.57,190.94,497
621,BEPL.NS,126.14,123.57,2670.00K,Process Industries,Industrial Specialties,82.0,92.0,86.0,87.0,6.4471,6.0814,4241.28K,2271850.0,138.5,74.2,31.39B,No,117.3,106.52,94.18,110.44,96.3,497
618,TITAN.NS,5090.0,4941.0,3663.29K,Consumer Durables,Other Consumer Specialties,82.0,82.0,80.0,74.0,98.2786,91.75,1017.72K,912420.0,5122.2,3303.1,4515.06B,No,4793.83,4518.32,4198.48,4616.2,4348.92,498
608,VIYASH.NS,273.65,277.0,1997.69K,Health Technology,Pharmaceuticals: Major,82.0,44.0,80.0,76.0,8.6857,8.3321,2554.47K,1623900.0,298.0,167.95,119.44B,No,264.83,265.22,225.42,266.83,231.0,498
611,NYKAA.NS,323.7,332.0,7331.70K,Retail Trade,Internet Retail,82.0,45.0,79.0,79.0,8.5893,8.2679,7873.67K,8503170.0,348.0,200.14,927.36B,No,329.18,306.64,270.3,315.28,277.57,497
591,LENSKART.NS,586.15,569.7,4633.52K,Health Technology,Medical Specialties,82.0,76.0,78.0,76.0,14.7821,14.6321,6289.92K,3027890.0,592.0,356.1,1014.88B,No,557.84,533.22,,540.2,514.82,189
625,WOCKPHARMA.NS,1931.2,2021.0,1701.54K,Health Technology,Pharmaceuticals: Major,82.0,73.0,78.0,84.0,66.0643,65.1072,1695.93K,628510.0,2422.3,1086.7,313.80B,No,1920.89,1930.72,1528.34,1932.53,1598.8,498
614,PREMEXPLN.NS,649.15,641.2,250.30K,Process Industries,Chemicals: Specialty,82.0,12.0,78.0,77.0,13.8357,13.3393,1164.39K,320080.0,829.8,378.4,34.91B,No,662.44,699.15,566.53,695.08,573.14,497
606,ASTERDM.NS,867.15,869.7,1012.69K,Health Services,Hospital/Nursing Management,82.0,75.0,76.0,89.0,28.2679,28.2393,701.67K,871750.0,891.3,519.1,755.87B,No,820.53,797.08,690.51,816.01,717.33,498
612,AUROPHARMA.NS,1648.0,1658.0,1164.71K,Health Technology,Pharmaceuticals: Other,82.0,62.0,70.0,81.0,45.4429,43.95,1300.72K,1198080.0,1671.9,1016.1,948.22B,No,1568.85,1529.62,1326.04,1565.87,1402.41,496
610,CLEANMAX.NS,1292.0,1323.8,131.68K,Utilities,Alternative Power Generation,82.0,32.0,68.0,,69.9929,67.6786,307.61K,225240.0,1536.0,727.1,151.51B,No,1338.7,1312.12,,1321.53,,109
597,PIRAMALFIN.NS,2100.7,2109.7,109.56K,Finance,Finance/Rental/Leasing,82.0,41.0,59.0,68.0,65.3143,65.3143,344.09K,227930.0,2220.0,1260.0,474.77B,No,2109.22,2082.93,,2107.47,1919.95,189
590,GAEL.NS,172.85,169.22,897.82K,Consumer Non-Durables,Food: Specialty/Candy,82.0,83.0,55.0,77.0,8.6179,8.5436,1380.76K,3172020.0,184.03,101.2,79.28B,No,159.51,159.07,140.71,160.66,150.79,498
596,NATIONALUM.NS,382.7,381.0,5291.02K,Non-Energy Minerals,Aluminum,82.0,76.0,41.0,49.0,9.3464,8.925,11034.36K,7484400.0,445.15,183.86,702.88B,No,356.34,362.14,350.87,358.5,379.76,498
617,ADANIPOWER.NS,210.65,209.0,13180.42K,Utilities,Electric Utilities,82.0,33.0,35.0,85.0,4.8579,4.8257,32875.63K,14744120.0,254.2,114.24,4062.32B,No,213.59,220.44,178.46,218.34,190.97,498
630,ACSTECH.NS,50.6,46.0,800.45K,Process Industries,Textiles,81.0,90.0,89.0,,2.25,2.1243,248.31K,255560.0,50.6,31.71,,No,42.33,40.75,,42.75,,78
647,WEWORK.NS,725.2,755.4,350.38K,Finance,Real Estate Development,81.0,47.0,89.0,74.0,29.4714,28.9036,547.79K,300810.0,794.5,420.0,100.51B,No,721.04,688.12,592.1,698.22,584.26,206
629,IIFL.NS,625.9,611.75,1266.03K,Finance,Finance/Rental/Leasing,81.0,85.0,88.0,72.0,19.0571,18.1857,2915.08K,2133140.0,675.0,409.1,266.19B,No,584.12,544.58,525.51,559.15,505.28,498
631,BALRAMCHIN.NS,655.25,633.45,889.88K,Process Industries,Agricultural Commodities/Milling,81.0,87.0,83.0,86.0,23.2429,22.35,730.00K,759240.0,665.5,393.55,138.56B,No,615.95,575.22,496.65,582.46,519.2,498
641,TVSMOTOR.NS,4466.2,4440.8999,724.08K,Consumer Durables,Motor Vehicles,81.0,93.0,82.0,70.0,100.7143,94.6071,1302.61K,1683020.0,4475.0,2955.5,2122.46B,No,4021.78,3697.89,3632.19,3828.45,3670.13,498
627,M&MFIN.NS,412.3,408.45,3516.35K,Finance,Finance/Rental/Leasing,81.0,91.0,82.0,63.0,19.7893,18.5,4493.22K,4448840.0,415.0,251.05,572.91B,No,367.05,330.36,337.04,348.26,335.32,497
633,RKFORGE.NS,736.2,726.55,3366.25K,Producer Manufacturing,Metal Fabrication,81.0,95.0,77.0,78.0,27.7321,26.3893,1181.36K,3137950.0,763.5,460.15,134.11B,No,628.48,592.62,553.29,615.01,570.0,498
636,MANAPPURAM.NS,369.3,366.75,2869.58K,Finance,Finance/Rental/Leasing,81.0,80.0,77.0,76.0,11.1321,10.7429,4263.03K,7121770.0,381.55,245.15,346.90B,No,351.42,331.58,299.3,339.47,305.22,497
649,UJJIVANSFB.NS,69.76,70.11,6796.35K,Finance,Regional Banks,81.0,74.0,77.0,57.0,3.0693,3.0079,18003.88K,20511330.0,73.29,41.32,135.93B,No,68.7,61.96,57.81,64.03,59.77,498
648,KEI.NS,5659.8,5600.0,369.74K,Producer Manufacturing,Electrical Products,81.0,80.0,68.0,77.0,146.4358,133.7072,389.12K,714780.0,5708.0,3712.2,541.08B,No,5107.88,5233.86,4655.53,5272.18,4863.58,498
634,SATIN.NS,226.89,231.78,283.29K,Finance,Finance/Rental/Leasing,81.0,9.0,60.0,85.0,11.9886,11.9886,1187.41K,752870.0,274.14,133.01,24.96B,No,250.05,244.84,181.83,242.67,195.78,497
635,RAMRAT.NS,457.8,461.6,119.44K,Producer Manufacturing,Electrical Products,81.0,80.0,57.0,88.0,20.3857,19.1964,267.97K,434940.0,520.0,268.0,42.74B,No,432.13,412.52,354.52,420.99,375.99,496
632,PFOCUS.NS,283.05,287.6,334.85K,Consumer Services,Movies/Entertainment,81.0,86.0,36.0,67.0,14.1364,14.0421,622.80K,895400.0,367.0,139.04,220.43B,No,288.16,254.08,248.17,261.33,270.81,496
673,LANDMARK.NS,561.35,535.05,315.73K,Retail Trade,Specialty Stores,80.0,94.0,90.0,81.0,25.0679,24.5036,994.41K,318380.0,662.8,339.5,23.28B,No,524.28,464.78,455.06,483.03,423.44,496
689,NAZARA.NS,354.5,352.35,3574.04K,Technology Services,Packaged Software,80.0,87.0,87.0,72.0,12.45,10.4464,3537.78K,5010610.0,363.25,215.7,136.06B,No,319.02,302.71,271.98,311.56,280.14,497
