Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W
714,THERMAX.NS,4379.5,449440.0,Producer Manufacturing,Industrial Machinery,78.0,13.0,73.0,88.0,223.6572,217.9072,333260.0,303140.0,5277.8,2742.7,493340000000.0,No,4682.18,3553.06,4682.33,3777.72
701,ASTERDM.NS,813.2,521760.0,Health Services,Hospital/Nursing Management,78.0,40.0,71.0,84.0,20.4286,20.3071,894800.0,533540.0,836.5,519.1,707880000000.0,No,767.92,676.38,780.13,687.14
732,AGIIL.NS,343.35,3249780.0,Finance,Real Estate Development,78.0,12.0,25.0,84.0,14.1821,14.1821,2541760.0,2360640.0,434.4,199.8,42920000000.0,No,368.05,305.46,370.26,324.7
750,TARSONS.NS,308.75,186650.0,Process Industries,Containers/Packaging,77.0,97.0,92.0,84.0,17.6207,17.6207,791940.0,1180730.0,395.45,164.45,16430000000.0,No,239.02,230.74,245.15,217.97
738,SAREGAMA.NS,483.5,451150.0,Consumer Services,Movies/Entertainment,77.0,65.0,89.0,83.0,19.5857,19.325,3710050.0,480090.0,520.0,307.05,92810000000.0,No,439.52,389.53,456.93,379.86
737,RAMCOIND.NS,365.45,199940.0,Non-Energy Minerals,Construction Materials,77.0,92.0,85.0,71.0,17.5357,16.6429,732230.0,887440.0,398.05,230.65,31740000000.0,No,306.8,306.44,314.98,297.16
736,BORORENEW.NS,634.6,475550.0,Process Industries,Industrial Specialties,77.0,85.0,84.0,74.0,24.5286,24.0036,956990.0,1047210.0,721.0,374.4,89020000000.0,No,561.06,540.12,569.03,511.82
751,GUFICBIO.NS,399.3,106670.0,Health Technology,Pharmaceuticals: Major,77.0,70.0,83.0,77.0,19.6536,19.5286,270330.0,1042200.0,448.0,268.0,40040000000.0,No,347.06,326.69,354.93,319.32
760,SANSTAR.NS,111.44,173500.0,Consumer Non-Durables,Food: Major Diversified,77.0,22.0,83.0,75.0,4.5407,4.37,1136710.0,462560.0,137.49,74.3,22320000000.0,No,113.17,95.83,115.49,97.15
735,TIPSMUSIC.NS,703.8,148960.0,Consumer Services,Movies/Entertainment,77.0,75.0,82.0,82.0,22.2464,21.0643,465120.0,335260.0,726.75,481.15,89970000000.0,No,658.56,571.68,671.22,592.61
733,RELTD.NS,173.6,288580.0,Utilities,Alternative Power Generation,77.0,93.0,80.0,70.0,8.7714,8.7164,1080990.0,1287360.0,196.45,114.59,34470000000.0,No,144.36,148.37,149.07,144.99
762,PAYTM.NS,1381.4,4078110.0,Finance,Finance/Rental/Leasing,77.0,93.0,76.0,58.0,41.5857,40.2214,2841270.0,3503840.0,1397.4,930.6,885040000000.0,No,1142.74,1189.09,1166.1,1152.97
745,ABDL.NS,622.25,618050.0,Consumer Non-Durables,Beverages: Alcoholic,77.0,26.0,75.0,65.0,24.9357,24.5322,466710.0,799630.0,711.7,382.1,174050000000.0,No,598.89,556.1,605.48,536.29
749,CUB.NS,221.3,1175670.0,Finance,Regional Banks,77.0,75.0,65.0,56.0,7.7329,7.5043,3660790.0,3084060.0,243.07,145.12,219260000000.0,No,199.09,197.06,201.42,201.84
741,RICOAUTO.NS,126.72,1127240.0,Producer Manufacturing,Auto Parts: Oem,77.0,20.0,55.0,47.0,5.2779,5.1779,3182120.0,1501480.0,157.0,65.73,17140000000.0,No,127.96,115.77,129.97,122.99
767,GESHIP.NS,1418.8,561280.0,Transportation,Marine Shipping,77.0,51.0,46.0,80.0,51.0786,50.6571,1297450.0,488980.0,1798.0,913.1,202560000000.0,No,1491.67,1281.35,1468.88,1371.52
742,SMSPHARMA.NS,399.25,411140.0,Health Technology,Pharmaceuticals: Major,77.0,58.0,26.0,76.0,16.55,16.5214,424690.0,1173120.0,447.8,207.99,37390000000.0,No,390.93,347.49,388.22,372.94
747,FEDDERSHOL.NS,44.69,379110.0,Finance,Financial Conglomerates,77.0,94.0,,,2.875,2.875,1126110.0,2045760.0,46.95,32.06,,No,36.73,,38.11,
756,SIKA.NS,1180.6,19710.0,Electronic Technology,Aerospace & Defense,77.0,94.0,,,81.0393,79.7714,106000.0,354350.0,1359.4,870.1,,No,1013.95,,1032.39,
739,CORDELIA.NS,823.55,434760.0,Consumer Services,Hotels/Resorts/Cruise Lines,77.0,,,,,,2223690.0,2223690.0,903.65,623.1,59620000000.0,No,,,,
794,VERANDA.NS,229.82,164190.0,Commercial Services,Miscellaneous Commercial Services,76.0,47.0,91.0,66.0,10.4207,10.3907,506550.0,459160.0,272.5,130.02,22140000000.0,No,235.23,204.74,236.77,199.21
781,QUADFUTURE.NS,422.5,183700.0,Producer Manufacturing,Electrical Products,76.0,91.0,86.0,78.0,23.0643,22.775,951270.0,466510.0,531.0,248.55,16899999999.999998,No,363.66,328.65,370.7,327.06
779,JASH.NS,532.4,108300.0,Producer Manufacturing,Industrial Machinery,76.0,82.0,83.0,81.0,23.7286,23.3214,225370.0,328970.0,622.9,327.1,33490000000.000004,No,459.57,434.96,471.16,419.65
773,JSWINFRA.NS,347.25,4268700.0,Industrial Services,Engineering & Construction,76.0,88.0,82.0,78.0,10.5607,10.05,3422590.0,3680690.0,350.95,233.42,803940000000.0,No,295.24,279.45,302.75,276.76
788,PICCADIL.NS,716.55,385750.0,Process Industries,Agricultural Commodities/Milling,76.0,90.0,78.0,71.0,25.7036,24.9107,199120.0,386720.0,805.5,515.0,70630000000.0,No,597.95,598.79,607.97,586.98
768,BALRAMCHIN.NS,596.3,1114150.0,Process Industries,Agricultural Commodities/Milling,76.0,76.0,78.0,85.0,17.5822,17.3357,778920.0,473650.0,627.8,393.55,125980000000.0,No,543.31,482.46,545.27,493.69
784,BIOCON.NS,437.3,43004800.0,Health Technology,Pharmaceuticals: Major,76.0,59.0,78.0,69.0,13.5607,12.5179,4140750.0,4891280.0,444.5,331.0,712050000000.0,No,416.71,385.83,423.45,390.16
782,SANDHAR.NS,620.0,461050.0,Consumer Durables,Motor Vehicles,76.0,4.0,78.0,63.0,28.8143,28.7214,629850.0,328850.0,763.2,405.2,37410000000.0,No,651.91,550.36,660.45,558.34
802,IKS.NS,1879.4,69880.0,Commercial Services,Miscellaneous Commercial Services,76.0,79.0,75.0,68.0,57.5286,57.5286,330960.0,496050.0,1933.0,1262.0,315270000000.0,No,1705.93,1597.35,1724.24,1600.8
791,KIMS.NS,806.7,426100.0,Health Services,Hospital/Nursing Management,76.0,53.0,74.0,79.0,21.7893,21.3429,635670.0,586370.0,858.0,575.8,322790000000.0,No,780.06,697.38,793.05,699.14
792,TFCILTD.NS,80.53,11591050.0,Finance,Finance/Rental/Leasing,76.0,70.0,71.0,77.0,3.5307,3.51,5475790.0,5276830.0,84.61,51.0,37280000000.0,No,76.17,70.52,75.98,70.64
770,RAJSEC.BO,55.49,2940.0,Utilities,Gas Distributors,76.0,82.0,69.0,88.0,1.0664,0.7471,148130.0,590270.0,66.99,29.0,4269999999.9999995,No,49.08,43.76,50.11,43.58
798,LTF.NS,315.3,11571410.0,Finance,Finance/Rental/Leasing,76.0,82.0,62.0,51.0,11.15,10.5179,6143690.0,9083200.0,338.6,194.4,790030000000.0,No,290.66,285.56,293.11,286.55
769,CGFL.BO,33.31,35620.0,Finance,Investment Managers,76.0,84.0,58.0,65.0,2.5107,2.4836,275720.0,659580.0,39.4,20.7,2060000000.0,No,29.89,29.71,30.7,29.9
800,UJJIVANSFB.NS,65.14,22161150.0,Finance,Regional Banks,76.0,88.0,54.0,69.0,2.4043,2.3279,15351650.0,24334320.0,68.0,41.32,126750000000.0,No,57.14,55.81,57.44,57.98
796,SHRIRAMFIN.NS,1013.9,6516760.0,Finance,Finance/Rental/Leasing,76.0,66.0,34.0,56.0,26.6286,24.5143,6057790.0,5631920.0,1108.0,566.5,2385650000000.0,No,978.14,924.43,985.96,993.25
809,MOSCHIP.NS,240.83,11174910.0,Electronic Technology,Semiconductors,75.0,83.0,85.0,72.0,10.3886,10.07,3724870.0,7202350.0,288.45,146.8,46790000000.0,No,214.57,209.12,217.17,198.48
826,GABRIEL.NS,1248.6,195630.0,Producer Manufacturing,Auto Parts: Oem,75.0,88.0,84.0,75.0,43.6143,43.4714,429900.0,325010.0,1388.0,795.7,221290000000.0,No,1143.52,1061.17,1151.01,1020.53
803,LALPATHLAB.NS,1744.6,285970.0,Health Services,Medical/Nursing Services,75.0,73.0,77.0,73.0,48.0643,47.8286,631150.0,390240.0,1803.0,1272.6,291310000000.0,No,1631.38,1501.48,1638.69,1480.73
815,ZYDUSLIFE.NS,1133.6,1125130.0,Health Technology,Pharmaceuticals: Major,75.0,53.0,77.0,78.0,23.4,23.0929,1606590.0,1499580.0,1181.5,835.5,1130770000000.0,No,1071.58,962.84,1091.92,966.08
822,ATGL.NS,721.6,3042940.0,Utilities,Gas Distributors,75.0,36.0,77.0,79.0,22.7714,22.5071,6257260.0,2383600.0,859.85,462.8,793620000000.0,No,701.57,608.94,714.74,610.18
810,SHYAMMETL.NS,1035.95,678440.0,Producer Manufacturing,Metal Fabrication,75.0,63.0,76.0,78.0,27.9929,27.7429,674550.0,429460.0,1046.0,746.0,288330000000.0,No,950.0,872.03,966.56,875.3
827,MANAPPURAM.NS,328.1,2265760.0,Finance,Finance/Rental/Leasing,75.0,70.0,75.0,63.0,10.4893,9.8179,3933330.0,4102880.0,347.9,245.15,308200000000.0,No,318.11,293.22,320.51,297.54
832,FINCABLES.NS,1032.7,236840.0,Producer Manufacturing,Electrical Products,75.0,39.0,74.0,84.0,39.7214,39.3286,611600.0,368580.0,1203.9,700.8,157940000000.0,No,1080.41,879.39,1077.98,927.13
807,INDUSINDBK.NS,997.35,767350.0,Finance,Major Banks,75.0,73.0,73.0,68.0,24.0857,23.4393,2431890.0,2838800.0,1038.0,710.6,777070000000.0,No,930.97,870.12,938.69,899.93
835,GMRAIRPORT.NS,113.38,13559550.0,Transportation,Other Transportation,75.0,74.0,71.0,64.0,2.5371,2.4386,21452780.0,27618320.0,115.64,84.11,1197180000000.0,No,103.81,98.41,105.45,99.22
831,ZENTEC.NS,1802.7,274430.0,Technology Services,Information Technology Services,75.0,43.0,68.0,83.0,67.7571,65.9643,997760.0,838480.0,2024.0,1223.0,162130000000.0,No,1734.48,1487.14,1761.98,1535.38
817,KEI.NS,5120.5,299910.0,Producer Manufacturing,Electrical Products,75.0,21.0,65.0,71.0,179.2143,177.1071,394400.0,453800.0,5708.0,3712.2,489520000000.0,No,5260.44,4566.74,5279.0,4753.02
