Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,%_From_52WKH
212,SPORTKING.NS,170.43,591.38K,Process Industries,Textiles,92.0,91.0,93.0,95.0,431.36K,577730.0,187.45,78.17,21.69B,-9.08
213,CEMPRO.NS,1071.15,2071.85K,Industrial Services,Engineering & Construction,92.0,98.0,97.0,88.0,1419.47K,727830.0,1089.9,503.3,184.01B,-1.72
215,NARMADA.NS,37.22,421.36K,Process Industries,Agricultural Commodities/Milling,92.0,83.0,73.0,93.0,312.69K,430270.0,39.61,15.6,1.41B,-6.03
216,EMMVEE.NS,325.3,14715.21K,Electronic Technology,Semiconductors,92.0,90.0,95.0,90.0,4158.83K,4416070.0,329.95,171.51,225.22B,-1.41
220,SBCL.NS,740.0,305.47K,Non-Energy Minerals,Other Metals/Minerals,92.0,91.0,94.0,94.0,515.60K,745420.0,789.0,368.6,42.63B,-6.21
221,ADANIGREEN.NS,1475.4,4206.06K,Utilities,Alternative Power Generation,92.0,89.0,95.0,90.0,4867.73K,4960790.0,1532.5,765.0,2430.24B,-3.73
222,AGIIL.NS,361.8,969.77K,Finance,Real Estate Development,92.0,58.0,88.0,92.0,3157.00K,2749520.0,434.4,162.58,45.22B,-16.71
224,SKYGOLD.NS,521.0,5420.35K,Consumer Durables,Other Consumer Specialties,91.0,90.0,93.0,92.0,1106.35K,1067020.0,549.9,246.05,80.69B,-5.26
226,SHREEJISPG.NS,462.7,1343.65K,Transportation,Other Transportation,91.0,88.0,73.0,93.0,700.02K,1090090.0,482.9,222.0,75.38B,-4.18
228,WOCKPHARMA.NS,2031.4,13169.61K,Health Technology,Pharmaceuticals: Major,91.0,97.0,93.0,94.0,1550.44K,1396460.0,2097.4,1086.7,330.09B,-3.15
232,SAIL.NS,204.37,18974.00K,Non-Energy Minerals,Steel,91.0,81.0,87.0,92.0,27762.66K,32534000.0,209.7,118.1,844.16B,-2.54
233,BELRISE.NS,216.46,4977.00K,Producer Manufacturing,Auto Parts: Oem,91.0,55.0,79.0,88.0,5249.40K,4319310.0,228.8,89.15,192.62B,-5.39
235,SYRMA.NS,1088.55,1983.33K,Electronic Technology,Electronic Production Equipment,91.0,83.0,88.0,85.0,1555.13K,1166580.0,1188.0,500.0,209.68B,-8.37
238,INDOBORAX.NS,344.2,273.19K,Process Industries,Chemicals: Specialty,91.0,96.0,92.0,91.0,136.65K,383180.0,352.55,179.34,11.05B,-2.37
245,LLOYDSME.NS,1802.1,648.03K,Non-Energy Minerals,Steel,91.0,64.0,95.0,91.0,735.21K,531060.0,1888.6,1042.9,1013.78B,-4.58
247,DREDGECORP.NS,1161.05,491.90K,Transportation,Marine Shipping,91.0,91.0,82.0,92.0,514.42K,1613540.0,1245.0,538.0,32.51B,-6.74
250,CUMMINSIND.NS,5881.0,2020.77K,Producer Manufacturing,Auto Parts: Oem,91.0,83.0,84.0,90.0,704.41K,468440.0,6100.0,3185.2,1630.21B,-3.59
251,ASHAPURMIN.NS,739.5,7817.21K,Non-Energy Minerals,Other Metals/Minerals,91.0,86.0,92.0,72.0,756.59K,645070.0,924.9,366.1,70.64B,-20.05
252,GMDCLTD.NS,670.0,2074.78K,Distribution Services,Wholesale Distributors,91.0,26.0,79.0,87.0,5212.22K,2791600.0,771.9,354.2,213.06B,-13.2
254,KOPRAN.NS,206.27,3847.22K,Health Technology,Pharmaceuticals: Major,91.0,95.0,95.0,94.0,750.88K,2686050.0,219.0,107.0,9.96B,-5.81
255,SUNFLAG.NS,373.75,362.49K,Non-Energy Minerals,Steel,90.0,94.0,95.0,93.0,869.96K,379710.0,428.0,192.15,67.36B,-12.68
256,HINDALCO.NS,1126.7,11987.23K,Non-Energy Minerals,Other Metals/Minerals,90.0,70.0,81.0,91.0,6376.21K,6120380.0,1176.0,618.0,2519.47B,-4.19
257,BALAMINES.NS,1775.6,219.54K,Process Industries,Chemicals: Specialty,90.0,96.0,96.0,93.0,263.46K,856990.0,1956.0,968.1,57.53B,-9.22
258,ASTRAMICRO.NS,1401.7,1613.78K,Electronic Technology,Telecommunications Equipment,90.0,94.0,95.0,92.0,735.71K,2024410.0,1433.0,851.0,133.08B,-2.18
260,WALCHANNAG.NS,253.36,2309.26K,Producer Manufacturing,Industrial Machinery,90.0,74.0,93.0,94.0,1700.26K,2983490.0,277.75,131.15,17.21B,-8.78
270,GRANULES.NS,773.85,1169.71K,Health Technology,Pharmaceuticals: Other,90.0,80.0,87.0,91.0,1358.13K,1830400.0,804.3,432.6,191.76B,-3.79
272,SATIN.NS,217.82,511.05K,Finance,Finance/Rental/Leasing,90.0,94.0,92.0,92.0,947.83K,551520.0,245.54,133.01,23.96B,-11.29
274,INDSWFTLAB.NS,152.11,7344.41K,Health Technology,Pharmaceuticals: Major,90.0,79.0,62.0,94.0,1035.76K,470510.0,161.0,77.55,13.21B,-5.52
280,APOLLOPIPE.NS,508.85,167.31K,Producer Manufacturing,Miscellaneous Manufacturing,90.0,88.0,95.0,95.0,2207.49K,618930.0,554.0,252.1,22.35B,-8.15
281,SANDHAR.NS,674.75,351.87K,Consumer Durables,Motor Vehicles,90.0,96.0,92.0,86.0,458.45K,2112200.0,733.9,405.2,40.71B,-8.06
282,APEX.NS,426.3,505.59K,Consumer Non-Durables,Food: Meat/Fish/Dairy,90.0,15.0,38.0,93.0,842.60K,503510.0,514.5,208.74,13.32B,-17.14
284,POWERICA.NS,551.45,505.08K,Producer Manufacturing,Electrical Products,90.0,86.0,,,564.44K,421020.0,586.3,365.1,69.79B,-5.94
287,DATAPATTNS.NS,4043.1,994.47K,Electronic Technology,Electronic Production Equipment,89.0,52.0,90.0,88.0,1277.64K,1216650.0,4303.0,2131.0,226.35B,-6.04
288,GOKULAGRO.NS,229.08,279.64K,Process Industries,Agricultural Commodities/Milling,89.0,61.0,89.0,77.0,2698.30K,761770.0,249.92,121.55,67.60B,-8.34
291,TRITURBINE.NS,741.5,6886.46K,Producer Manufacturing,Industrial Machinery,89.0,94.0,94.0,89.0,3202.80K,7229350.0,787.6,428.35,235.72B,-5.85
299,KTKBANK.NS,269.35,3485.63K,Finance,Regional Banks,89.0,62.0,89.0,94.0,4183.80K,4222810.0,278.4,169.12,101.86B,-3.25
300,NLCINDIA.NS,347.55,10137.66K,Utilities,Electric Utilities,89.0,79.0,88.0,90.0,6316.65K,13590410.0,387.8,220.71,481.93B,-10.38
301,SUPRIYA.NS,968.7,5802.73K,Health Technology,Pharmaceuticals: Major,89.0,96.0,92.0,86.0,211.25K,322450.0,968.7,545.5,77.96B,0.0
312,UNIPARTS.NS,601.05,215.40K,Producer Manufacturing,Auto Parts: Oem,89.0,86.0,85.0,85.0,167.27K,492180.0,654.0,335.0,27.11B,-8.1
313,SHILPAMED.NS,498.95,1060.79K,Health Technology,Pharmaceuticals: Major,89.0,92.0,95.0,90.0,940.86K,1787770.0,529.8,259.5,97.59B,-5.82
315,HONASA.NS,406.4,1392.33K,Retail Trade,Specialty Stores,89.0,88.0,90.0,90.0,2317.80K,8887410.0,424.9,248.4,132.28B,-4.35
318,LLOYDSENGG.NS,73.61,11296.95K,Industrial Services,Engineering & Construction,88.0,93.0,93.0,89.0,9319.70K,12242580.0,84.27,37.4,104.91B,-12.65
319,MAYURUNIQ.NS,754.45,227.00K,Process Industries,Textiles,88.0,95.0,90.0,93.0,233.07K,937750.0,805.75,471.2,32.78B,-6.37
321,PREMEXPLN.NS,690.55,967.49K,Process Industries,Chemicals: Specialty,88.0,93.0,93.0,84.0,752.12K,2490360.0,779.5,378.4,37.14B,-11.41
322,RAIN.NS,188.07,18653.91K,Process Industries,Industrial Specialties,88.0,97.0,87.0,95.0,6119.10K,6892510.0,193.55,99.9,63.26B,-2.83
323,RATEGAIN.NS,746.45,1234.08K,Technology Services,Packaged Software,88.0,94.0,90.0,70.0,594.33K,1692270.0,766.7,417.6,88.15B,-2.64
324,KRISHANA.NS,668.1,165.17K,Process Industries,Chemicals: Agricultural,88.0,53.0,89.0,87.0,279.68K,335090.0,718.5,366.2,41.31B,-7.01
325,MSPL.NS,42.72,1847.69K,Non-Energy Minerals,Steel,88.0,91.0,89.0,86.0,1588.97K,1412040.0,44.0,26.16,24.21B,-2.91
329,MARINE.NS,268.94,6124.69K,Distribution Services,Wholesale Distributors,88.0,86.0,92.0,72.0,552.42K,639270.0,282.48,150.86,35.68B,-4.79
332,RISHABH.NS,529.65,244.87K,Producer Manufacturing,Electrical Products,88.0,82.0,83.0,82.0,186.07K,527880.0,566.0,272.3,20.46B,-6.42
336,BHARATFORG.NS,1957.2,3126.96K,Producer Manufacturing,Metal Fabrication,88.0,65.0,67.0,89.0,1375.81K,809600.0,2044.0,1100.5,935.72B,-4.25
338,FINCABLES.NS,1136.3,870.01K,Producer Manufacturing,Electrical Products,88.0,85.0,93.0,92.0,654.56K,589180.0,1184.8,700.8,173.78B,-4.09
343,DECNGOLD.NS,162.28,1616.84K,Non-Energy Minerals,Precious Metals,88.0,95.0,,,1738.77K,3450530.0,181.5,114.8,,-10.59
352,J&KBANK.NS,140.36,3113.97K,Finance,Regional Banks,87.0,79.0,90.0,87.0,6042.03K,3236820.0,145.0,97.35,154.56B,-3.2
354,RPEL.NS,965.1,80.93K,Process Industries,Chemicals: Major Diversified,87.0,96.0,92.0,47.0,131.02K,357870.0,1065.5,561.3,44.32B,-9.42
357,ARVIND.NS,473.35,642.73K,Process Industries,Textiles,87.0,91.0,87.0,88.0,789.54K,1255130.0,500.95,274.8,124.07B,-5.51
361,BMW.BO,55.45,528.20K,Non-Energy Minerals,Steel,87.0,94.0,95.0,90.0,378.92K,532970.0,57.98,26.06,12.48B,-4.36
