Rank,Industry,Sector,RS,1 M_RS,3M_RS,6M_RS,Ticker
35,Finance/Rental/Leasing,Finance,57,52,55,57,"BAJFINANCE.NS,IRFC.NS,CHOLAFIN.NS,PFC.NS,MUTHOOTFIN.NS,SHRIRAMFIN.NS,RECLTD.NS,BAJAJHFL.NS,INDUSTOWER.NS,SBICARD.NS,PAYTM.NS,HDBFS.NS,LTF.NS,SUNDARMFIN.NS,HUDCO.NS,IREDA.NS,POONAWALLA.NS,M&MFIN.NS,CHOLAHLDNG.NS,LICHSGFIN.NS,MANAPPURAM.NS,PNBHOUSING.NS,AADHARHFC.NS,CREDITACC.NS,IIFL.NS,CGCL.NS,APTUS.NS,FIVESTAR.NS,IFCI.NS,AAVAS.NS,HOMEFIRST.NS,SBFC.NS,SAMMAANCAP.NS,CANFINHOME.NS,INDIASHLTR.NS,FEDFINA.NS,MASFIN.NS,NORTHARC.NS,DHANI.NS,INDOSTAR.NS,PAISALO.NS,TFCILTD.NS,SANGHVIMOV.NS,MUTHOOTMF.NS,FUSIONPP.BO,FUSION.NS,PFS.NS,REPCOHOME.NS,UGROCAP.NS,SSFLPP.BO,SPANDANA.NS,HARAFIN.BO,SATIN.NS,ARMANFIN.NS,ECOSMOBLTY.NS,MUFIN.NS,APOLLOPIPE.NS,FINKURVE.BO,CIFL.NS,GICHSGFIN.NS,LAXMIINDIA.NS,NIYOGIN.BO,MANBA.NS,TARACHAND.NS,MKVENTURES.BO,IFINSEC.BO,MUTHOOTCAP.NS,SRGHFL.NS,MANCREDIT.NS,NDGL.NS,SAHLIBHFI.BO,STARTECK.NS,SAKTHIFIN.BO,SRSOLTD.BO,PURPLEFIN.BO,THACKER.BO,APOLLOFI.BO,CROWN.NS,AVAILFC.BO,KIFS.BO,SANGAMFIN.BO,MAHAPEXLTD.NS,SONAL.BO,AUTOINT.BO,PRITHVIEXCH.BO,HARYNACAP.BO,ABHICAP.BO,DHRUVCA.BO,ACME.BO,FMEC.BO,TRUSTEDGE.BO,MANGALCOMP.BO,FYNX.BO,ICDSLTD.NS,KREONFIN.BO,RTFL.BO,INTRGLB.BO,KEYCORP.BO,CAPTRUST.NS,CEEJAY.BO,AASTAFIN.BO,RFL.BO,INDIAHOME.BO,SAINIK.BO,ADMANUM.BO,GLANCE.BO,MTPL.BO,MASKINVEST.NS,SALEM.BO,RELICTEC.BO,INDBNK.BO,NLFL.BO,SUJALA.BO,MANRAJH.BO,TRIUMPIN.BO,SAHARAHOUS.BO,VAPIENTER.BO,MEGFI.BO,MANSIFIN.BO,ABIRAFN.BO,PARAGONF.BO,NPRFIN.BO,GOLECHA.BO,UNITDCR.BO,BAZELINTER.BO,JLL.BO,CLFL.BO,JJFINCOR.BO,RAJKOTINV.BO,OSWALEA.BO,GRANDOAK.BO,ROADSTAR.BO"
36,Other Metals/Minerals,Non-Energy Minerals,56,56,57,55,"HINDZINC.NS,HINDALCO.NS,NMDC.NS,HINDCOPPER.NS,GRAVITA.NS,SANDUMA.NS,MOIL.NS,MIDHANI.NS,ASHAPURMIN.NS,IMFA.NS,POCL.NS,MAITHANALL.NS,SBCL.NS,MMP.NS,NILE.BO,NRL.NS,COCHINM.BO,SERA.BO,SIYARAM.BO,MCL.NS,CUBEXTUB.NS,INDSILHYD.BO,PARMESHWAR.BO,CHROME.BO,ZODJRDMKJ.BO,RAPICUT.BO,SOUTHMG.BO,KACHCHH.BO,SHARVAYA.BO,KRUPALU.BO"
37,Specialty Stores,Retail Trade,54,48,52,52,"DMART.NS,KALYANKJIL.NS,HONASA.NS,BLUESTONE.NS,PNGJL.NS,VMART.NS,DPABHUSHAN.NS,LANDMARK.NS,CONFIPET.NS,PANORAMA.BO,PVSL.NS,MVGJL.NS,GARGI.BO,AAYUSH.BO,COMPEAU.BO,ALANSCOTT.BO,DIGIDRIVE.NS,HIRAUTO.BO,MANOJJEWEL.BO,RAL.BO"
38,Financial Conglomerates,Finance,54,55,59,57,"JIOFIN.NS,BAJAJHLDNG.NS,AIIL.NS,INDIGRID.BO,SUNDARMHLD.NS,PILANIINVS.NS,NSIL.NS,RPSGVENT.NS,ELCIDIN.BO,KICL.NS,BFINVEST.NS,ZSARACOM.BO,FEDDERSHOL.BO,JINDALPHOT.NS,NISUS.BO,STEL.NS,SILINV.NS,NBIFIN.NS,CONSOFINVT.NS,CUPIDALBV.BO,IITL.NS,TEAMGTY.NS,ZMILGFIN.BO,YASTF.BO,GANGESSECU.NS,RSDFIN.BO,MORGAN.BO,APOORVA.BO,LFIC.NS,TCFCFINQ.BO,MORARKFI.BO,LERTHAI.BO,MKPMOB.BO,MARGOFIN.BO,WILLAMAGOR.NS,SOUTLAT.BO,MIL.BO,QGO.BO,KARTKIN.BO,HRMNYCP.BO,SWRNASE.BO,DFL.BO,RISHYRN.BO,GANHOLD.BO,CMXLTD.BO"
39,Investment Managers,Finance,54,43,49,52,"HDFCAMC.NS,360ONE.NS,PEL.NS,ANANDRATHI.NS,NUVAMA.NS,UTIAMC.NS,PRUDENT.NS,CMSINFO.NS,MEDIASSIST.NS,CENTRUM.NS,WEALTH.NS,VHL.NS,MIIL.BO,AFSL.NS,CREST.NS,JPOLYINVST.NS,BLAL.NS,EMKAY.NS,SRAMSET.BO,NAHARCAP.NS,CORALFINAC.NS,ESCORP.BO,VGCL.BO,SPACAPS.BO,LADDERUP.BO,STANROS.BO,PHOTON.BO,VEDANTASSET.BO"
40,Trucks/Construction/Farm Machinery,Producer Manufacturing,53,43,49,46,"MAZDOCK.NS,ASHOKLEY.NS,COCHINSHIP.NS,GRSE.NS,BEML.NS,CRAFTSMAN.NS,JWL.NS,ACE.NS,INGERRAND.NS,TITAGARH.NS,AJAXENGG.NS,BALUFORGE.NS,TEXRAIL.NS,GREAVESCOT.NS,VSTTILLERS.NS,JISLDVREQS.NS,JISLJALEQS.NS,KMEW.NS,TIL.NS,BAJAJINDEF.NS,INDOFARM.NS,EIMCOELECO.NS,GUJAPOLLO.NS,HERCULES.NS,MAHEPC.NS,TRF.NS,QUINT.BO,BHARATGEAR.NS,INTLCOMBQ.BO,LAXMIPATI.BO,SEMAC.NS,SWANAGRO.BO,CRANEX.BO,MHEL.BO,INDCTST.BO,AIRFLOA.BO"
41,Electronic Components,Electronic Technology,53,42,59,49,"HEG.NS,CENTUM.NS,UNIVCABLES.NS,ELPROINTL.BO,MEIL.NS,BCCFUBA.BO,GUJARATPOLY.BO,INCAP.BO,FINELINE.BO,PANELEC.BO"
42,Steel,Non-Energy Minerals,53,47,51,52,"JSWSTEEL.NS,TATASTEEL.NS,JINDALSTEL.NS,LLOYDSME.NS,JSL.NS,TIINDIA.NS,SAIL.NS,APLAPOLLO.NS,KIOCL.NS,SARDAEN.NS,RATNAMANI.NS,GPIL.NS,GALLANTT.NS,JINDALSAW.NS,NSLNISP.NS,JAIBALAJI.NS,KIRLFER.BO,MAHSEAMLES.NS,SURYAROSNI.NS,ELECTCAST.NS,BANSALWIRE.NS,SUNFLAG.NS,KIRLOSIND.NS,GOODLUCK.NS,KSL.NS,SAMBHV.NS,PENIND.NS,PRAKASH.NS,ORISSAMINE.NS,JTLIND.NS,VENUSPIPES.NS,COCKERILL.BO,VSSL.NS,WELSPLSOL.BO,HITECH.NS,STEELCAS.NS,MSPL.NS,MUKANDLTD.NS,HARIOMPIPE.NS,MANAKCOAT.NS,ELECTHERM.NS,NELCAST.NS,GANDHITUBE.NS,COSMICCRF.BO,SCODATUBES.NS,BMW.BO,BEEKAY.BO,RATNAVEER.NS,SGIL.NS,AZADIND.BO,MAHASTEEL.NS,MWL.NS,SURAJLTD.NS,PANCHMAHQ.BO,VRAJ.NS,NEETUYOSHI.BO,VISASTEEL.NS,VMSTMT.NS,MANAKSIA.NS,BEDMUTHA.NS,SURAJ.BO,MANAKSTEEL.NS,GEEKAYWIRE.NS,TALBROSENG.BO,SUPERSHAKT.BO,VSTL.NS,NITINCAST.BO,INCREDIBLE.NS,SCANSTL.BO,VASWANI.NS,RAJTUBE.BO,SHBAJRG.BO,REMIEDEL.BO,GUJINTRX.BO,SMLT.NS,KANSHST.BO,BGWTATO.BO,SHAHALLOYS.NS,SHRDAIS.BO,GARGFUR.BO,KAJARIR.BO,SUPERIRON.BO,MAIDEN.BO,HISARMETAL.NS,UNIAUTO.BO,TULSYAN.BO,VRUDDHI.BO,IMEC.BO,MSCTC.BO,METALCO.BO,CHENFERRO.BO,ASHSI.BO,NATGENI.BO,BLOIN.BO,RISHDIGA.BO,CRIMSON.BO,NCML.BO"
43,Food: Major Diversified,Consumer Non-Durables,52,47,60,53,"NESTLEIND.NS,ZYDUSWELL.NS,BBTC.NS,SANSTAR.NS,DVL.NS,BCLIND.NS,APIS.BO,AVEER.BO,GILLANDERS.NS,NEAGI.BO,JAMESWARREN.BO,GROBTEA.NS,BENGALT.BO,SVJ.BO,TIGLOB.BO,TERAI.BO,LYKISLTD.BO,UNIQUEO.BO,CHORDIA.BO,IBINFO.BO"
44,Information Technology Services,Technology Services,52,60,56,57,"TCS.NS,INFY.NS,HCLTECH.NS,WIPRO.NS,TECHM.NS,PERSISTENT.NS,COFORGE.NS,TATAELXSI.NS,CAMS.NS,ZENTEC.NS,SONATSOFTW.NS,TANLA.NS,BBOX.NS,E2E.NS,MASTEK.NS,AURIONPRO.NS,ASMTEC.BO,STLTECH.NS,RSYSTEMS.NS,MCLOUD.NS,CIGNITITEC.NS,EBGNG.NS,PROTEAN.NS,NUCLEUS.NS,SAKSOFT.NS,SASKEN.NS,RAMCOSYS.NS,EXPLEOSOL.NS,IVALUE.NS,ORIENTTECH.NS,MEGASOFT.NS,DSSL.NS,ADSL.NS,XCHANGING.NS,PVP.NS,UNIFIED.BO,MINDTECK.NS,ONWARDTEC.NS,TERASOFT.NS,XTGLOBAL.NS,CYBERTECH.NS,INSPIRISYS.NS,LOKESHMACH.NS,SOFTSOL.BO,GOLDTECH.NS,INTENTECH.NS,CNINFOTECH.BO,METAINFO.BO,ANKIN.BO,TRIGYN.NS,TREJHARA.NS,CURAA.NS,DEVIT.NS,SATTRIX.BO,DCM.NS,XELPMOC.NS,CGVAK.BO,SECMARK.NS,ATISHAY.BO,ATHENAGLO.BO,EDVENSWA.BO,AAATECH.NS,COVANCE.BO,VEDAVAAG.BO,CTE.NS,SANCODE.BO,GLOBTIER.BO,OMEGAIN.BO,7TEC.BO,B2BSOFT.BO,INFORTEC.BO,MEGRISOFT.BO,SENINFO.BO,ARIGATO.BO,NIKSTECH.BO,UNITEDINT.BO,EUPHORIAIT.BO,EKENNIS.BO,ACEENGITEC.BO"
