Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
132,YASHO.NS,4043.7,4144.7002,41.71K,Consumer Non-Durables,Food: Specialty/Candy,95.0,29.0,92.0,96.0,204.7571,204.7571,56.86K,43.00K,4994.0,1130.0,48.76B,No,4075.7,3963.7,2326.21,4040.52,2695.95,498
133,SBCL.NS,1143.2,1156.0,198.12K,Non-Energy Minerals,Other Metals/Minerals,95.0,86.0,93.0,96.0,59.2072,57.3143,650.80K,309.20K,1215.7,368.6,65.85B,No,1097.51,971.4,652.92,995.61,734.26,500
134,KSHINTL.NS,1036.0,1046.8,248.57K,Producer Manufacturing,Electrical Products,95.0,76.0,83.0,95.0,56.5428,56.3357,348.79K,297.46K,1198.0,330.0,70.19B,No,1061.91,981.88,,997.14,772.57,191
137,SAKAR.NS,1128.55,1162.65,121.55K,Health Technology,Pharmaceuticals: Major,95.0,93.0,89.0,93.0,74.8036,72.9214,173.09K,136.35K,1229.85,345.5,24.77B,No,1087.78,966.85,683.48,975.72,778.97,501
138,FILATEX.NS,105.32,108.72,4640.55K,Process Industries,Textiles,95.0,93.0,97.0,96.0,6.3836,6.3836,5864.22K,11962.11K,111.5,36.26,46.77B,No,85.32,81.06,55.76,83.83,59.74,500
142,SALSTEEL.NS,89.27,85.02,974.20K,Non-Energy Minerals,Steel,95.0,88.0,94.0,94.0,4.5593,4.285,418.75K,478.91K,89.27,26.1,12.92B,No,79.47,69.89,54.0,72.42,59.27,498
143,SKYGOLD.NS,782.7,794.1,537.48K,Consumer Durables,Other Consumer Specialties,95.0,49.0,94.0,94.0,31.8536,31.7893,1148.69K,686.30K,868.8,259.0,121.22B,No,796.59,755.73,497.21,758.04,559.26,501
144,MTARTECH.NS,7050.0,7286.5,77.90K,Electronic Technology,Aerospace & Defense,95.0,70.0,30.0,92.0,324.0,291.5,156.22K,85.41K,8714.0,1824.5,216.86B,No,7155.93,6739.9,5302.76,6842.45,6259.54,501
145,FCL.NS,56.07,56.81,19878.09K,Process Industries,Industrial Specialties,95.0,85.0,86.0,95.0,3.4064,3.345,16334.75K,22348.53K,62.4,19.1,65.29B,No,54.47,47.2,32.8,48.37,36.31,501
146,PAISALO.NS,89.45,90.39,11349.61K,Finance,Finance/Rental/Leasing,95.0,94.0,93.0,95.0,3.85,3.7757,17317.81K,21734.72K,94.88,30.0,81.77B,No,80.74,74.34,51.65,75.34,58.43,501
151,TFCILTD.NS,143.46,141.55,18256.42K,Finance,Finance/Rental/Leasing,94.0,83.0,96.0,93.0,3.9279,3.9236,12740.22K,9431.76K,147.65,51.0,66.42B,No,141.44,122.95,83.86,126.34,90.71,501
152,RATNAVEER.NS,323.95,331.4,2759.22K,Non-Energy Minerals,Steel,94.0,90.0,96.0,94.0,19.9786,19.9643,7334.24K,10236.46K,343.75,130.5,27.19B,No,303.12,251.2,182.25,257.34,193.79,500
154,SHADOWFAX.NS,285.8,285.75,5611.20K,Technology Services,Packaged Software,94.0,82.0,83.0,95.0,11.1143,11.1071,8192.34K,4664.28K,292.2,98.55,167.69B,No,258.13,246.54,,250.1,198.47,167
