Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO
2006,DEEPINDS.NS,447.7,34.47K,Industrial Services,Oilfield Services/Equipment,36.0,41.0,24.0,64.0,146.99K,93.42K,624.4,381.0,28.73B,No
2007,HONDAPOWER.NS,2352.4,1.22K,Producer Manufacturing,Electrical Products,36.0,37.0,20.0,24.0,3.98K,3.66K,3256.0,1815.0,23.86B,No
2008,IGPL.NS,396.95,90.97K,Process Industries,Chemicals: Specialty,36.0,80.0,54.0,38.0,20.11K,13.54K,589.2,373.0,12.22B,No
2009,AICHAMP.BO,44.02,1.83K,Process Industries,Textiles,36.0,6.0,14.0,59.0,0.98K,1.29K,65.7,37.2,1.35B,No
2010,CHAMBLFERT.NS,473.5,934.20K,Process Industries,Chemicals: Specialty,36.0,82.0,40.0,32.0,988.64K,1693.83K,742.2,410.2,189.71B,No
2011,TOKYOPLAST.NS,113.14,0.78K,Producer Manufacturing,Miscellaneous Manufacturing,36.0,31.0,38.0,34.0,10.24K,3.68K,161.0,104.15,1.07B,No
2012,SAATVIKGL.NS,382.9,240.56K,Producer Manufacturing,Industrial Machinery,36.0,17.0,,,844.51K,334.07K,567.0,350.6,48.67B,No
2013,JUNIPER.NS,259.39,42.85K,Consumer Services,Hotels/Resorts/Cruise Lines,36.0,87.0,35.0,45.0,168.00K,143.68K,372.0,220.8,57.71B,No
2014,ABRIL.BO,42.5,14.00K,Process Industries,Pulp & Paper,36.0,45.0,38.0,,12.96K,17.00K,56.9,37.0,339.23M,No
2015,CONCOR.NS,508.6,475.91K,Transportation,Railroads,35.0,54.0,61.0,31.0,2082.87K,824.37K,792.35,481.0,387.47B,No
2016,SOFTTECH.NS,326.1,1.61K,Technology Services,Packaged Software,35.0,51.0,38.0,39.0,6.70K,3.40K,559.8,296.0,4.51B,No
2017,KAUSHALYA.NS,882.9,3.14K,Industrial Services,Engineering & Construction,35.0,28.0,6.0,58.0,0.50K,1.18K,1841.9,787.8,316.39M,No
2018,HALDYNGL.BO,92.68,44.36K,Process Industries,Containers/Packaging,35.0,35.0,57.0,36.0,57.73K,39.50K,154.65,84.01,4.98B,No
2019,CONSOFINVT.NS,172.12,1.44K,Finance,Financial Conglomerates,35.0,77.0,41.0,37.0,4.81K,6.12K,230.0,152.0,5.56B,No
2020,RISHITECH.BO,44.51,0.91K,Process Industries,Containers/Packaging,35.0,39.0,62.0,14.0,2.36K,1.14K,67.7,41.0,328.97M,No
2021,ASTEC.NS,716.7,78.65K,Process Industries,Chemicals: Agricultural,35.0,1.0,32.0,38.0,1500.35K,245.95K,1263.85,607.05,15.97B,No
2022,DHARMAJ.NS,239.95,11.15K,Process Industries,Chemicals: Agricultural,35.0,46.0,8.0,23.0,55.24K,35.80K,386.5,165.1,8.11B,No
2023,SGLTL.NS,148.63,271.10K,Health Technology,Medical Specialties,35.0,22.0,17.0,34.0,218.16K,227.48K,213.8,124.0,29.65B,No
2024,ASSOCER.BO,203.75,0.12K,Non-Energy Minerals,Construction Materials,35.0,7.0,40.0,21.0,0.26K,0.30K,264.0,177.1,416.61M,No
2025,MODIS.NS,341.65,4.30K,Finance,Real Estate Development,35.0,16.0,,,29.75K,37.74K,409.0,304.5,6.70B,No
2026,HERCULES.NS,158.45,16.38K,Producer Manufacturing,Trucks/Construction/Farm Machinery,35.0,24.0,40.0,34.0,49.30K,14.36K,238.75,125.51,5.09B,No
2027,SAYAJIIND.BO,66.4,0.46K,Process Industries,Chemicals: Specialty,35.0,26.0,49.0,56.0,3.59K,1.32K,103.44,53.75,1.68B,No
2028,HINDOILEXP.NS,154.24,152.95K,Energy Minerals,Integrated Oil,35.0,88.0,37.0,44.0,370.67K,207.59K,218.8,135.7,20.40B,No
2029,OILCOUNTUB.NS,63.27,30.41K,Industrial Services,Oilfield Services/Equipment,35.0,68.0,29.0,12.0,39.73K,18.99K,100.66,59.27,3.29B,No
2030,LFIC.NS,179.46,1.04K,Finance,Financial Conglomerates,35.0,20.0,25.0,29.0,3.21K,1.27K,270.17,153.8,538.38M,No
2031,BFUTILITIE.NS,708.0,29.73K,Industrial Services,Engineering & Construction,35.0,87.0,22.0,49.0,49.91K,22.18K,1040.0,565.0,26.69B,No
2032,RUNGTAIR.BO,60.0,0.23K,Producer Manufacturing,Industrial Machinery,35.0,39.0,51.0,47.0,0.96K,0.67K,85.0,53.41,1.20B,No
2033,BANG.NS,49.33,7.02K,Consumer Non-Durables,Apparel/Footwear,35.0,20.0,56.0,41.0,48.19K,72.49K,85.19,42.77,682.81M,No
2034,PURVA.NS,249.74,1142.95K,Finance,Real Estate Development,35.0,64.0,48.0,35.0,438.82K,2022.25K,406.8,208.7,59.23B,No
2035,GUJTERC.BO,46.99,1.67K,Health Technology,Pharmaceuticals: Major,35.0,61.0,83.0,32.0,8.90K,2.64K,88.6,37.2,366.11M,No
2036,NOVARTIND.BO,787.25,4.40K,Health Technology,Pharmaceuticals: Major,35.0,41.0,37.0,18.0,7.71K,11.41K,1099.9,744.95,19.44B,No
2037,SOLARIUM.BO,258.1,83.10K,Electronic Technology,Semiconductors,35.0,37.0,7.0,2.0,46.50K,56.76K,484.0,202.0,5.39B,No
2038,ITCONS.BO,456.85,14.80K,Commercial Services,Personnel Services,35.0,2.0,33.0,41.0,13.17K,13.24K,667.9,377.4,2.76B,No
2039,TYROON.BO,94.05,0.05K,Process Industries,Agricultural Commodities/Milling,35.0,39.0,30.0,44.0,0.33K,0.16K,167.0,86.1,319.97M,No
2040,RUSTOMJEE.NS,521.1,57.52K,Finance,Real Estate Development,35.0,46.0,29.0,47.0,100.22K,14.81K,697.0,480.05,65.78B,No
2041,SOLIMAC.BO,110.0,0.23K,Producer Manufacturing,Industrial Machinery,35.0,33.0,45.0,13.0,1.96K,1.75K,172.8,90.5,499.64M,No
