Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
57,ARVAYA.BO,117.0,119.05,0.00K,Distribution Services,Medical Distributors,97.0,96.0,97.0,96.0,3.6057,0.6514,0.26K,0.73K,145.0,23.0,5.62B,No,122.83,88.76,60.9,95.27,67.82,497
58,TEJASSVI.BO,73.97,72.53,51.66K,Process Industries,Textiles,97.0,96.0,96.0,97.0,1.4143,0.5164,61.87K,117.20K,73.98,13.8,4.30B,No,62.07,51.67,34.26,55.78,41.55,495
59,KREONFIN.BO,94.02,91.85,16.70K,Finance,Finance/Rental/Leasing,97.0,91.0,98.0,98.0,4.8664,4.8621,36.62K,11.03K,94.95,23.92,1.90B,No,84.29,70.86,42.09,78.49,47.66,494
61,COVANCE.BO,200.95,200.65,5.98K,Technology Services,Information Technology Services,97.0,3.0,76.0,79.0,15.6929,13.1857,9.12K,7.33K,270.0,26.67,4.45B,No,238.8,201.67,152.58,207.51,179.4,360
62,PANKAJPO.BO,83.89,84.57,4.52K,Producer Manufacturing,Miscellaneous Manufacturing,97.0,91.0,80.0,69.0,4.9486,4.2064,12.95K,20.46K,97.78,15.0,465.08M,No,85.06,74.12,54.65,77.0,67.75,494
63,SJCORP.BO,179.1,177.35,0.98K,Consumer Durables,Other Consumer Specialties,97.0,91.0,98.0,97.0,0.375,0.125,0.54K,0.41K,180.15,58.94,7.76B,No,177.04,128.25,84.12,139.29,94.98,497
64,IDREAM.BO,625.25,625.25,0.05K,Consumer Services,Movies/Entertainment,97.0,57.0,96.0,94.0,5.075,0.5,0.20K,0.05K,644.0,160.05,169.16B,No,619.27,528.55,338.95,566.44,403.14,495
65,NATHUEC.BO,36.5,36.66,0.31K,Transportation,Air Freight/Couriers,97.0,76.0,96.0,97.0,1.1036,0.5857,12.39K,1.69K,39.68,7.52,151.30M,No,32.54,34.62,19.45,34.61,23.04,494
66,INDOSMC.BO,480.0,466.65,69.00K,Producer Manufacturing,Electrical Products,97.0,85.0,97.0,98.0,24.35,19.2321,98.62K,63.20K,486.95,134.0,10.97B,No,426.28,377.47,,401.27,258.97,136
67,KANELIND.BO,80.71,76.98,30.36K,Process Industries,Agricultural Commodities/Milling,97.0,98.0,98.0,96.0,1.6679,0.2743,1.11K,1.99K,80.82,10.0,1.27B,No,61.66,52.09,33.35,56.73,34.81,496
68,MODINSU.BO,491.55,517.4,34.78K,Producer Manufacturing,Electrical Products,97.0,24.0,87.0,96.0,27.9357,23.5179,79.83K,32.79K,579.0,98.15,23.17B,No,498.46,486.15,300.1,502.44,360.92,494
70,SHAHFOOD.BO,366.0,373.45,2.34K,Consumer Non-Durables,Food: Specialty/Candy,97.0,89.0,98.0,97.0,8.2821,2.6607,0.68K,0.81K,421.4,97.55,8.53B,No,385.64,282.47,183.74,306.35,208.96,497
71,STEELCO.BO,152.85,145.6,30.35K,Non-Energy Minerals,Steel,97.0,71.0,84.0,96.0,4.0714,2.6893,5.40K,27.47K,177.8,15.0,962.35M,No,132.27,148.76,93.58,149.63,119.12,497
72,CITURGIA.BO,110.8,111.9,0.37K,Process Industries,Chemicals: Specialty,97.0,28.0,77.0,98.0,0.2643,0.2643,0.17K,0.01K,212.0,31.64,14.64B,No,113.34,116.78,83.65,115.86,108.54,496
