Rank,Ticker,Price,DVol,Sector,Industry,RS,1M_RS,3M_RS,6M_RS,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,%Dist_52H
131,RUBICON.NS,1323.4,504.59K,Health Technology,Biotechnology,95.0,96.0,94.0,96.0,104.2429,101.1857,529.94K,1629.78K,1400.0,570.75,217.93B,No,1007.15,,1051.36,830.9,-5.47
132,IDEAFORGE.NS,862.0,98.01K,Electronic Technology,Aerospace & Defense,95.0,62.0,96.0,95.0,53.1429,47.1393,1776.79K,417.46K,992.25,366.0,37.40B,No,712.53,522.15,754.63,539.72,-13.13
134,NINSYS.NS,703.45,1.34K,Technology Services,Packaged Software,95.0,90.0,97.0,94.0,39.5464,39.25,14.10K,6.10K,757.2,281.05,13.07B,No,578.39,438.26,610.41,444.73,-7.1
139,HITECHCORP.NS,303.0,24.66K,Producer Manufacturing,Miscellaneous Manufacturing,94.0,98.0,97.0,93.0,14.4836,8.0121,30.19K,76.07K,323.77,112.0,5.20B,No,187.28,175.81,203.69,170.78,-6.42
140,KERNEX.NS,2024.1,73.08K,Electronic Technology,Computer Communications,94.0,96.0,96.0,95.0,117.85,115.9286,321.43K,412.52K,2058.0,850.0,34.01B,No,1470.96,1226.54,1570.04,1267.03,-1.65
143,ACUTAAS.NS,2975.4,254.44K,Health Technology,Pharmaceuticals: Major,94.0,79.0,84.0,94.0,146.0357,145.7,557.58K,475.44K,3444.3,1059.0,243.39B,No,2759.38,2025.03,2837.35,2253.52,-13.61
145,ATHERENERG.NS,1007.0,1389.51K,Consumer Durables,Motor Vehicles,94.0,71.0,88.0,90.0,47.8821,47.8821,5051.08K,4827.85K,1069.0,314.15,385.80B,No,930.62,728.01,943.11,784.42,-5.8
146,SEDEMAC.NS,2770.7,68.62K,Producer Manufacturing,Auto Parts: Oem,94.0,95.0,,,132.1571,129.7786,213.37K,235.55K,2937.1,1413.1,122.36B,No,2030.24,,2123.85,,-5.67
147,JNKINDIA.NS,495.75,284.28K,Producer Manufacturing,Building Products,94.0,96.0,97.0,96.0,31.8429,29.7286,1272.46K,4976.36K,519.0,200.92,27.74B,No,370.02,285.39,388.28,286.42,-4.48
151,SYRMA.NS,1297.6,757.08K,Electronic Technology,Electronic Production Equipment,94.0,92.0,94.0,93.0,49.0072,47.5286,1609.24K,1363.24K,1335.0,500.0,250.03B,No,1049.04,853.54,1094.29,881.76,-2.8
154,VIDYAWIRES.NS,98.2,1662.48K,Non-Energy Minerals,Other Metals/Minerals,94.0,47.0,96.0,,5.38,4.5379,6781.86K,3691.15K,117.35,42.51,20.89B,No,87.84,,90.69,,-16.32
157,PRECWIRE.NS,417.8,362.30K,Producer Manufacturing,Electrical Products,94.0,79.0,67.0,94.0,20.675,20.3929,786.26K,416.31K,467.5,168.51,76.38B,No,397.16,280.05,404.63,312.33,-10.63
