Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W
290,SKMEGGPROD.NS,244.31,389.79K,Process Industries,Agricultural Commodities/Milling,90.0,95.0,92.0,79.0,15.9057,15.54,802.32K,857.20K,257.4,120.0,12.88B,No,191.89,185.51,199.35,187.84
299,BLUSPRING.NS,109.35,12170.86K,Commercial Services,Miscellaneous Commercial Services,90.0,95.0,96.0,87.0,6.635,6.4071,690.53K,1361.42K,110.18,43.98,16.34B,No,71.71,69.01,75.12,64.93
302,BHEL.NS,392.25,7880.02K,Producer Manufacturing,Electrical Products,89.0,29.0,90.0,88.0,13.3071,13.1429,17365.04K,11446.10K,424.9,205.12,1365.84B,No,369.18,285.85,378.47,305.06
311,MCX.NS,2857.3,3414.33K,Finance,Investment Banks/Brokers,89.0,4.0,60.0,88.0,110.6643,110.4929,3654.61K,3156.00K,3480.0,1460.8,727.22B,No,2969.09,2298.72,2983.51,2546.79
314,NIDHGRN.BO,413.3,0.65K,Finance,Investment Banks/Brokers,89.0,90.0,88.0,56.0,21.5107,19.1286,1.13K,2.38K,480.75,170.75,3.31B,No,328.95,353.41,353.12,342.14
316,WALCHANNAG.NS,280.05,7204.68K,Producer Manufacturing,Industrial Machinery,89.0,84.0,93.0,93.0,15.64,15.34,2076.26K,2597.72K,285.0,131.15,19.02B,No,230.13,187.87,239.2,191.87
320,IIRM.BO,114.15,24.73K,Producer Manufacturing,Miscellaneous Manufacturing,89.0,64.0,90.0,92.0,6.9929,6.8321,23.81K,19.89K,128.99,68.0,7.78B,No,100.94,87.04,104.72,91.03
328,PANACEABIO.NS,532.2,282.71K,Health Technology,Pharmaceuticals: Major,89.0,96.0,92.0,92.0,44.4143,41.3929,736.59K,3545.69K,647.0,292.4,32.60B,No,409.63,388.0,431.61,380.36
336,MOBAVENUE.BO,308.45,135.37K,Technology Services,Packaged Software,88.0,95.0,67.0,77.0,15.9171,14.34,41.63K,158.45K,315.6,133.2,23.84B,No,249.01,235.78,255.58,247.24
338,SOUTHWEST.NS,251.0,135.16K,Energy Minerals,Coal,88.0,67.0,70.0,80.0,16.5657,16.38,488.52K,748.79K,275.0,121.0,7.49B,No,243.92,193.07,244.47,212.62
340,NEPHROPLUS.NS,737.0,112.98K,Health Services,Medical/Nursing Services,88.0,85.0,78.0,,36.9143,36.9143,188.43K,256.75K,769.75,446.0,73.95B,No,600.95,,621.08,
341,ASARFI.BO,229.3,15.00K,Health Services,Hospital/Nursing Management,88.0,87.0,88.0,73.0,9.7,8.9607,61.95K,48.90K,256.95,117.2,4.51B,No,211.37,175.35,213.39,189.79
343,THERMAX.NS,4774.4,110.97K,Producer Manufacturing,Industrial Machinery,88.0,64.0,90.0,93.0,188.3643,179.2357,334.16K,230.00K,5075.0,2742.7,537.83B,No,4343.79,3402.82,4511.37,3540.84
344,CLEANMAX.NS,1353.1,713.84K,Utilities,Alternative Power Generation,88.0,49.0,90.0,,72.8643,69.8643,331.83K,537.11K,1421.2,727.1,158.42B,No,1118.6,,1167.52,
349,AEQUS.NS,199.81,2823.53K,Electronic Technology,Aerospace & Defense,88.0,37.0,92.0,,11.6229,11.35,3935.80K,6645.82K,223.85,113.3,130.85B,No,185.4,,192.51,
359,SAMOR.BO,96.05,3.77K,Distribution Services,Wholesale Distributors,88.0,30.0,87.0,93.0,5.3779,4.8457,5.85K,2.26K,104.99,48.55,2.17B,No,91.42,73.38,92.68,79.51
362,BEEZAASAN.BO,320.3,34.40K,Process Industries,Industrial Specialties,88.0,95.0,91.0,88.0,20.425,19.3893,45.02K,76.56K,324.0,177.05,4.85B,No,236.01,228.11,246.28,228.22
363,AEGISLOG.NS,1006.95,2654.46K,Distribution Services,Wholesale Distributors,88.0,96.0,93.0,86.0,46.3107,45.4,2341.45K,8576.55K,1016.0,576.1,353.44B,No,727.1,726.07,769.32,714.9
367,CHENNPETRO.NS,1165.1,598.11K,Energy Minerals,Oil Refining/Marketing,88.0,87.0,80.0,82.0,54.0357,52.6143,2143.88K,1431.76K,1249.0,603.1,173.50B,No,1067.42,920.77,1086.84,970.7
373,ANGELONE.NS,348.7,5717.26K,Finance,Investment Banks/Brokers,87.0,83.0,92.0,85.0,12.5143,12.1071,10378.09K,7036.84K,356.15,208.63,318.48B,No,318.73,263.81,327.55,275.48
376,REMIEDEL.BO,182.7,1.86K,Non-Energy Minerals,Steel,87.0,43.0,83.0,85.0,15.9357,14.975,4.85K,5.93K,209.0,87.1,2.30B,No,170.02,149.19,175.74,149.15
383,PESB.BO,281.6,1.60K,Finance,Investment Banks/Brokers,87.0,19.0,72.0,84.0,8.9286,7.4929,14.54K,10.80K,333.95,166.0,4.44B,No,281.57,227.79,289.32,243.58
391,THYROCARE.NS,533.5,149.76K,Health Services,Medical/Nursing Services,87.0,85.0,88.0,84.0,22.425,22.1036,558.53K,508.45K,578.25,318.07,84.91B,No,459.5,434.55,468.57,432.34
394,MANINDS.NS,592.6,880.62K,Producer Manufacturing,Industrial Machinery,87.0,55.0,85.0,83.0,30.3679,29.3143,982.30K,1350.94K,606.4,302.05,44.45B,No,524.97,429.78,543.1,443.63
399,NIBE.NS,1625.3,157.02K,Process Industries,Textiles,87.0,98.0,89.0,92.0,93.7214,86.7643,213.14K,251.07K,1817.2,809.6,24.80B,No,1211.99,1158.21,1291.96,1127.72
402,KIRLPNU.NS,1832.4,1026.69K,Producer Manufacturing,Industrial Machinery,86.0,71.0,89.0,92.0,62.9143,60.8714,181.15K,114.02K,1870.0,990.1,119.03B,No,1484.57,1218.07,1521.03,1236.56
403,UNIVSTAR.BO,203.95,3.11K,Consumer Non-Durables,Food: Specialty/Candy,86.0,94.0,89.0,91.0,14.7607,12.2607,1.86K,3.37K,219.35,109.6,856.59M,No,161.76,144.45,167.48,143.73
405,CENTUM.NS,3614.7,41.39K,Electronic Technology,Electronic Components,86.0,89.0,77.0,93.0,179.4357,177.5786,84.64K,66.63K,3725.0,2044.2,53.28B,No,3082.9,2658.89,3219.42,2723.29
406,GOELCONS.BO,414.5,16.40K,Industrial Services,Engineering & Construction,86.0,89.0,91.0,88.0,14.2464,12.9536,35.04K,15.48K,432.0,249.25,5.99B,No,355.66,,367.31,319.25
407,GARNET.BO,74.63,6.33K,Finance,Real Estate Development,86.0,13.0,3.0,67.0,6.0121,5.9757,9.25K,9.83K,116.0,27.6,1.04B,No,84.85,72.48,84.37,79.56
415,APCOTEXIND.NS,522.8,57.25K,Process Industries,Chemicals: Specialty,86.0,71.0,88.0,87.0,26.8071,26.3464,120.99K,225.25K,579.0,310.45,27.10B,No,457.69,395.5,475.76,403.02
427,SCI.NS,310.65,3573.02K,Transportation,Air Freight/Couriers,86.0,17.0,79.0,86.0,12.8536,12.2607,10886.94K,7412.44K,368.75,195.55,144.70B,No,300.95,250.06,308.6,257.29
429,LOTUSEYE.NS,136.28,50.61K,Health Services,Medical/Nursing Services,86.0,94.0,80.0,85.0,8.0307,8.0257,27.82K,104.65K,147.0,67.72,2.83B,No,114.72,116.11,119.11,116.18
431,IMFA.NS,1441.2,82.30K,Non-Energy Minerals,Other Metals/Minerals,86.0,32.0,64.0,66.0,65.5429,64.7714,228.33K,155.57K,1679.9,700.05,77.76B,No,1465.73,1287.69,1481.02,1355.69
435,WOCKPHARMA.NS,2022.8,2893.16K,Health Technology,Pharmaceuticals: Major,85.0,91.0,89.0,88.0,143.8357,128.6643,2402.00K,2757.47K,2422.3,1086.7,328.69B,No,1622.67,1435.75,1673.34,1450.5
440,DSSL.NS,1352.6,91.38K,Technology Services,Information Technology Services,85.0,21.0,88.0,89.0,93.1857,83.1643,176.83K,159.98K,1924.8,781.0,17.23B,No,1301.35,1030.0,1319.13,1067.57
442,HINDALUMI.BO,102.9,4.07K,Non-Energy Minerals,Aluminum,85.0,18.0,47.0,92.0,4.1179,4.1179,12.51K,7.04K,162.55,57.25,648.29M,No,105.3,87.39,104.88,98.35
443,PANACHE.NS,411.2,62.82K,Electronic Technology,Computer Peripherals,85.0,60.0,61.0,60.0,16.4821,16.1464,15.84K,12.91K,472.15,186.55,6.26B,No,341.5,341.3,346.96,327.91
445,SOUTHBANK.NS,48.45,25429.90K,Finance,Major Banks,85.0,90.0,69.0,77.0,1.5493,1.5207,17491.24K,24142.01K,48.8,28.11,126.82B,No,40.89,38.1,41.68,40.3
448,CARYSIL.NS,1187.8,154.54K,Consumer Durables,Home Furnishings,85.0,93.0,86.0,82.0,58.1607,57.8536,153.97K,225.64K,1224.0,732.1,33.78B,No,981.7,916.59,1019.35,916.45
453,GRANULES.NS,741.4,815.00K,Health Technology,Pharmaceuticals: Other,85.0,53.0,78.0,86.0,21.4679,21.2607,1387.49K,904.20K,804.3,432.6,183.72B,No,724.73,605.42,736.45,636.67
462,BIMETAL.NS,645.0,2.02K,Producer Manufacturing,Auto Parts: Oem,85.0,83.0,,,36.0714,33.2571,0.83K,0.94K,666.0,470.9,,No,,,591.86,
467,WEBELSOLAR.NS,106.32,2009.42K,Electronic Technology,Semiconductors,85.0,57.0,95.0,55.0,4.475,4.1521,8119.74K,3187.02K,157.3,50.4,46.16B,No,104.06,98.81,106.89,87.16
472,KTKBANK.NS,277.15,987.82K,Finance,Regional Banks,84.0,83.0,72.0,85.0,10.3357,10.0857,3367.67K,2324.88K,282.95,169.12,104.81B,No,258.22,209.73,261.29,225.41
473,EPACKPEB.NS,247.32,1124.41K,Industrial Services,Engineering & Construction,84.0,91.0,92.0,21.0,14.2964,13.3686,1724.69K,6833.78K,344.0,132.17,24.89B,No,196.95,,205.05,213.69
474,ASHAPURMIN.NS,707.7,300.63K,Non-Energy Minerals,Other Metals/Minerals,84.0,79.0,83.0,60.0,40.5393,37.7036,928.76K,638.60K,924.9,377.1,67.60B,No,645.19,652.78,669.96,655.26
484,MODIPON.BO,51.6,0.18K,Finance,Real Estate Development,84.0,86.0,92.0,84.0,2.3521,2.2557,0.58K,0.25K,65.77,29.26,597.36M,No,46.97,40.04,49.24,39.71
486,INDOKEM.BO,514.85,2.68K,Process Industries,Industrial Specialties,84.0,19.0,52.0,3.0,29.2107,29.0643,5.62K,2.87K,930.0,222.0,14.36B,No,558.57,615.88,560.5,622.94
492,OSIAJEE.BO,421.3,93.91K,Process Industries,Textiles,84.0,48.0,35.0,75.0,23.2929,23.1143,25.75K,52.56K,495.5,235.15,2.28B,No,421.08,387.51,418.28,420.69
495,MOTHERSON.NS,145.1,20550.99K,Producer Manufacturing,Auto Parts: Oem,84.0,84.0,71.0,82.0,4.6043,4.16,24307.39K,16279.47K,151.77,89.7,1528.08B,No,131.36,117.68,135.04,123.92
497,VETO.NS,137.75,241.76K,Producer Manufacturing,Electrical Products,84.0,94.0,88.0,84.0,6.9457,6.8029,114.50K,375.32K,153.95,82.32,2.63B,No,116.1,110.99,121.18,109.5
498,KINGFA.NS,5123.5,23.40K,Process Industries,Chemicals: Specialty,84.0,37.0,71.0,84.0,199.2071,199.2071,8.06K,5.08K,5699.4,3021.0,69.43B,No,4999.53,4471.36,5115.87,4498.92
506,VIJAYA.NS,1299.5,122.79K,Health Services,Medical/Nursing Services,83.0,34.0,84.0,83.0,62.4,61.4714,259.52K,279.81K,1427.8,848.0,133.71B,No,1189.4,1046.99,1231.96,1062.02
508,BETA.NS,1871.8,35.87K,Health Technology,Pharmaceuticals: Major,83.0,97.0,94.0,74.0,85.6929,80.25,23.97K,53.76K,2000.0,990.1,18.89B,No,1404.5,1523.63,1457.02,1416.24
509,ACMESOLAR.NS,331.8,1975.63K,Industrial Services,Engineering & Construction,83.0,90.0,89.0,92.0,16.8214,16.8214,2550.65K,2858.47K,364.8,195.9,234.11B,No,303.68,264.4,310.39,260.13
513,GALAPREC.NS,1034.1,90.30K,Producer Manufacturing,Metal Fabrication,83.0,90.0,88.0,89.0,47.5143,44.9964,62.39K,219.62K,1082.9,671.2,13.23B,No,836.17,780.98,864.64,788.45
529,DEEPAKFERT.NS,1550.5,217.38K,Process Industries,Chemicals: Agricultural,83.0,86.0,91.0,77.0,61.3714,60.1714,662.75K,464.56K,1778.6,866.4,195.93B,No,1318.21,1271.2,1377.74,1196.93
535,RAYMOND.NS,591.85,371.85K,Process Industries,Textiles,82.0,93.0,92.0,84.0,23.9393,22.9071,954.63K,722.05K,783.9,320.0,39.39B,No,487.51,479.91,506.58,436.07
560,VTL.NS,626.15,304.53K,Process Industries,Textiles,82.0,62.0,63.0,90.0,23.3821,21.8821,576.30K,342.05K,650.85,383.7,181.13B,No,597.29,490.37,602.62,521.59
570,APOLLOPIPE.NS,494.8,118.83K,Producer Manufacturing,Miscellaneous Manufacturing,81.0,24.0,66.0,94.0,20.8929,20.3179,639.62K,157.98K,554.0,252.1,21.73B,No,478.02,369.1,489.78,386.19
574,SWITCHTE.BO,93.14,1.81K,Producer Manufacturing,Electrical Products,81.0,64.0,61.0,92.0,5.8986,5.8043,3.38K,4.75K,100.47,40.0,228.19M,No,85.78,71.75,87.39,76.12
581,MIDHANI.NS,448.85,1517.33K,Non-Energy Minerals,Other Metals/Minerals,81.0,73.0,81.0,88.0,20.7643,19.8821,1343.30K,2079.13K,469.0,266.65,84.09B,No,397.29,364.17,410.83,357.77
583,NUVAMA.NS,1726.7,886.46K,Finance,Investment Managers,81.0,84.0,85.0,74.0,53.0,50.0429,577.36K,494.70K,1735.2,1096.9,314.84B,No,1454.91,1379.88,1502.19,1391.87
587,GUJALKALI.NS,649.75,32.79K,Process Industries,Chemicals: Specialty,81.0,13.0,89.0,81.0,27.2536,25.85,5125.13K,79.31K,815.0,409.15,47.72B,No,693.5,566.71,703.77,569.39
612,MANCREDIT.NS,212.75,267.19K,Finance,Finance/Rental/Leasing,80.0,94.0,80.0,84.0,10.15,9.5743,129.56K,233.15K,231.0,152.06,4.49B,No,182.09,175.96,187.11,174.74
617,MODINATUR.NS,415.25,2.20K,Process Industries,Agricultural Commodities/Milling,80.0,37.0,90.0,,24.0964,22.95,16.52K,5.62K,524.8,252.3,5.53B,No,401.7,,412.32,
619,INTEGRAEN.BO,221.55,7.61K,Producer Manufacturing,Industrial Machinery,80.0,61.0,89.0,84.0,10.5821,10.5107,34.99K,20.72K,279.95,118.0,7.63B,No,204.94,197.56,210.0,179.37
628,BHARATSE.NS,184.37,72.36K,Producer Manufacturing,Auto Parts: Oem,80.0,34.0,47.0,62.0,7.8957,7.4036,234.21K,124.74K,239.45,98.61,11.58B,No,184.22,178.31,185.47,174.35
