Rank,Industry,Sector,RS,1 M_RS,3M_RS,6M_RS,Ticker
30,Metal Fabrication,Producer Manufacturing,57,54,54,56,"MODMA.BO,AANCHALISP.BO,OMNI.NS,SATANIBRG.BO,BELDING.BO,UNIABEXAL.BO,BHARATFORG.NS,PRADPME.NS,MENONBE.NS,SIMMOND.BO,HAPPYFORGE.NS,GALAPREC.NS,AZAD.NS,GALAGEX.BO,SKIPPER.NS,SIMPLEXCAS.BO,CTCL.BO,KENNAMET.NS,COSMOFE.BO,NARMADESH.BO,AMIC.BO,CARNATIN.BO,USHAMART.NS,SHIVAUM.NS,BHARATWIRE.NS,KVFORGE.BO,SHYAMMETL.NS,HARSHA.NS,RAJRATAN.NS,INVPRECQ.NS,MMFL.NS,STERTOOLS.NS,ROLEXRINGS.NS,SYSTEMATIC.BO,DPWIRES.NS,TIIL.NS,MAGNAELQ.BO,ENDURANCE.NS,RKFORGE.NS,PTCIL.NS,SCHAEFFLER.NS,NIBL.NS,CMRGREEN.NS,SHREMETAL.BO,AUSTENG.BO,TEMBO.NS,VISHALBL.BO,BOMBWIR.BO,GALXBRG.BO,AEL.BO,FRONTSP.NS,GTIL.BO,ALPHAIND.BO,KASTURI.BO,KPGEL.BO,DELTAMAGNT.NS,NATFIT.BO,JYOTICNC.NS,KARBON.BO,RELICAB.BO,ROLCOEN.BO,SKFINDIA.NS,SWASTIKAAL.BO,ASGARD.BO,STAL.BO"
31,Semiconductors,Electronic Technology,56,44,61,53,"GRERENEW.BO,EMMVEE.NS,UTLSOLAR.NS,STERPOW.BO,HIGHNESS.BO,INA.NS,WEBELSOLAR.NS,MOSCHIP.NS,PREMIERENE.NS,METSL.BO,SPELS.BO,WAAREEENER.NS,ADTECH.BO,SOLARIUM.BO,RIR.BO,VIKRAMSOLR.NS"
32,Oil & Gas Pipelines,Industrial Services,55,81,76,58,RIIL.NS
33,Multi-Line Insurance,Finance,55,63,48,51,"ABCAPITAL.NS,NIACL.NS,RELIGARE.NS,GODIGIT.NS,HDFCLIFE.NS"
34,Real Estate Investment Trusts,Finance,55,40,34,57,"FUNDVISER.BO,ANNAINFRA.BO,MINDSPACE.BO,NXST.BO,EMBASSY.BO,KRT.BO,BIRET.BO,BAGMANE.BO,PSCELESTIA.BO"
35,Pharmaceuticals: Other,Health Technology,55,63,58,53,"TRANSCHEM.BO,GRANULES.NS,CORALAB.BO,AUROPHARMA.NS,CRSTCHM.BO,SUDEEPPHRM.NS,BDH.BO,LUPIN.NS,CHEMKART.BO,SANDUPHQ.BO,ISHITADR.BO,CIPLA.NS,LYKALABS.NS,NATCAPSUQ.NS,AMRUTANJAN.NS,SOURCENTRL.BO,KERALAYUR.BO"
36,Motor Vehicles,Consumer Durables,54,55,43,53,"ZELIO.BO,ATHERENERG.NS,SANDHAR.NS,OLAELEC.NS,SMLMAH.NS,OLECTRA.NS,EICHERMOT.NS,TMCV.NS,ATULAUTO.NS,TVSMOTOR.NS,ATLASCYCLE.NS,FORCEMOT.NS,MARUTI.NS,HEROMOTOCO.NS,M&M.NS,HYUNDAI.NS,TMPV.NS,SEVL.BO"
37,Medical Distributors,Distribution Services,54,50,49,52,"APPL.BO,GUJINJEC.BO,BIJHANS.BO,SPML.BO,RAMAVISION.BO,QMSMEDI.NS,CBPL.BO,ENTERO.NS,CENTUPLE.BO,APL.BO,GLPL.BO,EVERESTO.BO,ROYAL.BO"
38,Regional Banks,Finance,54,53,49,50,"TMB.NS,J&KBANK.NS,EQUITASBNK.NS,KTKBANK.NS,SURYODAY.NS,KARURVYSYA.NS,AUBANK.NS,DCBBANK.NS,CUB.NS,JSFB.NS,IDFCFIRSTB.NS,UJJIVANSFB.NS,SBIN.NS,CAPITALSFB.NS,ICICIBANK.NS,MONEYBOXX.NS,MUNOTHFI.BO,EMERALD.BO,DAMCAPITAL.NS,JAGSONSER.BO,FINOPB.NS,CMBL.BO"
39,Other Consumer Specialties,Consumer Durables,54,49,46,56,"RETAGGIO.BO,THANGAMAYL.NS,SHOORA.BO,GKL.BO,SKRABUL.BO,SKYGOLD.NS,TIMEX.NS,GOLDIAM.NS,EIGHTY.BO,GOLKUNDIA.BO,KDDL.NS,SJCORP.BO,TBZ.NS,TITAN.NS,SHANTIGOLD.NS,SILGO.NS,SONAMLTD.NS,SHRINGARMS.NS,VAIBHAVGBL.NS,YAASHVI.BO,SWARNSAR.BO,UDAYJEW.BO,SENCO.NS,RGL.NS,AJCJEWEL.BO,RBZJEWEL.NS,PNGSREVA.NS,SMR.BO,KOURA.BO,BANARBEADS.NS,VARYAA.BO,SAFARI.NS,VIPIND.NS,RADHIKAJWE.NS,RAJESHEXPO.NS,LGHL.NS,LUXURY.BO,EY.BO"
40,Forest Products,Non-Energy Minerals,54,55,48,55,"MEGAMONT.BO,STYLAMIND.NS,PREMIERPOL.NS,ECOBOAR.BO,RESPONIND.NS,WIPL.NS,GREENLAM.NS,BIRLANU.NS,AIROLAM.NS,GREENPANEL.NS,DUROPLY.BO"
